File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,59089.25684521291,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,10562609.555443548,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,7301.22084727288,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,10550981.43019502,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,4326.904401253183,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,3235349449.0277505,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",30673067.85730205,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",2178140279.769323,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",1026536101.4011332,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,151369511.74753278,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2715.690324377093,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,17260.670389994535,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,216311.29068659563,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.006752553642608005,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.002734332350775375,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.004018221291832631,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.27753942693890454,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.11835826438827424,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.15575435332701038,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.004806820240312473,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,310791.09966204036,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,22601381.145372465,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,63.33996652125066,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.2314108457403963,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.5380430055088343,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,63684.8268403185,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3765183.9605059368,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,26339.605796914726,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,4690614.123727858,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,8148.431352270424,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,4677269.020338289,kg CO2-Eq
