File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,58988.355270785854,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,10544572.707611902,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,7288.75318871594,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,10532964.4386995,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,4319.5157236865425,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,3229824724.726634,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",30620690.132406715,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",2174420859.4332814,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",1024783175.1609403,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,151111031.22381282,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2711.052976676076,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,17231.195847395727,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,215941.91474650218,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.006741022895221439,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0027296631697104868,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.004011359725510951,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.2770654970464191,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.11815615429481831,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.15548838519145364,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.004798612052290988,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,310260.38878584927,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,22562786.736446876,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,63.231806380349035,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.2310156856060277,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.5371242363574895,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,63576.0778115038,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3758754.4839833705,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,26339.605796914744,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,4690614.123727862,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,8148.431352270431,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,4677269.020338293,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,5196.6720372981945,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,271199553.7849308,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",55239161.10393077,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",215527179.65009147,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",433213.0309086156,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,52679220.51935168,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,4634.709713386354,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,4844.507989479598,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,50663.690259471565,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.006296659154353688,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.004911525183128486,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0013851339712252025,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.11450192614935935,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.01833706893695575,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.09499996973326211,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0016905962853920643,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,298885.68280992075,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,25336287.927110046,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,127.87522610820152,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.03314677755727723,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.4064372100259711,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,15858.284531033114,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1791768.4587521942,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN505.0,Acidification,12944.435219625364,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN505.0,Climate change,3568750.7885816535,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN505.0,Climate change: biogenic,2923.7407101803196,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN505.0,Climate change: fossil,3561973.6740828147,kg CO2-Eq
