File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1363.4129026222963,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,143676.84745548342,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,261.4840192018836,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,143094.81816935062,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,320.5452669309523,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,8667705.055908564,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",701095.6734676956,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",7952555.405040821,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",14053.977400038097,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,1746896.0445349738,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,77.16571412960366,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,198.38897527244723,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2184.143823737973,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00012085017028705083,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",6.548817493178937e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",5.5361995355261464e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.007054315815466805,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0007669275848063756,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.005935737826026679,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00036865599563606216,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,4846.114417322613,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,961749.0931859994,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,6.845805051641338,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.001410419290734114,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.013515469951564643,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,708.9702329720918,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,64794.64810236839,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,718.9371349531633,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,110283.58624427707,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,141.50226589001971,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,109877.3936231623,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,264.6903552247446,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,3424826.3909919397,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",193283.21815516017,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",3220763.1336412714,CTUe
