File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,55204.57262350473,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,9868195.631985655,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,6821.219254108395,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,9857331.970483886,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,4042.4422476603736,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,3022649008.5860467,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",28656539.149743937,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",2034943569.7539663,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",959048899.6823361,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,141418079.19738805,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2537.153650920723,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,16125.908209861485,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,202090.41361398753,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00630862288442649,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0025545701011368614,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0037540527832896284,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.25929325004831094,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.11057707865797606,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.14551464967975056,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.004490807148574932,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,290358.8697514981,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,21115506.497223895,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,59.1758293889597,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.21619728393279508,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.5026706335127566,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,59498.01767741328,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3517650.796202972,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,24546.393169236635,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,4371274.930002363,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,7593.682351494906,kg CO2-Eq
