File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,55103.671049077704,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,9850158.784154002,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,6808.751595551452,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,9839314.978988357,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,4035.0535700937307,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,3017124284.2849116,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",28604161.42484862,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",2031224149.4179258,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",957295973.4421397,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,141159598.673668,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2532.5163032197056,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,16096.433667262649,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,201721.03767389397,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0062970921370399165,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0025499009200719716,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0037471912169679466,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.2588193201558249,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.11037496856452013,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.14524868154419365,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.004482598960553445,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,289828.15887530695,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,21076912.08829829,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,59.06766924805805,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.21580212379842642,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.5017518643614124,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,59389.26864859851,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3511221.319680412,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,24546.393169236635,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,4371274.930002363,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,7593.682351494906,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,4358838.367465697,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,4842.880185171218,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,252736161.87931713,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",51478453.293887585,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",200853988.89939055,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",403719.68603892723,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,49092794.656341724,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,4319.1765179487675,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,4514.691629713123,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,47214.4826350849,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.005867979667089124,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.00457714626161187,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0012908334054772532,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.10670658169934666,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.01708867274508088,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.08853232755713349,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.001575499703057264,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,278537.40634825366,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,23611381.647202697,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,119.16942116972054,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.03089012950639751,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.37876677551012006,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,14778.645135758181,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1669784.027744262,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN485.0,Acidification,10479.5736157417,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Climate change,2890093.638779425,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Climate change: biogenic,2366.8462306747265,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Climate change: fossil,2884639.3426753376,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Climate change: land use and land use change,3087.449873412591,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Ecotoxicity: freshwater,99361525.37934598,CTUe
bill_of_materials.csv,Heat pipe_DN485.0,"Ecotoxicity: freshwater, inorganics",23117359.233024724,CTUe
bill_of_materials.csv,Heat pipe_DN485.0,"Ecotoxicity: freshwater, metals",74020835.52349223,CTUe
bill_of_materials.csv,Heat pipe_DN485.0,"Ecotoxicity: freshwater, organics",2223330.6228289856,CTUe
bill_of_materials.csv,Heat pipe_DN485.0,Energy resources: non-renewable,36881751.6887569,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN485.0,Eutrophication: freshwater,919.5162326862688,kg P-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Eutrophication: marine,3093.709197337914,kg N-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Eutrophication: terrestrial,28781.51183913793,mol N-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Human toxicity: carcinogenic,0.0026427108731679333,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: carcinogenic, metals",0.0007886364320759009,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: carcinogenic, organics",0.0018540744410920314,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,Human toxicity: non-carcinogenic,0.07252382701071977,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: non-carcinogenic, inorganics",0.039331382310421575,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: non-carcinogenic, metals",0.03166947068192512,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,"Human toxicity: non-carcinogenic, organics",0.0018922228750280848,CTUh
bill_of_materials.csv,Heat pipe_DN485.0,Ionising radiation: human health,117595.91127559246,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Land use,18803089.2004581,dimensionless
bill_of_materials.csv,Heat pipe_DN485.0,Material resources: metals/minerals,18.13347463838191,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Ozone depletion,0.04196549395625295,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Particulate matter formation,0.18955369593719315,disease incidence
bill_of_materials.csv,Heat pipe_DN485.0,Photochemical oxidant formation: human health,10870.450767700528,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN485.0,Water use,1411471.5691784557,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN490.0,Acidification,1769.7153094416244,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Climate change,488019.7498012183,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Climate change: biogenic,399.7028703443638,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Climate change: fossil,487097.28472691023,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Climate change: land use and land use change,522.762203963756,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Ecotoxicity: freshwater,16766849.218061559,CTUe
bill_of_materials.csv,Heat pipe_DN490.0,"Ecotoxicity: freshwater, inorganics",3913475.7215007194,CTUe
bill_of_materials.csv,Heat pipe_DN490.0,"Ecotoxicity: freshwater, metals",12476064.012057932,CTUe
bill_of_materials.csv,Heat pipe_DN490.0,"Ecotoxicity: freshwater, organics",377309.48450290045,CTUe
bill_of_materials.csv,Heat pipe_DN490.0,Energy resources: non-renewable,6229462.719972765,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN490.0,Eutrophication: freshwater,154.96753760999067,kg P-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Eutrophication: marine,523.0972723314737,kg N-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Eutrophication: terrestrial,4864.154284709621,mol N-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Human toxicity: carcinogenic,0.00044608442651036833,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: carcinogenic, metals",0.00013281013190270599,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: carcinogenic, organics",0.00031327429460766226,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,Human toxicity: non-carcinogenic,0.012237403076485687,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: non-carcinogenic, inorganics",0.006638850383846406,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: non-carcinogenic, metals",0.005340762773613125,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,"Human toxicity: non-carcinogenic, organics",0.00032014249181839914,CTUh
bill_of_materials.csv,Heat pipe_DN490.0,Ionising radiation: human health,19884.725217315725,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Land use,3184656.393163021,dimensionless
bill_of_materials.csv,Heat pipe_DN490.0,Material resources: metals/minerals,3.0637794780051277,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Ozone depletion,0.007102313621290504,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Particulate matter formation,0.03198077880134145,disease incidence
bill_of_materials.csv,Heat pipe_DN490.0,Photochemical oxidant formation: human health,1836.7073851150137,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN490.0,Water use,238647.17997902367,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN100.0,Acidification,268.76467605777987,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change,75001.61692223982,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: biogenic,60.57348235493852,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: fossil,74886.14174044978,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: land use and land use change,54.90169943510247,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Ecotoxicity: freshwater,2769061.8942983225,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, inorganics",423702.36688692967,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, metals",2321005.2112831217,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, organics",24354.316128269296,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,Energy resources: non-renewable,930275.5213266702,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN100.0,Eutrophication: freshwater,29.060270583848023,kg P-Eq
