File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1622.709005186567,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,171001.54601325313,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,311.2134789506388,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,170308.8254426369,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,381.5070916656012,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10316143.423222674,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",834431.1988285019,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9464985.43851599,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",16726.78587819413,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2079123.6001504876,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,91.84121623678709,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,236.1189160562891,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2599.527879328045,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.0001438336539326808,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",7.794282347677541e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.589083045590541e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.008395917170192113,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0009127831310659458,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.007064606183639993,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00043876759768378285,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,5767.756407489676,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1144656.1135231368,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,8.147751487230522,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0016786551453057,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.01608586419972296,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,843.8033549780331,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,77117.40057717155,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,526.3162493184435,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,80735.9095135021,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,103.59033945040021,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,80438.54585477292,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,193.77331927878492,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,2507231.429617461,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",141497.90501814833,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",2357841.72221348,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",7891.802385834019,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,920860.9586538911,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,21.828646598859674,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,102.15118463389337,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,1082.1192973783832,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,4.37057950302565e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",9.209272635385469e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",3.4496522394871043e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0010853000118661185,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.00045152647209273025,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0006168761250957937,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",2.6020193864596087e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,1609.078298879239,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,396517.8899544057,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.24950696878388828,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0006965404767637665,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.00745543815108095,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,353.72843669210044,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,31130.249114443723,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,5707.809637982577,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,202550.57559357642,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,479.6512834658641,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,201824.3024463259,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,246.6218637846676,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,51079919.24998746,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",5208836.374088465,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",45770733.443346374,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",100349.43255263606,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,2634570.118450789,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,470.60823662832735,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,374.4264751365025,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,4771.72342106197,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,0.0006680303318687418,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",0.0005518561383408639,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",0.00011617419352787796,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.05881338188557731,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.0035455451771431975,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.05190952446037996,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.003383055266521152,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,17322.372473573523,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,2059860.4572823518,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,66.88902546239702,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.0024552200734799566,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.026733129755695376,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,1460.8489906575694,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,105044.86701020345,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,31698.003441025005,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,96897619.85825996,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,8625.399089326247,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,96885480.5004341,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,3513.958736537996,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Ecotoxicity: freshwater,256303260.56933367,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, inorganics",29010985.553946245,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, metals",226660520.5790562,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, organics",631754.436331637,CTUe
bill_of_materials.csv,Air-to-air heat pump,Energy resources: non-renewable,68200721.2430122,"MJ, net calorific value"
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: freshwater,2564.2481944246533,kg P-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: marine,4722.2107890002135,kg N-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: terrestrial,51348.665985285115,mol N-Eq
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: carcinogenic,0.006967770141405837,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, metals",0.0022529394291029322,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, organics",0.004714830712302907,CTUh
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: non-carcinogenic,0.21887133442135495,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, inorganics",0.054693207371644854,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, metals",0.1550178093462142,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, organics",0.009799371458889004,CTUh
bill_of_materials.csv,Air-to-air heat pump,Ionising radiation: human health,243195.4366711376,kBq U235-Eq
bill_of_materials.csv,Air-to-air heat pump,Land use,19952381.847596362,dimensionless
bill_of_materials.csv,Air-to-air heat pump,Material resources: metals/minerals,171.19721815439217,kg Sb-Eq
bill_of_materials.csv,Air-to-air heat pump,Ozone depletion,52.23419861104487,kg CFC-11-Eq
bill_of_materials.csv,Air-to-air heat pump,Particulate matter formation,0.374335266806371,disease incidence
bill_of_materials.csv,Air-to-air heat pump,Photochemical oxidant formation: human health,20233.66273573837,kg NMVOC-Eq
bill_of_materials.csv,Air-to-air heat pump,Water use,1876746.1880596876,m3 world Eq deprived
