File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,48146.3861172602,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,8606496.42953577,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,5949.091540633726,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,8597021.742631145,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,3525.5953639918826,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,2636187897.999854,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",24992654.287853513,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1774765643.1361427,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",836429600.5758599,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,123337055.6354914,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2212.7656009429047,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,14064.12849998067,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,176252.12228004987,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0055020332343349715,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0022279552690636414,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.00327407796527133,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.22614128397599212,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.09643923450136066,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.12690985866297858,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.003916634522796418,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,253235.00556681558,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,18415781.16744626,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,51.60989742644778,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.18855535719335226,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.43840162618356154,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,51890.89229700197,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3067901.179395531,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,21334.834524553833,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,3799353.6015634276,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,6600.153239792953,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,3788544.1925417148,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,4209.255781919092,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,219669103.92455745,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",44743204.22690519,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",174575001.1914416,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",350898.5062106876,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,42669676.27869723,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,3754.0715516715354,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,3924.0061945244734,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,41037.11560541598,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0051002350662130444,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.00397828949503486,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0011219455711781877,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.0927454900416699,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.014852854459997733,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.07694908761064977,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0013693671907910611,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,242094.6096791953,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,20522156.427058626,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,103.57773802096726,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.026848580030363965,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.32921034154357454,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,12845.06225801274,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1451315.7056538227,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN455.0,Acidification,11175.459340320444,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change,3083523.061871101,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: biogenic,2523.7468591242273,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: fossil,3077760.6025119363,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: land use and land use change,3238.712500040308,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Ecotoxicity: freshwater,106452287.814522,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, inorganics",24278053.28403656,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, metals",79875526.56840938,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, organics",2298707.9620760554,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,Energy resources: non-renewable,39286633.09356648,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: freshwater,992.8332964534368,kg P-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: marine,3273.5968651139365,kg N-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: terrestrial,30546.635419915096,mol N-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Human toxicity: carcinogenic,0.0028259110635208574,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: carcinogenic, metals",0.0008554250023080893,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: carcinogenic, organics",0.001970486061212768,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,Human toxicity: non-carcinogenic,0.07772636177971634,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: non-carcinogenic, inorganics",0.04206615414765151,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: non-carcinogenic, metals",0.034059584397709224,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,"Human toxicity: non-carcinogenic, organics",0.0019945319005609183,CTUh
bill_of_materials.csv,Heat pipe_DN455.0,Ionising radiation: human health,124390.06957228921,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Land use,19687320.61083731,dimensionless
bill_of_materials.csv,Heat pipe_DN455.0,Material resources: metals/minerals,19.277889039773783,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Ozone depletion,0.04414752730769769,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Particulate matter formation,0.20330056473001987,disease incidence
bill_of_materials.csv,Heat pipe_DN455.0,Photochemical oxidant formation: human health,11553.887254673704,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Water use,1493945.7329534462,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN100.0,Acidification,78.62162286151768,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change,21940.192908374076,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: biogenic,17.7195364918228,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: fossil,21906.412999772507,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Climate change: land use and land use change,16.060372109745032,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Ecotoxicity: freshwater,810032.5650195143,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, inorganics",123945.48340033721,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, metals",678962.7232928798,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,"Ecotoxicity: freshwater, organics",7124.358326297767,CTUe
bill_of_materials.csv,Heat pipe_DN100.0,Energy resources: non-renewable,272133.1250365779,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN100.0,Eutrophication: freshwater,8.500989295206969,kg P-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Eutrophication: marine,19.835256304750146,kg N-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Eutrophication: terrestrial,196.63657489533506,mol N-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Human toxicity: carcinogenic,2.0786985731486583e-05,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: carcinogenic, metals",7.800090979019489e-06,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: carcinogenic, organics",1.2986894752467092e-05,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,Human toxicity: non-carcinogenic,0.0005938595628158424,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: non-carcinogenic, inorganics",0.000310475656979077,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: non-carcinogenic, metals",0.0002750623254930974,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,"Human toxicity: non-carcinogenic, organics",1.1125122911271124e-05,CTUh
bill_of_materials.csv,Heat pipe_DN100.0,Ionising radiation: human health,748.5430340391515,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Land use,92947.7133022589,dimensionless
bill_of_materials.csv,Heat pipe_DN100.0,Material resources: metals/minerals,0.12809339616683377,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Ozone depletion,0.00023668348786660113,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Particulate matter formation,0.0015728774214692914,disease incidence
bill_of_materials.csv,Heat pipe_DN100.0,Photochemical oxidant formation: human health,76.63843197045593,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN100.0,Water use,9095.161370878222,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN105.0,Acidification,128.72417291779803,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change,35908.22793985229,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: biogenic,29.012901873995162,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: fossil,35852.69481889837,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: land use and land use change,26.52021907991964,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Ecotoxicity: freshwater,1324237.1997754371,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, inorganics",204502.22123690523,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, metals",1107766.8120880285,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, organics",11968.1664505033,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,Energy resources: non-renewable,445577.0810150396,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: freshwater,13.869165798093876,kg P-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: marine,32.58244319298808,kg N-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: terrestrial,322.55633145678917,mol N-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Human toxicity: carcinogenic,3.400886283897012e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, metals",1.2713149638090313e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, organics",2.1295713200879805e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,Human toxicity: non-carcinogenic,0.0009708521138592327,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: non-carcinogenic, inorganics",0.000507922938193626,CTUh
