File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,28600.192829946074,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5112480.444024928,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3533.91352802136,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5106852.236088081,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2094.2944088255044,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1565963477.199328,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",14846280.055660091,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1054256481.4321611,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",496860715.71150565,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,73265386.225702,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1314.4397322014397,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,8354.454394665114,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,104698.29805335173,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0032683493850505212,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0013234627861066263,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.001944886598943895,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.13433374444289503,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.05728738801690694,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.07538772320195362,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002326581736032821,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,150428.11256620951,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,10939448.107699947,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,30.65760771193147,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.11200673632524166,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.26042185212561314,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,30824.525898947682,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1822412.2803367854,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,12149.330658203944,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2163579.152193937,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3758.521961479213,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2157423.628265527,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2397.001966930477,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,125092724.57207508,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",25479456.249571614,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",99413445.72840197,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",199822.59410154118,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,24298665.433368508,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,2137.7928449983115,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2234.563793182987,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,23368.98775452613,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.00290437885434149,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.002265475950779536,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0006389029035619551,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.05281482845702883,CTUh
