File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,26767.96423429049,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4784957.027663044,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3307.5186411367063,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4779689.382453361,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1960.1265685459832,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1465642368.1866398,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",13895175.319449717,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",986717116.0886979,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",465030076.7784941,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,68571748.79071495,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1230.2321158778313,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7819.238763986623,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,97990.9581151061,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003058967467960339,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0012386771213242693,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0018202903466360701,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.12572785393742775,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.05361735714966428,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.07055812142152926,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0021775327554110534,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,140791.16042840006,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,10238628.719425349,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,28.69357390774756,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.10483119221540323,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.24373831550628916,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,28849.798730659382,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1705662.1621483832,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,11142.578886878087,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1984294.6133865183,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3447.0728167700654,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,1978649.1656748736,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2198.374894874515,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,114726941.83178295,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",23368106.37908683,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",91175571.11651203,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",183264.33618411337,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,22285161.549565725,"MJ, net calorific value"
