File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,23892.08125226683,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4270873.238357071,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,2952.167128802201,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4266171.535745087,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1749.5354831816114,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1308177425.8582542,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",12402312.51211488,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",880706702.3944104,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",415068410.95172894,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,61204571.97933093,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1098.059060989338,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,6979.15935051662,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,87463.05519470328,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.002730319670665326,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0011055967562184621,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0016247229144468632,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.11221996845386087,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.04785684269222658,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.06297753371363787,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.001943584094269927,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,125664.91105241215,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,9138616.113471007,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,25.610808249049423,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.09356839168867032,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.21755168183118484,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,25750.248668573375,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1522410.0947789727,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,9973.380595970988,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1776081.2460699233,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3085.369149520634,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,1771028.1789806527,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,1967.6979397499442,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,102688566.72378288,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",20916075.272325814,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",81608457.16523051,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",164034.28622655594,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,19946764.571553282,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,1754.913276980784,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,1834.3525089871196,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,19183.592543108,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0023842034202664498,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.0018597282865856035,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0005244751336808464,CTUh
