File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1704.6235369986061,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,179633.7231540956,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,326.9235701255541,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,178906.03397170902,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,400.76561226102217,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10836903.495372515,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",876553.3789377676,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9942778.960537313,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",17571.15589743549,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2184077.9916903973,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,96.47737108959143,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,248.03822530945558,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2730.752337001536,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00015109439284708402,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.187738591082965e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.921700693625436e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.008819744006630898,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0009588605254651951,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.007421228292791831,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00046091663501806874,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,6058.9133951044005,kBq U235-Eq
