File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,31211.699409813904,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5579305.139872323,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3856.5980108143794,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5573163.015748011,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2285.5261134978423,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1708952860.1330218,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",16201905.812536838,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1150521487.5633655,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",542229466.7571205,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,79955307.49101038,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1434.4622799476756,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,9117.306335999892,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,114258.38374553644,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003566784992639482,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0014443092361525434,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.002122475756486938,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.1465998665490222,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06251834543174459,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.08227143676129078,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0025390237831328702,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,164163.8243531741,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,11938337.901319386,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,33.456978497253075,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.12223416138639778,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.28420118062214395,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,33639.1381179996,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1988818.2094726206,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,14083.992773031183,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2508107.9773562634,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,4357.029834150362,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2500972.246429112,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2778.7010930017,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,145012517.84123683,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",29536810.52687561,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",115244064.9259542,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",231642.3884071395,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,28167990.318608712,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,2478.21545287047,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2590.3962283564038,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,27090.27055951869,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.003366872788754706,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.002626230844800449,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0007406419439542563,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.06122507348134347,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.00980497386247557,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.05079722519302719,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.000903975027157171,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,159816.50709254303,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,13547510.878186813,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,68.37588133413121,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.01772384063624243,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.21732514802356045,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,8479.548496276431,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,958072.5777971563,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN365.0,Acidification,4132.945431219131,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Climate change,1142286.2874125233,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Climate change: biogenic,933.0073130515444,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Climate change: fossil,1140222.1183173438,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Climate change: land use and land use change,1131.1617821279451,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Ecotoxicity: freshwater,39978475.946917474,CTUe
bill_of_materials.csv,Heat pipe_DN365.0,"Ecotoxicity: freshwater, inorganics",8514802.406730436,CTUe
bill_of_materials.csv,Heat pipe_DN365.0,"Ecotoxicity: freshwater, metals",30703076.240124617,CTUe
bill_of_materials.csv,Heat pipe_DN365.0,"Ecotoxicity: freshwater, organics",760597.3000624338,CTUe
bill_of_materials.csv,Heat pipe_DN365.0,Energy resources: non-renewable,14475456.270265743,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN365.0,Eutrophication: freshwater,382.3416406086687,kg P-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Eutrophication: marine,1179.0071630447078,kg N-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Eutrophication: terrestrial,11115.907258043264,mol N-Eq
bill_of_materials.csv,Heat pipe_DN365.0,Human toxicity: carcinogenic,0.0010545914770837236,CTUh
bill_of_materials.csv,Heat pipe_DN365.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
