File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,39326.92799031125,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,7029957.85621146,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,4859.336566953649,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,7022218.74306761,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2879.776576896149,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,2153290828.1231112,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",20414498.256865002,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1449663957.6915615,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",683212372.174686,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,100744165.79679927,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1807.4310548621336,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,11487.860530552713,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,143966.24710659587,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.004494170430154474,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0018198382785928249,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0026743321515616493,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.18471670893222294,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.07877348927993787,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.10366250253433455,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0031991851572669393,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,206847.40084743328,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,15042377.180576257,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,42.155993073582735,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.15401577465171423,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.3580951879081009,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,42385.515285551446,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,2505922.8426747187,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,17693.777646710732,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,3150946.2962989043,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,5473.754376895324,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,3141981.648389289,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,3490.8935327196045,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,182179818.4663723,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",37107215.70777143,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",144781589.47990343,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",291013.2786973038,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,35387561.28919095,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,3113.3921956916374,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,3254.3253621360577,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,34033.61755390871,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.004229816036476515,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.003299344537140906,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0009304714993356084,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.07691730988791663,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.01231802871176248,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.06381676149084506,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0011356675188960556,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,200778.13062955945,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,17019793.25096192,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,85.90089900078925,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.02226653338419144,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.27302647112476336,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,10652.891410517579,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1203630.4927260657,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN410.0,Acidification,8339.076235329707,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Climate change,2302752.4649226726,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Climate change: biogenic,1882.8870459088025,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Climate change: fossil,2298517.2327458817,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Climate change: land use and land use change,2352.345130882474,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Ecotoxicity: freshwater,80023982.99812135,CTUe
bill_of_materials.csv,Heat pipe_DN410.0,"Ecotoxicity: freshwater, inorganics",17667870.410418168,CTUe
bill_of_materials.csv,Heat pipe_DN410.0,"Ecotoxicity: freshwater, metals",60727355.11935717,CTUe
bill_of_materials.csv,Heat pipe_DN410.0,"Ecotoxicity: freshwater, organics",1628757.4683459334,CTUe
bill_of_materials.csv,Heat pipe_DN410.0,Energy resources: non-renewable,29263161.949726567,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN410.0,Eutrophication: freshwater,755.5165231222754,kg P-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Eutrophication: marine,2412.153520368778,kg N-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Eutrophication: terrestrial,22618.843539648755,mol N-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Human toxicity: carcinogenic,0.002117890287269924,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: carcinogenic, metals",0.000655570157975518,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: carcinogenic, organics",0.001462320129294406,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,Human toxicity: non-carcinogenic,0.05846141032607041,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: non-carcinogenic, inorganics",0.03153645829149939,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: non-carcinogenic, metals",0.02575869257951613,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,"Human toxicity: non-carcinogenic, organics",0.001460367116198274,CTUh
bill_of_materials.csv,Heat pipe_DN410.0,Ionising radiation: human health,91604.50189544605,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Land use,14254308.579396749,dimensionless
bill_of_materials.csv,Heat pipe_DN410.0,Material resources: metals/minerals,14.313534674266803,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Ozone depletion,0.03221950513398641,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Particulate matter formation,0.1530894466938314,disease incidence
bill_of_materials.csv,Heat pipe_DN410.0,Photochemical oxidant formation: human health,8575.546412615884,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN410.0,Water use,1101297.5283830552,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN10.0,Acidification,0.6396978537931843,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN10.0,Climate change,184.51487461985295,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN10.0,Climate change: biogenic,0.14386680102405336,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN10.0,Climate change: fossil,184.26294782833696,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN10.0,Climate change: land use and land use change,0.10805999049195418,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN10.0,Ecotoxicity: freshwater,6749.248802974507,CTUe
