File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,158.16036031667784,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,16666.984681616144,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,30.333002287480866,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,16599.467378946807,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,37.18430038185559,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,1005482.1632716801,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",81329.3934059483,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",922522.4624766819,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",1630.3073890509052,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,202645.6602457214,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,8.951475468186091,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,23.013770627810445,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,253.36783411792507,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,1.4019015398908008e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",7.596842690700858e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.422172708207147e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0008183237293823339,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",8.89661106451907e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0006885650205481355,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",4.276530241906902e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,562.1651378723428,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,111566.04343407394,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,0.7941357981451316,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.00016361325522962127,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.0015678387620341237,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,82.24286808860325,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,7516.3913079836075,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,96.6491873160026,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,14825.801125849568,kg CO2-Eq
