File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,174.36810012061775,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,18374.961007005208,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,33.44142596306828,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,18300.52475908475,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,40.99482195738785,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,1108520.5810343893,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",89663.75508858841,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",1017059.4501591476,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",1797.3757866523702,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,223412.10341191024,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,9.868792455572917,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,25.372144151342262,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,279.33211443347835,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,1.545563677127956e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.375341484050893e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",7.080295287228666e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0009021827826537224,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",9.808305733030605e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.000759126839380573,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",4.714774624290233e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,619.7739234317426,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,122998.95493803086,dimensionless
