File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,33699.87474447559,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,6024083.530542602,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,4164.043367128313,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,6017451.76048303,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2467.726692443008,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1845189413.575724,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",17493510.665189963,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1242240273.8353283,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",585455629.0752054,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,86329289.93144968,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1548.816632032268,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,9844.131762771012,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,123366.98396884126,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003851126653316133,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.001559448580852524,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.002291678072463609,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.15828670766659603,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06750226518006222,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.08883005944340766,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002741433022961837,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,177250.85217681344,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,12890054.035480917,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,36.12414594546309,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.13197858514946473,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.3068575044070449,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,36320.827206616406,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,2147365.4371951832,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,15096.268464197956,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2688376.2277888367,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,4670.187860988071,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2680727.6219211286,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2978.4180067202597,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,155435176.32247818,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",31659745.107487496,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",123527139.71559592,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",248291.4993948542,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,30192542.043965265,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,2656.3352020667644,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2776.5788808692932,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,29037.362041065222,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.003608864071641016,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.0028149890816460774,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0007938749899949389,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.06562557656124719,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.010509698499406335,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.05444823503592425,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0009689475076291368,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,171303.19043469513,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,14521227.363192849,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,73.29034299653594,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.01899772747496176,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.23294521883506547,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,9089.009247441185,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1026933.2763580565,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN380.0,Acidification,7519.813892532295,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Climate change,2077729.3037029037,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Climate change: biogenic,1697.6973722935943,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Climate change: fossil,2073951.8372323024,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Climate change: land use and land use change,2079.7690983077114,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Ecotoxicity: freshwater,72541933.2753447,CTUe
bill_of_materials.csv,Heat pipe_DN380.0,"Ecotoxicity: freshwater, inorganics",15643257.087413982,CTUe
bill_of_materials.csv,Heat pipe_DN380.0,"Ecotoxicity: freshwater, metals",55485688.18632529,CTUe
bill_of_materials.csv,Heat pipe_DN380.0,"Ecotoxicity: freshwater, organics",1412988.0016054353,CTUe
bill_of_materials.csv,Heat pipe_DN380.0,Energy resources: non-renewable,26354985.45187154,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN380.0,Eutrophication: freshwater,690.736769550711,kg P-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Eutrophication: marine,2155.465489680511,kg N-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Eutrophication: terrestrial,20283.985942128256,mol N-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Human toxicity: carcinogenic,0.0019157321324850252,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: carcinogenic, metals",0.0006022746555810658,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: carcinogenic, organics",0.0013134574769039595,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,Human toxicity: non-carcinogenic,0.053015351789442756,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: non-carcinogenic, inorganics",0.028532522588255862,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: non-carcinogenic, metals",0.023449265074243924,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,"Human toxicity: non-carcinogenic, organics",0.0012988956596007412,CTUh
bill_of_materials.csv,Heat pipe_DN380.0,Ionising radiation: human health,81822.35426815353,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN380.0,Land use,12572818.998880161,dimensionless
bill_of_materials.csv,Heat pipe_DN380.0,Material resources: metals/minerals,12.86120433190768,kg Sb-Eq
