File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,328.24970587799237,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,34591.04929110728,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,62.95382142103085,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,34450.92230417763,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,77.17316550862654,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,2086801.1662255449,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",168792.92264689473,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",1914624.665545097,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",3383.5780335551326,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,420575.53637284663,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,18.578101262053668,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,47.763317082717556,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,525.8455207210523,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,2.9095391994408208e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",1.576666475614353e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",1.3328727238264677e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0016983681811605417,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0001846423439724125,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.001429063926133234,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",8.875610748948525e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,1166.7306573655967,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,231546.77233840566,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,1.64816798372478,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0003395667713410028,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.003253929185994319,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,170.68876933887313,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,15599.694077387267,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,122.7787609743244,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,18834.02792340045,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,24.165496587080376,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,18764.65909501098,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,45.203331802390636,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,584885.5489507456,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",33008.552331584026,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",550036.0013619536,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",1840.995257208303,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,214817.93062548182,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,5.0921744989348,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,23.829771354485423,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,252.43618590642737,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,1.0195663478301487e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",2.148333981919784e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",8.047329496381698e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0002531781812073951,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.00010533184347327831,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0001439045182663139,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",6.069976306344052e-06,CTUh
