techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_from,link_to
TH1_to_TH1_SH1_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1,TH1_SH1_interp_1
TH1_SH1_interp_1_to_TH1_SH1_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_1,TH1_SH1_interp_2
TH1_SH1_interp_2_to_TH1_SH1_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_2,TH1_SH1_interp_3
TH1_SH1_interp_3_to_TH1_SH1_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_3,TH1_SH1_interp_4
TH1_SH1_interp_4_to_TH1_SH1_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_4,TH1_SH1_interp_5
TH1_SH1_interp_5_to_TH1_SH1_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_5,TH1_SH1_interp_6
TH1_SH1_interp_6_to_TH1_SH1_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_6,TH1_SH1_interp_7
TH1_SH1_interp_7_to_TH1_SH1_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_7,TH1_SH1_interp_8
TH1_SH1_interp_8_to_TH1_SH1_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_8,TH1_SH1_interp_9
TH1_SH1_interp_9_to_TH1_SH1_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_9,TH1_SH1_interp_10
TH1_SH1_interp_10_to_SH1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH1_SH1_interp_10,SH1
TH2_to_TH2_TH1_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2,TH2_TH1_interp_1
TH2_TH1_interp_1_to_TH2_TH1_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_1,TH2_TH1_interp_2
TH2_TH1_interp_2_to_TH2_TH1_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_2,TH2_TH1_interp_3
TH2_TH1_interp_3_to_TH2_TH1_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_3,TH2_TH1_interp_4
TH2_TH1_interp_4_to_TH2_TH1_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_4,TH2_TH1_interp_5
TH2_TH1_interp_5_to_TH2_TH1_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_5,TH2_TH1_interp_6
TH2_TH1_interp_6_to_TH2_TH1_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_6,TH2_TH1_interp_7
TH2_TH1_interp_7_to_TH2_TH1_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_7,TH2_TH1_interp_8
TH2_TH1_interp_8_to_TH2_TH1_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_8,TH2_TH1_interp_9
TH2_TH1_interp_9_to_TH2_TH1_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_9,TH2_TH1_interp_10
TH2_TH1_interp_10_to_TH1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH2_TH1_interp_10,TH1
TH3_to_TH3_TH2_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3,TH3_TH2_interp_1
TH3_TH2_interp_1_to_TH3_TH2_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_1,TH3_TH2_interp_2
TH3_TH2_interp_2_to_TH3_TH2_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_2,TH3_TH2_interp_3
TH3_TH2_interp_3_to_TH3_TH2_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_3,TH3_TH2_interp_4
TH3_TH2_interp_4_to_TH3_TH2_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_4,TH3_TH2_interp_5
TH3_TH2_interp_5_to_TH3_TH2_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_5,TH3_TH2_interp_6
TH3_TH2_interp_6_to_TH3_TH2_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_6,TH3_TH2_interp_7
TH3_TH2_interp_7_to_TH3_TH2_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_7,TH3_TH2_interp_8
