techs,carrier_out,carrier_in
transmission2056_to_transmission878_heat,1,1
transmission878_to_transmission1952_heat,1,1
transmission1952_to_transmission515_heat,1,1
transmission515_to_transmission2689_heat,1,1
transmission2689_to_transmission2720_heat,1,1
transmission2720_to_transmission1999_heat,1,1
transmission1999_to_transmission2287_heat,1,1
transmission2287_to_transmission2388_heat,1,1
transmission2388_to_transmission1887_heat,1,1
transmission1887_to_transmission2339_heat,1,1
transmission2339_to_transmission2259_heat,1,1
transmission2259_to_transmission448_heat,1,1
transmission448_to_transmission2923_heat,1,1
transmission2923_to_transmission1749_heat,1,1
transmission1749_to_transmission348_heat,1,1
transmission348_to_transmission2760_heat,1,1
transmission2760_to_transmission308_heat,1,1
transmission308_to_transmission1395_heat,1,1
transmission1395_to_transmission2811_heat,1,1
transmission2811_to_transmission1994_heat,1,1
transmission1994_to_transmission1893_heat,1,1
transmission1893_to_transmission2737_heat,1,1
transmission2737_to_transmission1988_heat,1,1
transmission1988_to_transmission1970_heat,1,1
transmission1970_to_transmission2655_heat,1,1
transmission2655_to_transmission2928_heat,1,1
transmission2928_to_transmission2914_heat,1,1
transmission2914_to_transmission1283_heat,1,1
transmission1283_to_transmission592_heat,1,1
transmission592_to_transmission955_heat,1,1
transmission955_to_transmission536_heat,1,1
transmission536_to_transmission964_heat,1,1
transmission964_to_transmission983_heat,1,1
transmission983_to_transmission569_heat,1,1
transmission569_to_transmission549_heat,1,1
transmission549_to_transmission981_heat,1,1
transmission981_to_transmission568_heat,1,1
transmission568_to_transmission2546_heat,1,1
transmission2546_to_transmission1017_heat,1,1
transmission1017_to_transmission2565_heat,1,1
transmission2565_to_transmission2667_heat,1,1
transmission2667_to_transmission1739_heat,1,1
transmission1739_to_transmission419_heat,1,1
transmission419_to_transmission894_heat,1,1
transmission894_to_transmission17_heat,1,1
transmission17_to_transmission2854_heat,1,1
transmission2854_to_transmission1081_heat,1,1
transmission1081_to_transmission2447_heat,1,1
transmission2447_to_transmission1625_heat,1,1
transmission1625_to_transmission82_heat,1,1
transmission82_to_transmission2910_heat,1,1
transmission2910_to_transmission1154_heat,1,1
transmission1154_to_transmission2528_heat,1,1
transmission1678_to_transmission2134_heat,1,1
transmission2134_to_transmission85_heat,1,1
transmission85_to_transmission1485_heat,1,1
transmission1485_to_transmission1978_heat,1,1
transmission1978_to_transmission1403_heat,1,1
transmission1403_to_transmission28_heat,1,1
transmission28_to_transmission1373_heat,1,1
transmission1373_to_transmission1002_heat,1,1
transmission1002_to_transmission2596_heat,1,1
transmission2596_to_transmission969_heat,1,1
transmission969_to_transmission2043_heat,1,1
transmission2043_to_transmission372_heat,1,1
transmission372_to_transmission2009_heat,1,1
transmission2009_to_transmission1397_heat,1,1
transmission1397_to_transmission1396_heat,1,1
transmission1396_to_transmission1786_heat,1,1
transmission1786_to_transmission2199_heat,1,1
