techs,base_tech,color
SH1_to_TH1,transmission,#823739
SE1_to_TE1,transmission,#6783E3
TH1_to_D1,transmission,#823739
TH1_to_D2,transmission,#823739
TH1_to_D3,transmission,#823739
TH1_to_D4,transmission,#823739
TH1_to_D5,transmission,#823739
TH1_to_D6,transmission,#823739
TH1_to_D7,transmission,#823739
TH1_to_D8,transmission,#823739
TH1_to_D9,transmission,#823739
TH1_to_D10,transmission,#823739
TH1_to_D11,transmission,#823739
TH1_to_D12,transmission,#823739
TH1_to_D13,transmission,#823739
TH1_to_D14,transmission,#823739
TH1_to_D15,transmission,#823739
TH1_to_D16,transmission,#823739
TH1_to_D17,transmission,#823739
TH1_to_D18,transmission,#823739
TH1_to_D19,transmission,#823739
TH1_to_D20,transmission,#823739
TH1_to_D21,transmission,#823739
TH1_to_D22,transmission,#823739
TH1_to_D23,transmission,#823739
TH1_to_D24,transmission,#823739
TH1_to_D25,transmission,#823739
TH1_to_D26,transmission,#823739
TH1_to_D27,transmission,#823739
TH1_to_D28,transmission,#823739
TH1_to_D29,transmission,#823739
TH1_to_D30,transmission,#823739
TH1_to_D31,transmission,#823739
TH1_to_D32,transmission,#823739
TH1_to_D33,transmission,#823739
TH1_to_D34,transmission,#823739
TH1_to_D35,transmission,#823739
TH1_to_D36,transmission,#823739
TH1_to_D37,transmission,#823739
TH1_to_D38,transmission,#823739
TH1_to_D39,transmission,#823739
TH1_to_D40,transmission,#823739
TH1_to_D41,transmission,#823739
TH1_to_D42,transmission,#823739
TH1_to_D43,transmission,#823739
TH1_to_D44,transmission,#823739
TH1_to_D45,transmission,#823739
TH1_to_D46,transmission,#823739
TH1_to_D47,transmission,#823739
TH1_to_D48,transmission,#823739
TH1_to_D49,transmission,#823739
TH1_to_D50,transmission,#823739
TH1_to_D51,transmission,#823739
TH1_to_D52,transmission,#823739
TH1_to_D53,transmission,#823739
TH1_to_D54,transmission,#823739
TH1_to_D55,transmission,#823739
TH1_to_D56,transmission,#823739
TH1_to_D57,transmission,#823739
TH1_to_D58,transmission,#823739
TH1_to_D59,transmission,#823739
TH1_to_D60,transmission,#823739
TH1_to_D61,transmission,#823739
TH1_to_D62,transmission,#823739
TH1_to_D63,transmission,#823739
TH1_to_D64,transmission,#823739
TH1_to_D65,transmission,#823739
TH1_to_D66,transmission,#823739
TH1_to_D67,transmission,#823739
TH1_to_D68,transmission,#823739
TH1_to_D69,transmission,#823739
TH1_to_D70,transmission,#823739
TH1_to_D71,transmission,#823739
TH1_to_D72,transmission,#823739
TH1_to_D73,transmission,#823739
TH1_to_D74,transmission,#823739
TH1_to_D75,transmission,#823739
TH1_to_D76,transmission,#823739
TH1_to_D77,transmission,#823739
TH1_to_D78,transmission,#823739
TH1_to_D79,transmission,#823739
TH1_to_D80,transmission,#823739
TH1_to_D81,transmission,#823739
TH1_to_D82,transmission,#823739
TH1_to_D83,transmission,#823739
TH1_to_D84,transmission,#823739
TH1_to_D85,transmission,#823739
TH1_to_D86,transmission,#823739
TH1_to_D87,transmission,#823739
TH1_to_D88,transmission,#823739
TH1_to_D89,transmission,#823739
TH1_to_D90,transmission,#823739
TH1_to_D91,transmission,#823739
TH1_to_D92,transmission,#823739
TH1_to_D93,transmission,#823739
TH1_to_D94,transmission,#823739
TH1_to_D95,transmission,#823739
TH1_to_D96,transmission,#823739
TH1_to_D97,transmission,#823739
TH1_to_D98,transmission,#823739
TH1_to_D99,transmission,#823739
TH1_to_D100,transmission,#823739
TH1_to_D101,transmission,#823739
TH1_to_D102,transmission,#823739
TH1_to_D103,transmission,#823739
TH1_to_D104,transmission,#823739
TH1_to_D105,transmission,#823739
TH1_to_D106,transmission,#823739
TH1_to_D107,transmission,#823739
TH1_to_D108,transmission,#823739
TH1_to_D109,transmission,#823739
TH1_to_D110,transmission,#823739
TH1_to_D111,transmission,#823739
TH1_to_D112,transmission,#823739
TH1_to_D113,transmission,#823739
TH1_to_D114,transmission,#823739
TH1_to_D115,transmission,#823739
TH1_to_D116,transmission,#823739
TH1_to_D117,transmission,#823739
TH1_to_D118,transmission,#823739
TH1_to_D119,transmission,#823739
TH1_to_D120,transmission,#823739
TH1_to_D121,transmission,#823739
TH1_to_D122,transmission,#823739
TH1_to_D123,transmission,#823739
TH1_to_D124,transmission,#823739
TH1_to_D125,transmission,#823739
TH1_to_D126,transmission,#823739
TH1_to_D127,transmission,#823739
TH1_to_D128,transmission,#823739
TH1_to_D129,transmission,#823739
TH1_to_D130,transmission,#823739
TH1_to_D131,transmission,#823739
TH1_to_D132,transmission,#823739
TH1_to_D133,transmission,#823739
TH1_to_D134,transmission,#823739
TH1_to_D135,transmission,#823739
TH1_to_D136,transmission,#823739
TH1_to_D137,transmission,#823739
TH1_to_D138,transmission,#823739
TH1_to_D139,transmission,#823739
TH1_to_D140,transmission,#823739
TH1_to_D141,transmission,#823739
TH1_to_D142,transmission,#823739
TH1_to_D143,transmission,#823739
TH1_to_D144,transmission,#823739
TE1_to_SH1,transmission,#6783E3
