techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet5_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_substation_multatulibuurt,100
transmission2056_to_transmission515_heat,100
transmission2056_to_transmission515_electricity,100
transmission515_to_transmission2287_heat,100
transmission515_to_transmission2287_electricity,100
transmission2287_to_transmission2811_heat,100
transmission2287_to_transmission2811_electricity,100
transmission2811_to_transmission1988_heat,100
transmission2811_to_transmission1988_electricity,100
transmission1988_to_transmission1017_heat,100
transmission1988_to_transmission1017_electricity,100
transmission1017_to_transmission419_heat,100
transmission1017_to_transmission419_electricity,100
transmission419_to_transmission2528_heat,100
transmission419_to_transmission2528_electricity,100
transmission1678_to_transmission1978_heat,100
transmission1678_to_transmission1978_electricity,100
transmission1978_to_transmission1397_heat,100
transmission1978_to_transmission1397_electricity,100
transmission1397_to_transmission613_heat,100
transmission1397_to_transmission613_electricity,100
transmission613_to_transmission1383_heat,100
transmission613_to_transmission1383_electricity,100
transmission1383_to_transmission644_heat,100
transmission1383_to_transmission644_electricity,100
transmission644_to_transmission2795_heat,100
transmission644_to_transmission2795_electricity,100
transmission2795_to_transmission2844_heat,100
transmission2795_to_transmission2844_electricity,100
transmission2844_to_transmission315_heat,100
transmission2844_to_transmission315_electricity,100
transmission2371_to_transmission1106_heat,100
transmission2371_to_transmission1106_electricity,100
transmission1106_to_transmission315_heat,100
transmission1106_to_transmission315_electricity,100
transmission315_to_transmission1843_heat,100
transmission315_to_transmission1843_electricity,100
transmission1843_to_transmission2366_heat,100
transmission1843_to_transmission2366_electricity,100
transmission2366_to_transmission1399_heat,100
transmission2366_to_transmission1399_electricity,100
transmission1399_to_transmission826_heat,100
transmission1399_to_transmission826_electricity,100
transmission826_to_transmission2023_heat,100
transmission826_to_transmission2023_electricity,100
transmission1603_to_transmission1850_heat,100
transmission1603_to_transmission1850_electricity,100
transmission1850_to_transmission240_heat,100
transmission1850_to_transmission240_electricity,100
transmission240_to_transmission2608_heat,100
transmission240_to_transmission2608_electricity,100
transmission2608_to_transmission1824_heat,100
transmission2608_to_transmission1824_electricity,100
transmission1824_to_transmission1915_heat,100
transmission1824_to_transmission1915_electricity,100
transmission1915_to_transmission1638_heat,100
transmission1915_to_transmission1638_electricity,100
transmission1638_to_transmission1816_heat,100
transmission1638_to_transmission1816_electricity,100
transmission1816_to_transmission2561_heat,100
transmission1816_to_transmission2561_electricity,100
transmission2234_to_transmission130_heat,100
transmission2234_to_transmission130_electricity,100
transmission130_to_transmission2093_heat,100
transmission130_to_transmission2093_electricity,100
transmission2093_to_transmission236_heat,100
transmission2093_to_transmission236_electricity,100
transmission236_to_transmission2465_heat,100
transmission236_to_transmission2465_electricity,100
transmission694_to_transmission1256_heat,100
transmission694_to_transmission1256_electricity,100
transmission1256_to_transmission2232_heat,100
transmission1256_to_transmission2232_electricity,100
transmission2232_to_transmission1579_heat,100
transmission2232_to_transmission1579_electricity,100
transmission737_to_transmission408_heat,100
transmission737_to_transmission408_electricity,100
transmission408_to_transmission2739_heat,100
transmission408_to_transmission2739_electricity,100
transmission2739_to_transmission2295_heat,100
transmission2739_to_transmission2295_electricity,100
transmission2295_to_transmission1423_heat,100
transmission2295_to_transmission1423_electricity,100
transmission1423_to_transmission1881_heat,100
transmission1423_to_transmission1881_electricity,100
transmission1881_to_transmission1158_heat,100
transmission1881_to_transmission1158_electricity,100
transmission1158_to_transmission1813_heat,100
transmission1158_to_transmission1813_electricity,100
transmission1813_to_transmission369_heat,100
transmission1813_to_transmission369_electricity,100
transmission369_to_transmission1682_heat,100
transmission369_to_transmission1682_electricity,100
transmission1682_to_transmission644_heat,100
transmission1682_to_transmission644_electricity,100
transmission2020_to_transmission2905_heat,100
transmission2020_to_transmission2905_electricity,100
transmission2905_to_transmission444_heat,100
transmission2905_to_transmission444_electricity,100
transmission444_to_transmission2718_heat,100
transmission444_to_transmission2718_electricity,100
transmission2718_to_transmission2386_heat,100
transmission2718_to_transmission2386_electricity,100
transmission2386_to_transmission2779_heat,100
transmission2386_to_transmission2779_electricity,100
transmission596_to_transmission167_heat,100
transmission596_to_transmission167_electricity,100
