techs,carrier_out,carrier_in
transmission2056_to_transmission515_electricity,1,1
transmission515_to_transmission2287_electricity,1,1
transmission2287_to_transmission2811_electricity,1,1
transmission2811_to_transmission1988_electricity,1,1
transmission1988_to_transmission1017_electricity,1,1
transmission1017_to_transmission419_electricity,1,1
transmission419_to_transmission2528_electricity,1,1
transmission1678_to_transmission1978_electricity,1,1
transmission1978_to_transmission1397_electricity,1,1
transmission1397_to_transmission613_electricity,1,1
transmission613_to_transmission1383_electricity,1,1
transmission1383_to_transmission644_electricity,1,1
transmission644_to_transmission2795_electricity,1,1
transmission2795_to_transmission2844_electricity,1,1
transmission2844_to_transmission315_electricity,1,1
transmission2371_to_transmission1106_electricity,1,1
transmission1106_to_transmission315_electricity,1,1
transmission315_to_transmission1843_electricity,1,1
transmission1843_to_transmission2366_electricity,1,1
transmission2366_to_transmission1399_electricity,1,1
transmission1399_to_transmission826_electricity,1,1
transmission826_to_transmission2023_electricity,1,1
transmission1603_to_transmission1850_electricity,1,1
transmission1850_to_transmission240_electricity,1,1
transmission240_to_transmission2608_electricity,1,1
transmission2608_to_transmission1824_electricity,1,1
transmission1824_to_transmission1915_electricity,1,1
transmission1915_to_transmission1638_electricity,1,1
transmission1638_to_transmission1816_electricity,1,1
transmission1816_to_transmission2561_electricity,1,1
transmission2234_to_transmission130_electricity,1,1
transmission130_to_transmission2093_electricity,1,1
transmission2093_to_transmission236_electricity,1,1
transmission236_to_transmission2465_electricity,1,1
transmission694_to_transmission1256_electricity,1,1
transmission1256_to_transmission2232_electricity,1,1
transmission2232_to_transmission1579_electricity,1,1
transmission737_to_transmission408_electricity,1,1
transmission408_to_transmission2739_electricity,1,1
transmission2739_to_transmission2295_electricity,1,1
transmission2295_to_transmission1423_electricity,1,1
transmission1423_to_transmission1881_electricity,1,1
transmission1881_to_transmission1158_electricity,1,1
transmission1158_to_transmission1813_electricity,1,1
transmission1813_to_transmission369_electricity,1,1
transmission369_to_transmission1682_electricity,1,1
transmission1682_to_transmission644_electricity,1,1
transmission2020_to_transmission2905_electricity,1,1
transmission2905_to_transmission444_electricity,1,1
transmission444_to_transmission2718_electricity,1,1
transmission2718_to_transmission2386_electricity,1,1
transmission2386_to_transmission2779_electricity,1,1
transmission596_to_transmission167_electricity,1,1
transmission167_to_transmission1148_electricity,1,1
transmission421_to_transmission694_electricity,1,1
transmission1978_to_transmission645_electricity,1,1
transmission645_to_transmission2621_electricity,1,1
transmission2621_to_transmission737_electricity,1,1
transmission737_to_transmission2609_electricity,1,1
transmission2609_to_transmission2232_electricity,1,1
transmission834_to_transmission403_electricity,1,1
transmission403_to_transmission1230_electricity,1,1
transmission1230_to_transmission2708_electricity,1,1
transmission2708_to_transmission1179_electricity,1,1
transmission1179_to_transmission1837_electricity,1,1
transmission299_to_transmission2056_electricity,1,1
transmission2056_to_transmission764_electricity,1,1
transmission2184_to_transmission1195_electricity,1,1
transmission1195_to_transmission520_electricity,1,1
transmission520_to_transmission1252_electricity,1,1
transmission1252_to_transmission2535_electricity,1,1
transmission2535_to_transmission2801_electricity,1,1
transmission2801_to_transmission1897_electricity,1,1
transmission1581_to_transmission5_electricity,1,1
transmission5_to_transmission715_electricity,1,1
transmission1089_to_transmission2072_electricity,1,1
transmission835_to_transmission2592_electricity,1,1
transmission2592_to_transmission388_electricity,1,1
transmission388_to_transmission2799_electricity,1,1
transmission2799_to_transmission976_electricity,1,1
