techs,carrier_in,carrier_out
TH1_to_TH1_SH1_interp_1,1,1
TH1_SH1_interp_1_to_TH1_SH1_interp_2,1,1
TH1_SH1_interp_2_to_TH1_SH1_interp_3,1,1
TH1_SH1_interp_3_to_TH1_SH1_interp_4,1,1
TH1_SH1_interp_4_to_TH1_SH1_interp_5,1,1
TH1_SH1_interp_5_to_TH1_SH1_interp_6,1,1
TH1_SH1_interp_6_to_TH1_SH1_interp_7,1,1
TH1_SH1_interp_7_to_TH1_SH1_interp_8,1,1
TH1_SH1_interp_8_to_TH1_SH1_interp_9,1,1
TH1_SH1_interp_9_to_TH1_SH1_interp_10,1,1
TH1_SH1_interp_10_to_SH1,1,1
TH2_to_TH2_TH1_interp_1,1,1
TH2_TH1_interp_1_to_TH2_TH1_interp_2,1,1
TH2_TH1_interp_2_to_TH2_TH1_interp_3,1,1
TH2_TH1_interp_3_to_TH2_TH1_interp_4,1,1
TH2_TH1_interp_4_to_TH2_TH1_interp_5,1,1
TH2_TH1_interp_5_to_TH2_TH1_interp_6,1,1
TH2_TH1_interp_6_to_TH2_TH1_interp_7,1,1
TH2_TH1_interp_7_to_TH2_TH1_interp_8,1,1
TH2_TH1_interp_8_to_TH2_TH1_interp_9,1,1
TH2_TH1_interp_9_to_TH2_TH1_interp_10,1,1
TH2_TH1_interp_10_to_TH1,1,1
TH3_to_TH3_TH2_interp_1,1,1
TH3_TH2_interp_1_to_TH3_TH2_interp_2,1,1
TH3_TH2_interp_2_to_TH3_TH2_interp_3,1,1
TH3_TH2_interp_3_to_TH3_TH2_interp_4,1,1
TH3_TH2_interp_4_to_TH3_TH2_interp_5,1,1
TH3_TH2_interp_5_to_TH3_TH2_interp_6,1,1
TH3_TH2_interp_6_to_TH3_TH2_interp_7,1,1
TH3_TH2_interp_7_to_TH3_TH2_interp_8,1,1
TH3_TH2_interp_8_to_TH3_TH2_interp_9,1,1
TH3_TH2_interp_9_to_TH3_TH2_interp_10,1,1
TH3_TH2_interp_10_to_TH2,1,1
TH4_to_TH4_TH3_interp_1,1,1
TH4_TH3_interp_1_to_TH4_TH3_interp_2,1,1
TH4_TH3_interp_2_to_TH4_TH3_interp_3,1,1
TH4_TH3_interp_3_to_TH4_TH3_interp_4,1,1
TH4_TH3_interp_4_to_TH4_TH3_interp_5,1,1
TH4_TH3_interp_5_to_TH4_TH3_interp_6,1,1
TH4_TH3_interp_6_to_TH4_TH3_interp_7,1,1
TH4_TH3_interp_7_to_TH4_TH3_interp_8,1,1
TH4_TH3_interp_8_to_TH4_TH3_interp_9,1,1
TH4_TH3_interp_9_to_TH4_TH3_interp_10,1,1
TH4_TH3_interp_10_to_TH3,1,1
TH5_to_TH5_TH4_interp_1,1,1
TH5_TH4_interp_1_to_TH5_TH4_interp_2,1,1
TH5_TH4_interp_2_to_TH5_TH4_interp_3,1,1
TH5_TH4_interp_3_to_TH5_TH4_interp_4,1,1
TH5_TH4_interp_4_to_TH5_TH4_interp_5,1,1
TH5_TH4_interp_5_to_TH5_TH4_interp_6,1,1
TH5_TH4_interp_6_to_TH5_TH4_interp_7,1,1
TH5_TH4_interp_7_to_TH5_TH4_interp_8,1,1
TH5_TH4_interp_8_to_TH5_TH4_interp_9,1,1
TH5_TH4_interp_9_to_TH5_TH4_interp_10,1,1
TH5_TH4_interp_10_to_TH4,1,1
TH6_to_TH6_TH5_interp_1,1,1
TH6_TH5_interp_1_to_TH6_TH5_interp_2,1,1
TH6_TH5_interp_2_to_TH6_TH5_interp_3,1,1
TH6_TH5_interp_3_to_TH6_TH5_interp_4,1,1
TH6_TH5_interp_4_to_TH6_TH5_interp_5,1,1
TH6_TH5_interp_5_to_TH6_TH5_interp_6,1,1
TH6_TH5_interp_6_to_TH6_TH5_interp_7,1,1
TH6_TH5_interp_7_to_TH6_TH5_interp_8,1,1
TH6_TH5_interp_8_to_TH6_TH5_interp_9,1,1
TH6_TH5_interp_9_to_TH6_TH5_interp_10,1,1
TH6_TH5_interp_10_to_TH5,1,1
TH7_to_TH7_TH6_interp_1,1,1
TH7_TH6_interp_1_to_TH7_TH6_interp_2,1,1
TH7_TH6_interp_2_to_TH7_TH6_interp_3,1,1
TH7_TH6_interp_3_to_TH7_TH6_interp_4,1,1
TH7_TH6_interp_4_to_TH7_TH6_interp_5,1,1
TH7_TH6_interp_5_to_TH7_TH6_interp_6,1,1
TH7_TH6_interp_6_to_TH7_TH6_interp_7,1,1
TH7_TH6_interp_7_to_TH7_TH6_interp_8,1,1
TH7_TH6_interp_8_to_TH7_TH6_interp_9,1,1
TH7_TH6_interp_9_to_TH7_TH6_interp_10,1,1
TH7_TH6_interp_10_to_TH6,1,1
TH8_to_TH8_TH7_interp_1,1,1
TH8_TH7_interp_1_to_TH8_TH7_interp_2,1,1
TH8_TH7_interp_2_to_TH8_TH7_interp_3,1,1
TH8_TH7_interp_3_to_TH8_TH7_interp_4,1,1
TH8_TH7_interp_4_to_TH8_TH7_interp_5,1,1
TH8_TH7_interp_5_to_TH8_TH7_interp_6,1,1
TH8_TH7_interp_6_to_TH8_TH7_interp_7,1,1
TH8_TH7_interp_7_to_TH8_TH7_interp_8,1,1
TH8_TH7_interp_8_to_TH8_TH7_interp_9,1,1
TH8_TH7_interp_9_to_TH8_TH7_interp_10,1,1
TH8_TH7_interp_10_to_TH7,1,1
TH9_to_TH9_TH8_interp_1,1,1
TH9_TH8_interp_1_to_TH9_TH8_interp_2,1,1
TH9_TH8_interp_2_to_TH9_TH8_interp_3,1,1
TH9_TH8_interp_3_to_TH9_TH8_interp_4,1,1
TH9_TH8_interp_4_to_TH9_TH8_interp_5,1,1
TH9_TH8_interp_5_to_TH9_TH8_interp_6,1,1
TH9_TH8_interp_6_to_TH9_TH8_interp_7,1,1
TH9_TH8_interp_7_to_TH9_TH8_interp_8,1,1
TH9_TH8_interp_8_to_TH9_TH8_interp_9,1,1
TH9_TH8_interp_9_to_TH9_TH8_interp_10,1,1
TH9_TH8_interp_10_to_TH8,1,1
TH10_to_TH10_TH9_interp_1,1,1
TH10_TH9_interp_1_to_TH10_TH9_interp_2,1,1
TH10_TH9_interp_2_to_TH10_TH9_interp_3,1,1
TH10_TH9_interp_3_to_TH10_TH9_interp_4,1,1
TH10_TH9_interp_4_to_TH10_TH9_interp_5,1,1
TH10_TH9_interp_5_to_TH10_TH9_interp_6,1,1
TH10_TH9_interp_6_to_TH10_TH9_interp_7,1,1
TH10_TH9_interp_7_to_TH10_TH9_interp_8,1,1
TH10_TH9_interp_8_to_TH10_TH9_interp_9,1,1
TH10_TH9_interp_9_to_TH10_TH9_interp_10,1,1
TH10_TH9_interp_10_to_TH9,1,1
TH11_to_TH11_TH10_interp_1,1,1
TH11_TH10_interp_1_to_TH11_TH10_interp_2,1,1
