techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LQHtransmission681_to_LQHtransmission891_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission891,LQHtransmission681
LQHtransmission891_to_LQHtransmission124_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission124,LQHtransmission891
LQHtransmission124_to_LQHtransmission70_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission70,LQHtransmission124
LQHtransmission70_to_LQHtransmission427_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission427,LQHtransmission70
LQHtransmission427_to_LQHtransmission5_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission5,LQHtransmission427
LQHtransmission5_to_LQHtransmission260_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission260,LQHtransmission5
LQHtransmission260_to_LQHtransmission451_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission451,LQHtransmission260
LQHtransmission451_to_LQHtransmission498_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission498,LQHtransmission451
LQHtransmission498_to_LQHtransmission482_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission482,LQHtransmission498
LQHtransmission482_to_LQHtransmission626_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission626,LQHtransmission482
LQHtransmission626_to_LQHtransmission829_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission829,LQHtransmission626
LQHtransmission829_to_LQHtransmission145_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission145,LQHtransmission829
LQHtransmission145_to_LQHtransmission327_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission327,LQHtransmission145
LQHtransmission327_to_LQHtransmission354_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission354,LQHtransmission327
LQHtransmission354_to_LQHtransmission202_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission202,LQHtransmission354
