nodes,techs,latitude,longitude,parameters,timesteps,01/01/2050 00:00
SH1,supply_geothermal,51.99977671,4.369899354,source_use_max,,1000
SH1,demand_electricity,51.99977671,4.369899354,sink_use_equals,,200
SE1,supply_grid_power,51.99453782,4.356323281,source_use_max,,500
SE2,supply_grid_power,51.99584366,4.357025179,source_use_max,,500
SE3,supply_grid_power,51.99521254,4.360153744,source_use_max,,500
SE4,supply_grid_power,51.9971259,4.360177196,source_use_max,,500
D1,demand_heat,51.99670983,4.359701509,sink_use_equals,,5
D2,demand_heat,51.997015,4.359133,sink_use_equals,,5
D3,demand_heat,51.99684,4.35839,sink_use_equals,,5
D4,demand_heat,51.99683921,4.358138278,sink_use_equals,,5
D5,demand_heat,51.99665755,4.357360437,sink_use_equals,,5
D6,demand_heat,51.99595401,4.357007235,sink_use_equals,,5
D7,demand_heat,51.99595635,4.35708493,sink_use_equals,,5
D8,demand_heat,51.99597286,4.357164055,sink_use_equals,,5
D9,demand_heat,51.99599185,4.35726732,sink_use_equals,,5
D10,demand_heat,51.99600672,4.357345104,sink_use_equals,,5
D11,demand_heat,51.99602736,4.357420206,sink_use_equals,,5
D12,demand_heat,51.99581411,4.356956115,sink_use_equals,,5
D13,demand_heat,51.99577365,4.357080837,sink_use_equals,,5
D14,demand_heat,51.99572989,4.35713314,sink_use_equals,,5
D15,demand_heat,51.99566713,4.357147892,sink_use_equals,,5
D16,demand_heat,51.99562171,4.357185443,sink_use_equals,,5
D17,demand_heat,51.99556722,4.357220312,sink_use_equals,,5
D18,demand_heat,51.9955218,4.35724177,sink_use_equals,,5
D19,demand_heat,51.99546491,4.357248972,sink_use_equals,,5
D20,demand_heat,51.99541779,4.357291737,sink_use_equals,,5
D21,demand_heat,51.99587749,4.35749614,sink_use_equals,,5
D22,demand_heat,51.99580978,4.357531008,sink_use_equals,,5
D23,demand_heat,51.99575858,4.357552466,sink_use_equals,,5
D24,demand_heat,51.99570573,4.35758197,sink_use_equals,,5
D25,demand_heat,51.99564958,4.357584653,sink_use_equals,,5
D26,demand_heat,51.99559013,4.357657072,sink_use_equals,,5
D27,demand_heat,51.99554279,4.357677245,sink_use_equals,,5
D28,demand_heat,51.9954913,4.357712088,sink_use_equals,,5
D29,demand_heat,51.99526024,4.357353326,sink_use_equals,,5
D30,demand_heat,51.99528336,4.357412335,sink_use_equals,,5
D31,demand_heat,51.99529162,4.357524988,sink_use_equals,,5
D32,demand_heat,51.99531309,4.357608136,sink_use_equals,,5
D33,demand_heat,51.99532961,4.357677873,sink_use_equals,,5
D34,demand_heat,51.99535108,4.35775834,sink_use_equals,,5
D35,demand_heat,51.99615117,4.357831582,sink_use_equals,,5
D36,demand_heat,51.99615049,4.357923257,sink_use_equals,,5
D37,demand_heat,51.99617157,4.35799726,sink_use_equals,,5
D38,demand_heat,51.99618925,4.358078995,sink_use_equals,,5
D39,demand_heat,51.9962477,4.358305067,sink_use_equals,,5
D40,demand_heat,51.99621092,4.358320004,sink_use_equals,,5
D41,demand_heat,51.99615771,4.358353078,sink_use_equals,,5
D42,demand_heat,51.99610302,4.35838821,sink_use_equals,,5
D43,demand_heat,51.99601442,4.357904806,sink_use_equals,,5
D44,demand_heat,51.99594421,4.357933313,sink_use_equals,,5
D45,demand_heat,51.99583755,4.358001293,sink_use_equals,,5
D46,demand_heat,51.99578219,4.358031993,sink_use_equals,,5
D47,demand_heat,51.99573493,4.358049537,sink_use_equals,,5
D48,demand_heat,51.99580552,4.358312077,sink_use_equals,,5
D49,demand_heat,51.99557522,4.358109079,sink_use_equals,,5
D50,demand_heat,51.99559328,4.358190091,sink_use_equals,,5
D51,demand_heat,51.99561134,4.358289262,sink_use_equals,,5
D52,demand_heat,51.99563112,4.358371671,sink_use_equals,,5
D53,demand_heat,51.99564746,4.358448493,sink_use_equals,,5
D54,demand_heat,51.99567498,4.358542076,sink_use_equals,,5
D55,demand_heat,51.99603915,4.358626405,sink_use_equals,,5
D56,demand_heat,51.99604535,4.358716259,sink_use_equals,,5
D57,demand_heat,51.99607012,4.358781302,sink_use_equals,,5
D58,demand_heat,51.99608952,4.358868474,sink_use_equals,,5
D59,demand_heat,51.99614426,4.359095972,sink_use_equals,,5
D60,demand_heat,51.99608068,4.359136875,sink_use_equals,,5
D61,demand_heat,51.99603898,4.35915498,sink_use_equals,,5
D62,demand_heat,51.99598613,4.359187837,sink_use_equals,,5
D63,demand_heat,51.99572601,4.358674144,sink_use_equals,,5
D64,demand_heat,51.99575574,4.358777409,sink_use_equals,,5
D65,demand_heat,51.99576317,4.358859216,sink_use_equals,,5
D66,demand_heat,51.99577886,4.358942365,sink_use_equals,,5
D67,demand_heat,51.9957995,4.359020149,sink_use_equals,,5
D68,demand_heat,51.99581684,4.359095251,sink_use_equals,,5
D69,demand_heat,51.99583088,4.359202539,sink_use_equals,,5
D70,demand_heat,51.99584987,4.359277641,sink_use_equals,,5
D71,demand_heat,51.99617698,4.360077785,sink_use_equals,,5
D72,demand_heat,51.99584173,4.360262858,sink_use_equals,,5
D73,demand_heat,51.99540062,4.358278952,sink_use_equals,,5
D74,demand_heat,51.995323,4.358324549,sink_use_equals,,5
D75,demand_heat,51.99526355,4.358340643,sink_use_equals,,5
D76,demand_heat,51.9952173,4.358388922,sink_use_equals,,5
D77,demand_heat,51.99516941,4.358396969,sink_use_equals,,5
