nodes,techs,parameters,timesteps,2050/01/01 00:00
SH1,supply_geothermal,source_use_max,,5000
SH1,demand_electricity,sink_use_equals,,500
SE1,supply_electricity,source_use_max,,5000
SE2,supply_electricity,source_use_max,,5000
SE3,supply_electricity,source_use_max,,5000
SE4,supply_electricity,source_use_max,,5000
SE5,supply_electricity,source_use_max,,5000
D1,demand_heat,sink_use_equals,,10
D2,demand_heat,sink_use_equals,,10
D3,demand_heat,sink_use_equals,,10
D4,demand_heat,sink_use_equals,,10
D5,demand_heat,sink_use_equals,,10
D6,demand_heat,sink_use_equals,,10
D7,demand_heat,sink_use_equals,,10
D8,demand_heat,sink_use_equals,,10
D9,demand_heat,sink_use_equals,,10
D10,demand_heat,sink_use_equals,,10
D11,demand_heat,sink_use_equals,,10
D12,demand_heat,sink_use_equals,,10
D13,demand_heat,sink_use_equals,,10
D14,demand_heat,sink_use_equals,,10
D15,demand_heat,sink_use_equals,,10
D16,demand_heat,sink_use_equals,,10
D17,demand_heat,sink_use_equals,,10
D18,demand_heat,sink_use_equals,,10
D19,demand_heat,sink_use_equals,,10
D20,demand_heat,sink_use_equals,,10
D21,demand_heat,sink_use_equals,,10
D22,demand_heat,sink_use_equals,,10
D23,demand_heat,sink_use_equals,,10
D24,demand_heat,sink_use_equals,,10
D25,demand_heat,sink_use_equals,,10
D26,demand_heat,sink_use_equals,,10
D27,demand_heat,sink_use_equals,,10
D28,demand_heat,sink_use_equals,,10
D29,demand_heat,sink_use_equals,,10
D30,demand_heat,sink_use_equals,,10
D31,demand_heat,sink_use_equals,,10
D32,demand_heat,sink_use_equals,,10
D33,demand_heat,sink_use_equals,,10
D34,demand_heat,sink_use_equals,,10
D35,demand_heat,sink_use_equals,,10
D36,demand_heat,sink_use_equals,,10
D37,demand_heat,sink_use_equals,,10
D38,demand_heat,sink_use_equals,,10
D39,demand_heat,sink_use_equals,,10
D40,demand_heat,sink_use_equals,,10
D41,demand_heat,sink_use_equals,,10
D42,demand_heat,sink_use_equals,,10
D43,demand_heat,sink_use_equals,,10
D44,demand_heat,sink_use_equals,,10
D45,demand_heat,sink_use_equals,,10
D46,demand_heat,sink_use_equals,,10
D47,demand_heat,sink_use_equals,,10
D48,demand_heat,sink_use_equals,,10
D49,demand_heat,sink_use_equals,,10
D50,demand_heat,sink_use_equals,,10
D51,demand_heat,sink_use_equals,,10
D52,demand_heat,sink_use_equals,,10
D53,demand_heat,sink_use_equals,,10
D54,demand_heat,sink_use_equals,,10
D55,demand_heat,sink_use_equals,,10
D56,demand_heat,sink_use_equals,,10
D57,demand_heat,sink_use_equals,,10
D58,demand_heat,sink_use_equals,,10
D59,demand_heat,sink_use_equals,,10
D60,demand_heat,sink_use_equals,,10
D61,demand_heat,sink_use_equals,,10
D62,demand_heat,sink_use_equals,,10
D63,demand_heat,sink_use_equals,,10
D64,demand_heat,sink_use_equals,,10
D65,demand_heat,sink_use_equals,,10
D66,demand_heat,sink_use_equals,,10
D67,demand_heat,sink_use_equals,,10
D68,demand_heat,sink_use_equals,,10
D69,demand_heat,sink_use_equals,,10
D70,demand_heat,sink_use_equals,,10
D71,demand_heat,sink_use_equals,,10
D72,demand_heat,sink_use_equals,,10
D73,demand_heat,sink_use_equals,,10
D74,demand_heat,sink_use_equals,,10
D75,demand_heat,sink_use_equals,,10
D76,demand_heat,sink_use_equals,,10
D77,demand_heat,sink_use_equals,,10
D78,demand_heat,sink_use_equals,,10
D79,demand_heat,sink_use_equals,,10
D80,demand_heat,sink_use_equals,,10
D81,demand_heat,sink_use_equals,,10
