techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
transmission2559_to_transmission1381_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1381,transmission2559
transmission2559_to_transmission1381_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1381,transmission2559
transmission1381_to_transmission2455_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2455,transmission1381
transmission1381_to_transmission2455_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2455,transmission1381
transmission2455_to_transmission1018_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1018,transmission2455
transmission2455_to_transmission1018_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1018,transmission2455
transmission1018_to_transmission3192_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3192,transmission1018
transmission1018_to_transmission3192_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3192,transmission1018
transmission3192_to_transmission3223_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3223,transmission3192
transmission3192_to_transmission3223_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3223,transmission3192
transmission3223_to_transmission2502_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2502,transmission3223
transmission3223_to_transmission2502_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2502,transmission3223
transmission2502_to_transmission2790_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2790,transmission2502
transmission2502_to_transmission2790_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2790,transmission2502
transmission2790_to_transmission2891_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2891,transmission2790
transmission2790_to_transmission2891_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2891,transmission2790
transmission2891_to_transmission2390_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2390,transmission2891
transmission2891_to_transmission2390_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2390,transmission2891
