id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000000190,11638014.661198018,0.0014284600992842743,7.415104843283053,84456.08810000001,445697.0732,Staringpad 16,1,1966
0503100000000191,11011017.76282306,0.0013515019515436845,7.015616797150534,84448.2292,445696.662,Staringpad 14,1,1966
0503100000000193,1412024970.8537264,0.17331318002051357,899.664891738181,84331.01211111111,445878.5101111111,Isaäc da Costalaan 1-311,159,1965
0503100000001933,9833445.654071387,0.0012069657208934432,6.265332414365548,84259.8806,445749.39959999995,Willem Bilderdijkhof 161,1,1967
0503100000001936,12723624.167521926,0.0015617087596728637,8.10679569800379,84247.7596,445784.56179999997,Isaäc da Costalaan 2,1,1967
0503100000001937,10288078.835008914,0.0012627677951892572,6.554999750249451,84290.121,445752.4081666667,Multatuliweg 10,1,1967
0503100000001938,11388827.258683514,0.0013978746195354786,7.256336293056788,84291.71683333332,445747.60533333337,Multatuliweg 12,1,1967
0503100000002020,11611687.466911044,0.0014252286764291,7.3983305985728895,84353.10179999999,445495.0444,Herman Heyermanslaan 5,1,1967
0503100000002021,10489463.80607213,0.0012874859626889458,6.683311212106775,84347.4264,445492.9012,Herman Heyermanslaan 3,1,1967
0503100000002023,12964650.729323344,0.0015912925706942497,8.260364607977099,84348.3316,445557.3706,Multatuliweg 18,1,1967
0503100000002025,12331749.68518731,0.0015136097429385906,7.857114763883079,84350.526,445551.5636,Multatuliweg 20,1,1967
0503100000002026,11237702.203031523,0.0013793253980157007,7.160047693606687,84415.9718,445549.6466,Busken Huetpad 6,1,1966
0503100000002031,10394474.118174067,0.0012758268453088788,6.622788991152435,84352.676,445545.87460000004,Multatuliweg 22,1,1967
0503100000002032,11726057.661168152,0.0014392665741118009,7.471201015568551,84449.575,445630.56059999997,Betje Wolfflaan 28,1,1966
0503100000002033,12721300.841163414,0.001561423592563407,8.105315401833433,84406.6944,445749.8182,Aagje Dekenlaan 29,1,1966
0503100000013778,11033259.813206023,0.001354231960262806,7.029788212148757,84459.2632,445633.77520000003,Betje Wolfflaan 32,1,1966
0503100000013779,12698967.321584634,0.001558682356835183,8.091085707678785,84480.02339999999,445626.25,Betje Wolfflaan 38,1,1966
0503100000013780,12839342.896796444,0.0015759121777231648,8.180525327573934,84504.3598,445634.2858,Betje Wolfflaan 48,1,1966
0503100000013831,10700800.127447408,0.0013134255676303806,6.817963128761958,84433.7726,445691.859,Staringpad 8,1,1966
0503100000013832,11203439.785062077,0.0013751199988648014,7.138217559445154,84438.5916,445693.45999999996,Staringpad 10,1,1966
0503100000013834,9923981.036250243,0.0012180781128933546,6.32301659594002,84360.9588,445680.7118,Multatuliweg 27,1,1966
0503100000013838,10642285.809139105,0.0013062434690187582,6.780681013408046,84409.9188,445740.0956,Aagje Dekenlaan 33,1,1966
0503100000013839,11503753.314988263,0.0014119807442121192,7.329560874871934,84414.71280000001,445725.6378,Aagje Dekenlaan 39,1,1966
0503100000013840,13489947.093648447,0.0016557679059281255,8.595054649935259,84359.00080000001,445686.6198,Multatuliweg 25,1,1966
0503100000013841,12014015.03929942,0.0014746107145798871,7.654671668545065,84362.8846,445674.90199999994,Multatuliweg 29,1,1966
0503100000013842,13747681.601169417,0.0016874024648215657,8.759268946843799,84368.6738,445657.4336,Multatuliweg 35,1,1966
0503100000013843,11012542.43897502,0.00135168909162821,7.016588237198339,84390.7586,445684.11960000003,Aagje Dekenlaan 18,1,1966
0503100000013844,12332854.218807839,0.0015137453143613097,7.857818512145784,84419.238,445687.03020000004,Staringpad 2,1,1966
0503100000013845,11292859.251023887,0.001386095422332141,7.195190740390516,84424.137,445688.6578,Staringpad 4,1,1966
0503100000013846,10987563.854106162,0.0013486231982726437,7.0006732524667115,84364.8128,445669.084,Multatuliweg 31,1,1966
