techs,cost_flow_cap_per_distance
SH1_to_TH1,100
TH1_to_TH2,100
TH2_to_TH3,100
TH3_to_TH4,100
TH4_to_TH5,100
TH5_to_TH6,100
TH6_to_TH7,100
TH7_to_TH8,100
TH8_to_TH9,100
TH9_to_TH10,100
TH10_to_TH11,100
TH11_to_TH12,100
TH12_to_TH13,100
TH13_to_TH14,100
TH14_to_TH15,100
TH15_to_TH16,100
TH16_to_TH17,100
TH17_to_TH18,100
TH18_to_TH19,100
TH19_to_TH20,100
TH20_to_TH21,100
TH21_to_TH22,100
TH22_to_TH23,100
TH23_to_TH24,100
TH24_to_TH11,100
TH18_to_TH25,100
TH25_to_TH26,100
TH26_to_TH27,100
TH27_to_TH28,100
TH27_to_TH29,100
TH29_to_TH30,100
TH30_to_TH31,100
TH27_to_TH32,100
TH32_to_TH33,100
TH33_to_TH34,100
TH35_to_TH35,100
TH35_to_TH29,100
TH33_to_TH36,100
TH36_to_TH37,100
TH37_to_TH38,100
TH38_to_TH39,100
TH39_to_TH40,100
TH40_to_TH41,100
TH41_to_TH42,100
TH42_to_TH29,100
TH42_to_TH33,100
TH13_to_TH43,100
TH43_to_TH44,100
TH44_to_TH45,100
TH45_to_TH46,100
TH46_to_TH47,100
TH47_to_TH48,100
TH48_to_TH49,100
TH49_to_TH50,100
TH50_to_TH51,100
TH51_to_TH52,100
TH52_to_TH53,100
TH53_to_TH54,100
TH54_to_TH55,100
TH55_to_TH56,100
TH56_to_TH57,100
TH57_to_TH39,100
TH49_to_TH58,100
TH58_to_TH59,100
TH59_to_TH60,100
TH60_to_TH61,100
TH61_to_TH62,100
TH62_to_TH63,100
TH63_to_TH64,100
TH64_to_TH65,100
TH65_to_TH66,100
TH66_to_TH67,100
TH67_to_TH68,100
TH68_to_TH69,100
TH69_to_TH70,100
TH70_to_TH71,100
TH71_to_TH72,100
TH72_to_TH73,100
TH73_to_TH52,100
SH1_to_TE1,50
TE1_to_TE2,50
TE2_to_TE3,50
TE3_to_TE4,50
TE4_to_TE5,50
TE5_to_TE6,50
TE6_to_TE7,50
TE7_to_TE8,50
TE8_to_TE9,50
TE9_to_TE10,50
TE10_to_TE11,50
TE11_to_TE12,50
TE12_to_TE13,50
TE13_to_TE14,50
TE14_to_TE15,50
TE15_to_TE16,50
TE16_to_TE17,50
TE17_to_TE18,50
TE18_to_TE19,50
TE19_to_TE20,50
TE20_to_TE21,50
TE21_to_TE22,50
TE22_to_TE23,50
TE23_to_TE24,50
TE24_to_TE11,50
TE18_to_TE25,50
TE25_to_TE26,50
TE26_to_TE27,50
TE27_to_TE28,50
TE27_to_TE29,50
TE29_to_TE30,50
TE30_to_TE31,50
TE27_to_TE32,50
TE32_to_TE33,50
TE33_to_TE34,50
TE35_to_TE35,50
TE35_to_TE29,50
TE33_to_TE36,50
TE36_to_TE37,50
TE37_to_TE38,50
TE38_to_TE39,50
TE39_to_TE40,50
TE40_to_TE41,50
TE41_to_TE42,50
TE42_to_TE29,50
TE42_to_TE33,50
TE13_to_TE43,50
TE43_to_TE44,50
TE44_to_TE45,50
TE45_to_TE46,50
TE46_to_TE47,50
TE47_to_TE48,50
TE48_to_TE49,50
TE49_to_TE50,50
TE50_to_TE51,50
TE51_to_TE52,50
TE52_to_TE53,50
TE53_to_TE54,50
TE54_to_TE55,50
TE55_to_TE56,50
TE56_to_TE57,50
TE57_to_TE39,50
TE49_to_TE58,50
TE58_to_TE59,50
TE59_to_TE60,50
TE60_to_TE61,50
TE61_to_TE62,50
TE62_to_TE63,50
TE63_to_TE64,50
TE64_to_TE65,50
TE65_to_TE66,50
TE66_to_TE67,50
TE67_to_TE68,50
TE68_to_TE69,50
TE69_to_TE70,50
TE70_to_TE71,50
TE71_to_TE72,50
TE72_to_TE73,50
TE73_to_TE52,50
SE1_to_TE1,50
SE2_to_TE10,50
SE3_to_TE21,50
SE4_to_TE68,50
SE5_to_TE30,50
