techs,carrier_out,carrier_in
SH1_to_TE1,1,1
TE1_to_TE2,1,1
TE2_to_TE3,1,1
TE3_to_TE4,1,1
TE4_to_TE5,1,1
TE5_to_TE6,1,1
TE6_to_TE7,1,1
TE7_to_TE8,1,1
TE8_to_TE9,1,1
TE9_to_TE10,1,1
TE10_to_TE11,1,1
TE11_to_TE12,1,1
TE12_to_TE13,1,1
TE13_to_TE14,1,1
TE14_to_TE15,1,1
TE15_to_TE16,1,1
TE16_to_TE17,1,1
TE17_to_TE18,1,1
TE18_to_TE19,1,1
TE19_to_TE20,1,1
TE20_to_TE21,1,1
TE21_to_TE22,1,1
TE22_to_TE23,1,1
TE23_to_TE24,1,1
TE24_to_TE11,1,1
TE18_to_TE25,1,1
TE25_to_TE26,1,1
TE26_to_TE27,1,1
TE27_to_TE28,1,1
TE27_to_TE29,1,1
TE29_to_TE30,1,1
TE30_to_TE31,1,1
TE27_to_TE32,1,1
TE32_to_TE33,1,1
TE33_to_TE34,1,1
TE35_to_TE35,1,1
TE35_to_TE29,1,1
TE33_to_TE36,1,1
TE36_to_TE37,1,1
TE37_to_TE38,1,1
TE38_to_TE39,1,1
TE39_to_TE40,1,1
TE40_to_TE41,1,1
TE41_to_TE42,1,1
TE42_to_TE29,1,1
TE42_to_TE33,1,1
TE13_to_TE43,1,1
TE43_to_TE44,1,1
TE44_to_TE45,1,1
TE45_to_TE46,1,1
TE46_to_TE47,1,1
TE47_to_TE48,1,1
TE48_to_TE49,1,1
TE49_to_TE50,1,1
TE50_to_TE51,1,1
TE51_to_TE52,1,1
TE52_to_TE53,1,1
TE53_to_TE54,1,1
TE54_to_TE55,1,1
TE55_to_TE56,1,1
TE56_to_TE57,1,1
TE57_to_TE39,1,1
TE49_to_TE58,1,1
TE58_to_TE59,1,1
TE59_to_TE60,1,1
TE60_to_TE61,1,1
TE61_to_TE62,1,1
TE62_to_TE63,1,1
TE63_to_TE64,1,1
TE64_to_TE65,1,1
TE65_to_TE66,1,1
TE66_to_TE67,1,1
TE67_to_TE68,1,1
TE68_to_TE69,1,1
TE69_to_TE70,1,1
TE70_to_TE71,1,1
TE71_to_TE72,1,1
TE72_to_TE73,1,1
TE73_to_TE52,1,1
SE1_to_TE1,1,1
SE2_to_TE10,1,1
SE3_to_TE21,1,1
SE4_to_TE68,1,1
SE5_to_TE30,1,1
