run_id,success,duration_seconds,returncode,output_dir,timestamp,neighborhood,year,scenario,topology_source,spacing_m,heat_pump_cop,heat_substation_eff,delta_t,flow_speed,distance_factor_heat_trans_main,distance_factor_heat_dist_main,distance_factor_heat_dist_sec,distance_factor_elec_dist_main,distance_factor_elec_dist_sec,apply_heat_losses,apply_electricity_losses,heat_loss_rate_trans_main,heat_loss_rate_dist_main,heat_loss_rate_dist_sec,elec_resistance_main,elec_resistance_sec
multatulibuurt_2013_district_heating_stedin_5ec26a33,True,418.4988,0,parallel_results\20260121_122457\multatulibuurt_2013_district_heating_stedin_5ec26a33,2026-01-21T12:24:57.625958,multatulibuurt,2013,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2013_district_heating_osm_286a7dd1,True,215.144677,0,parallel_results\20260121_122457\multatulibuurt_2013_district_heating_osm_286a7dd1,2026-01-21T12:31:56.333872,multatulibuurt,2013,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2013_full_electrification_stedin_f6dfd2d5,True,428.59876,0,parallel_results\20260121_122457\multatulibuurt_2013_full_electrification_stedin_f6dfd2d5,2026-01-21T12:35:32.096977,multatulibuurt,2013,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2013_full_electrification_osm_3a8b7162,True,221.810609,0,parallel_results\20260121_122457\multatulibuurt_2013_full_electrification_osm_3a8b7162,2026-01-21T12:42:41.536192,multatulibuurt,2013,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2013_hybrid_stedin_be93b79e,True,1598.485351,0,parallel_results\20260121_122457\multatulibuurt_2013_hybrid_stedin_be93b79e,2026-01-21T12:46:24.207874,multatulibuurt,2013,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2013_hybrid_osm_3ce834d2,True,719.669675,0,parallel_results\20260121_122457\multatulibuurt_2013_hybrid_osm_3ce834d2,2026-01-21T13:13:03.362265,multatulibuurt,2013,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_district_heating_stedin_3a2c6b76,True,473.451893,0,parallel_results\20260121_122457\multatulibuurt_2019_district_heating_stedin_3a2c6b76,2026-01-21T13:25:03.571818,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_district_heating_osm_160cf6fc,True,245.922524,0,parallel_results\20260121_122457\multatulibuurt_2019_district_heating_osm_160cf6fc,2026-01-21T13:32:58.033580,multatulibuurt,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_ac292696,True,463.236281,0,parallel_results\20260121_122457\multatulibuurt_2019_full_electrification_stedin_ac292696,2026-01-21T13:37:04.718955,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_full_electrification_osm_a5340097,True,240.774238,0,parallel_results\20260121_122457\multatulibuurt_2019_full_electrification_osm_a5340097,2026-01-21T13:44:48.720962,multatulibuurt,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_hybrid_stedin_c4a1a287,True,1966.303904,0,parallel_results\20260121_122457\multatulibuurt_2019_hybrid_stedin_c4a1a287,2026-01-21T13:48:49.567517,multatulibuurt,2019,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_hybrid_osm_5a2f6506,True,671.570205,0,parallel_results\20260121_122457\multatulibuurt_2019_hybrid_osm_5a2f6506,2026-01-21T14:21:35.973791,multatulibuurt,2019,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_district_heating_stedin_07685aa8,True,430.386416,0,parallel_results\20260121_122457\multatulibuurt_2020_district_heating_stedin_07685aa8,2026-01-21T14:32:48.177398,multatulibuurt,2020,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_district_heating_osm_3519fb66,True,241.115558,0,parallel_results\20260121_122457\multatulibuurt_2020_district_heating_osm_3519fb66,2026-01-21T14:39:59.126882,multatulibuurt,2020,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_full_electrification_stedin_73a2efdc,True,482.045823,0,parallel_results\20260121_122457\multatulibuurt_2020_full_electrification_stedin_73a2efdc,2026-01-21T14:44:01.075892,multatulibuurt,2020,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_full_electrification_osm_f409c16c,True,244.437627,0,parallel_results\20260121_122457\multatulibuurt_2020_full_electrification_osm_f409c16c,2026-01-21T14:52:03.612040,multatulibuurt,2020,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_hybrid_stedin_768c3048,True,1964.796799,0,parallel_results\20260121_122457\multatulibuurt_2020_hybrid_stedin_768c3048,2026-01-21T14:56:08.676276,multatulibuurt,2020,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2020_hybrid_osm_648ef97a,True,659.384791,0,parallel_results\20260121_122457\multatulibuurt_2020_hybrid_osm_648ef97a,2026-01-21T15:28:53.638085,multatulibuurt,2020,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_district_heating_stedin_a06c7ae5,True,233.173172,0,parallel_results\20260121_122457\holstbuurt_2013_district_heating_stedin_a06c7ae5,2026-01-21T15:39:53.812363,holstbuurt,2013,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_district_heating_osm_eca3ed7f,True,268.093482,0,parallel_results\20260121_122457\holstbuurt_2013_district_heating_osm_eca3ed7f,2026-01-21T15:43:47.493391,holstbuurt,2013,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_full_electrification_stedin_1f026a1e,True,282.445446,0,parallel_results\20260121_122457\holstbuurt_2013_full_electrification_stedin_1f026a1e,2026-01-21T15:48:15.640624,holstbuurt,2013,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_full_electrification_osm_d1ed183d,True,233.673098,0,parallel_results\20260121_122457\holstbuurt_2013_full_electrification_osm_d1ed183d,2026-01-21T15:52:58.890371,holstbuurt,2013,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_hybrid_stedin_feb38bb0,True,852.41345,0,parallel_results\20260121_122457\holstbuurt_2013_hybrid_stedin_feb38bb0,2026-01-21T15:56:52.653212,holstbuurt,2013,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_hybrid_osm_0b2a7c98,True,765.301874,0,parallel_results\20260121_122457\holstbuurt_2013_hybrid_osm_0b2a7c98,2026-01-21T16:11:05.807179,holstbuurt,2013,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_district_heating_stedin_1c4dc326,True,230.652026,0,parallel_results\20260121_122457\holstbuurt_2019_district_heating_stedin_1c4dc326,2026-01-21T16:23:51.947837,holstbuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_district_heating_osm_9db4bbeb,True,233.865018,0,parallel_results\20260121_122457\holstbuurt_2019_district_heating_osm_9db4bbeb,2026-01-21T16:27:42.697690,holstbuurt,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_full_electrification_stedin_f9e0ee64,True,4436.615661,0,parallel_results\20260121_122457\holstbuurt_2019_full_electrification_stedin_f9e0ee64,2026-01-21T16:31:36.588027,holstbuurt,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_full_electrification_osm_b2c5fdb7,True,211.491579,0,parallel_results\20260121_122457\holstbuurt_2019_full_electrification_osm_b2c5fdb7,2026-01-21T17:45:33.915112,holstbuurt,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_hybrid_stedin_001da539,True,762.99418,0,parallel_results\20260121_122457\holstbuurt_2019_hybrid_stedin_001da539,2026-01-21T17:49:05.747672,holstbuurt,2019,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_hybrid_osm_27992db5,True,681.264733,0,parallel_results\20260121_122457\holstbuurt_2019_hybrid_osm_27992db5,2026-01-21T18:01:49.474322,holstbuurt,2019,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_district_heating_stedin_627efb43,True,204.158825,0,parallel_results\20260121_122457\holstbuurt_2020_district_heating_stedin_627efb43,2026-01-21T18:13:11.490174,holstbuurt,2020,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_district_heating_osm_60ccfe05,True,198.787513,0,parallel_results\20260121_122457\holstbuurt_2020_district_heating_osm_60ccfe05,2026-01-21T18:16:36.582495,holstbuurt,2020,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_full_electrification_stedin_b0286b02,True,241.074077,0,parallel_results\20260121_122457\holstbuurt_2020_full_electrification_stedin_b0286b02,2026-01-21T18:19:56.124525,holstbuurt,2020,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_full_electrification_osm_2b4b3ec5,True,205.0392,0,parallel_results\20260121_122457\holstbuurt_2020_full_electrification_osm_2b4b3ec5,2026-01-21T18:23:57.700554,holstbuurt,2020,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_hybrid_stedin_ce7cf7b5,True,668.666812,0,parallel_results\20260121_122457\holstbuurt_2020_hybrid_stedin_ce7cf7b5,2026-01-21T18:27:23.196969,holstbuurt,2020,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
