techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LQHtransmission1634_to_LQHtransmission314_heat,100
LQHtransmission314_to_LQHtransmission1591_heat,100
LQHtransmission1591_to_LQHtransmission753_heat,100
LQHtransmission753_to_LQHtransmission1572_heat,100
LQHtransmission1572_to_LQHtransmission1982_heat,100
LQHtransmission1982_to_LQHtransmission4_heat,100
LQHtransmission4_to_LQHtransmission875_heat,100
LQHtransmission875_to_LQHtransmission1670_heat,100
LQHtransmission1670_to_LQHtransmission244_heat,100
LQHtransmission244_to_LQHtransmission65_heat,100
LQHtransmission65_to_LQHtransmission247_heat,100
LQHtransmission247_to_LQHtransmission1749_heat,100
LQHtransmission1749_to_LQHtransmission321_heat,100
LQHtransmission321_to_LQHtransmission1143_heat,100
LQHtransmission1143_to_LQHtransmission552_heat,100
LQHtransmission552_to_LQHtransmission454_heat,100
LQHtransmission454_to_LQHtransmission1581_heat,100
LQHtransmission1581_to_LQHtransmission1290_heat,100
LQHtransmission1290_to_LQHtransmission2036_heat,100
LQHtransmission2036_to_LQHtransmission1413_heat,100
LQHtransmission1413_to_LQHtransmission354_heat,100
LQHtransmission354_to_LQHtransmission2058_heat,100
LQHtransmission2058_to_LQHtransmission721_heat,100
LQHtransmission721_to_LQHtransmission1602_heat,100
LQHtransmission1602_to_LQHtransmission1832_heat,100
LQHtransmission1832_to_LQHtransmission1469_heat,100
LQHtransmission1469_to_LQHtransmission1955_heat,100
LQHtransmission1955_to_LQHtransmission1987_heat,100
LQHtransmission1987_to_LQHtransmission645_heat,100
LQHtransmission645_to_LQHtransmission1074_heat,100
LQHtransmission1074_to_LQHtransmission665_heat,100
LQHtransmission665_to_LQHtransmission814_heat,100
LQHtransmission814_to_LQHtransmission1498_heat,100
LQHtransmission1498_to_LQHtransmission1891_heat,100
LQHtransmission1891_to_LQHtransmission1398_heat,100
LQHtransmission1398_to_LQHtransmission471_heat,100
LQHtransmission471_to_LQHtransmission1776_heat,100
LQHtransmission1776_to_LQHtransmission1678_heat,100
LQHtransmission1678_to_LQHtransmission47_heat,100
LQHtransmission47_to_LQHtransmission2041_heat,100
LQHtransmission2041_to_LQHtransmission196_heat,100
LQHtransmission196_to_LQHtransmission1538_heat,100
LQHtransmission1538_to_LQHtransmission1085_heat,100
LQHtransmission875_to_LQHtransmission408_heat,100
LQHtransmission408_to_LQHtransmission1855_heat,100
LQHtransmission1855_to_LQHtransmission1706_heat,100
LQHtransmission1706_to_LQHtransmission1222_heat,100
LQHtransmission1222_to_LQHtransmission773_heat,100
LQHtransmission773_to_LQHtransmission2014_heat,100
LQHtransmission2014_to_LQHtransmission1780_heat,100
LQHtransmission1780_to_LQHtransmission332_heat,100
LQHtransmission332_to_LQHtransmission386_heat,100
LQHtransmission386_to_LQHtransmission1525_heat,100
LQHtransmission1525_to_LQHtransmission1291_heat,100
LQHtransmission1291_to_LQHtransmission1151_heat,100
LQHtransmission1151_to_LQHtransmission266_heat,100
LQHtransmission266_to_LQHtransmission132_heat,100
LQHtransmission132_to_LQHtransmission360_heat,100
LQHtransmission360_to_LQHtransmission30_heat,100
LQHtransmission30_to_LQHtransmission1345_heat,100
LQHtransmission1345_to_LQHtransmission1502_heat,100
LQHtransmission1502_to_LQHtransmission1803_heat,100
LQHtransmission1803_to_LQHtransmission873_heat,100
LQHtransmission873_to_LQHtransmission1773_heat,100
LQHtransmission1773_to_LQHtransmission1757_heat,100
LQHtransmission1757_to_LQHtransmission29_heat,100
LQHtransmission29_to_LQHtransmission909_heat,100
LQHtransmission909_to_LQHtransmission2060_heat,100
LQHtransmission2060_to_LQHtransmission774_heat,100
LQHtransmission774_to_LQHtransmission1153_heat,100
LQHtransmission1153_to_LQHtransmission1136_heat,100
LQHtransmission1136_to_LQHtransmission44_heat,100
LQHtransmission44_to_LQHtransmission295_heat,100
