nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
D0503100000000166,demand_LQ_heat,sink_use_equals,,6.403725547497953
D0503100000000167,demand_LQ_heat,sink_use_equals,,7.36185114046147
D0503100000001494,demand_LQ_heat,sink_use_equals,,8.175122310747557
D0503100000001495,demand_LQ_heat,sink_use_equals,,8.10028460375765
D0503100000001547,demand_LQ_heat,sink_use_equals,,6.479831449318633
D0503100000001548,demand_LQ_heat,sink_use_equals,,7.96565619036332
D0503100000001710,demand_LQ_heat,sink_use_equals,,5.4721151266724455
D0503100000001711,demand_LQ_heat,sink_use_equals,,6.767481887111712
D0503100000001712,demand_LQ_heat,sink_use_equals,,6.897566877702534
D0503100000001713,demand_LQ_heat,sink_use_equals,,8.248793610178481
D0503100000001714,demand_LQ_heat,sink_use_equals,,7.039631853265677
D0503100000001715,demand_LQ_heat,sink_use_equals,,6.693362411601253
D0503100000001716,demand_LQ_heat,sink_use_equals,,7.118397759909654
D0503100000001717,demand_LQ_heat,sink_use_equals,,7.739840471571228
D0503100000001718,demand_LQ_heat,sink_use_equals,,6.813020708670631
D0503100000001719,demand_LQ_heat,sink_use_equals,,7.107492987875072
D0503100000001720,demand_LQ_heat,sink_use_equals,,7.870891895951765
D0503100000001721,demand_LQ_heat,sink_use_equals,,7.399756962678274
D0503100000001722,demand_LQ_heat,sink_use_equals,,7.419849639202401
D0503100000001723,demand_LQ_heat,sink_use_equals,,7.422897926092783
D0503100000001928,demand_LQ_heat,sink_use_equals,,6.73803875542121
D0503100000001930,demand_LQ_heat,sink_use_equals,,8.251529447200898
D0503100000001931,demand_LQ_heat,sink_use_equals,,8.63985331723809
D0503100000008848,demand_LQ_heat,sink_use_equals,,6.599286646569338
D0503100000009003,demand_LQ_heat,sink_use_equals,,6.181385237153486
D0503100000009004,demand_LQ_heat,sink_use_equals,,8.752246292587708
D0503100000009005,demand_LQ_heat,sink_use_equals,,6.345479749348829
D0503100000009006,demand_LQ_heat,sink_use_equals,,7.0883414028405
D0503100000009007,demand_LQ_heat,sink_use_equals,,6.174082414051387
D0503100000009009,demand_LQ_heat,sink_use_equals,,8.758233894654904
D0503100000009010,demand_LQ_heat,sink_use_equals,,5.893308604709677
D0503100000009011,demand_LQ_heat,sink_use_equals,,6.4112273762032
D0503100000009012,demand_LQ_heat,sink_use_equals,,9.168207935318971
D0503100000009013,demand_LQ_heat,sink_use_equals,,6.85552796840039
D0503100000009014,demand_LQ_heat,sink_use_equals,,7.243682702546082
D0503100000009015,demand_LQ_heat,sink_use_equals,,6.576836149900692
D0503100000009016,demand_LQ_heat,sink_use_equals,,6.205202128737061
D0503100000009017,demand_LQ_heat,sink_use_equals,,7.694092702096237
D0503100000009018,demand_LQ_heat,sink_use_equals,,6.882713791602335
D0503100000010265,demand_LQ_heat,sink_use_equals,,6.015694272772187
D0503100000010266,demand_LQ_heat,sink_use_equals,,6.485252682847181
D0503100000010267,demand_LQ_heat,sink_use_equals,,7.523119333275617
D0503100000010268,demand_LQ_heat,sink_use_equals,,6.158226798673686
D0503100000010270,demand_LQ_heat,sink_use_equals,,7.389481809073899
D0503100000010271,demand_LQ_heat,sink_use_equals,,6.347531997830712
D0503100000010272,demand_LQ_heat,sink_use_equals,,8.303924310373528
D0503100000010273,demand_LQ_heat,sink_use_equals,,6.1428556604451945
D0503100000010274,demand_LQ_heat,sink_use_equals,,7.491544352359629
D0503100000010275,demand_LQ_heat,sink_use_equals,,8.151047013837964
D0503100000010276,demand_LQ_heat,sink_use_equals,,6.204404721405664
D0503100000010277,demand_LQ_heat,sink_use_equals,,7.732433233032237
D0503100000010278,demand_LQ_heat,sink_use_equals,,6.7565116135545935
D0503100000010279,demand_LQ_heat,sink_use_equals,,6.097074318762281
D0503100000010280,demand_LQ_heat,sink_use_equals,,8.381349341465114
D0503100000010281,demand_LQ_heat,sink_use_equals,,8.365791904783576
D0503100000010364,demand_LQ_heat,sink_use_equals,,6.756377798695693
D0503100000010365,demand_LQ_heat,sink_use_equals,,6.605028769239424
D0503100000010366,demand_LQ_heat,sink_use_equals,,7.928209580642981
D0503100000010367,demand_LQ_heat,sink_use_equals,,6.337284924736464
D0503100000010368,demand_LQ_heat,sink_use_equals,,7.483374139932458
D0503100000010369,demand_LQ_heat,sink_use_equals,,8.236327372468182
D0503100000010370,demand_LQ_heat,sink_use_equals,,6.778082101890896
D0503100000010371,demand_LQ_heat,sink_use_equals,,6.269331687260222
D0503100000010372,demand_LQ_heat,sink_use_equals,,8.44191700973319
D0503100000010373,demand_LQ_heat,sink_use_equals,,6.51638930733235
D0503100000010374,demand_LQ_heat,sink_use_equals,,7.20125086165047
D0503100000010375,demand_LQ_heat,sink_use_equals,,7.024390920665619
D0503100000010376,demand_LQ_heat,sink_use_equals,,7.089189167569088
D0503100000010377,demand_LQ_heat,sink_use_equals,,6.56613043874873
D0503100000010378,demand_LQ_heat,sink_use_equals,,6.1792555085308605
D0503100000010379,demand_LQ_heat,sink_use_equals,,6.802885891868891
D0503100000010380,demand_LQ_heat,sink_use_equals,,7.280982150215735
D0503100000010381,demand_LQ_heat,sink_use_equals,,5.922155808649941
D0503100000010382,demand_LQ_heat,sink_use_equals,,6.733930132124948
D0503100000010383,demand_LQ_heat,sink_use_equals,,8.004362438489812
D0503100000010384,demand_LQ_heat,sink_use_equals,,6.480166708848885
D0503100000010385,demand_LQ_heat,sink_use_equals,,7.337224813993917
D0503100000010386,demand_LQ_heat,sink_use_equals,,6.899298303857259
D0503100000010387,demand_LQ_heat,sink_use_equals,,7.330460152255609
D0503100000010388,demand_LQ_heat,sink_use_equals,,7.826385154369592
D0503100000010389,demand_LQ_heat,sink_use_equals,,7.253328452907284
D0503100000010390,demand_LQ_heat,sink_use_equals,,6.565912275113496
D0503100000010391,demand_LQ_heat,sink_use_equals,,8.692138974735595
D0503100000010392,demand_LQ_heat,sink_use_equals,,6.656137522325972
D0503100000010393,demand_LQ_heat,sink_use_equals,,7.266937867201553
D0503100000010394,demand_LQ_heat,sink_use_equals,,8.577591379143337
D0503100000010395,demand_LQ_heat,sink_use_equals,,6.431167049922456
D0503100000010396,demand_LQ_heat,sink_use_equals,,6.535621159770272
