techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LVEtransmission1634_to_LVEtransmission314_electricity,100
LVEtransmission314_to_LVEtransmission1591_electricity,100
LVEtransmission1591_to_LVEtransmission753_electricity,100
LVEtransmission753_to_LVEtransmission1572_electricity,100
LVEtransmission1572_to_LVEtransmission1982_electricity,100
LVEtransmission1982_to_LVEtransmission4_electricity,100
LVEtransmission4_to_LVEtransmission875_electricity,100
LVEtransmission875_to_LVEtransmission1670_electricity,100
LVEtransmission1670_to_LVEtransmission244_electricity,100
LVEtransmission244_to_LVEtransmission65_electricity,100
LVEtransmission65_to_LVEtransmission247_electricity,100
LVEtransmission247_to_LVEtransmission1749_electricity,100
LVEtransmission1749_to_LVEtransmission321_electricity,100
LVEtransmission321_to_LVEtransmission1143_electricity,100
LVEtransmission1143_to_LVEtransmission552_electricity,100
LVEtransmission552_to_LVEtransmission454_electricity,100
LVEtransmission454_to_LVEtransmission1581_electricity,100
LVEtransmission1581_to_LVEtransmission1290_electricity,100
LVEtransmission1290_to_LVEtransmission2036_electricity,100
LVEtransmission2036_to_LVEtransmission1413_electricity,100
LVEtransmission1413_to_LVEtransmission354_electricity,100
LVEtransmission354_to_LVEtransmission2058_electricity,100
LVEtransmission2058_to_LVEtransmission721_electricity,100
LVEtransmission721_to_LVEtransmission1602_electricity,100
LVEtransmission1602_to_LVEtransmission1832_electricity,100
LVEtransmission1832_to_LVEtransmission1469_electricity,100
LVEtransmission1469_to_LVEtransmission1955_electricity,100
LVEtransmission1955_to_LVEtransmission1987_electricity,100
LVEtransmission1987_to_LVEtransmission645_electricity,100
LVEtransmission645_to_LVEtransmission1074_electricity,100
LVEtransmission1074_to_LVEtransmission665_electricity,100
LVEtransmission665_to_LVEtransmission814_electricity,100
LVEtransmission814_to_LVEtransmission1498_electricity,100
LVEtransmission1498_to_LVEtransmission1891_electricity,100
LVEtransmission1891_to_LVEtransmission1398_electricity,100
LVEtransmission1398_to_LVEtransmission471_electricity,100
LVEtransmission471_to_LVEtransmission1776_electricity,100
LVEtransmission1776_to_LVEtransmission1678_electricity,100
LVEtransmission1678_to_LVEtransmission47_electricity,100
LVEtransmission47_to_LVEtransmission2041_electricity,100
LVEtransmission2041_to_LVEtransmission196_electricity,100
LVEtransmission196_to_LVEtransmission1538_electricity,100
LVEtransmission1538_to_LVEtransmission1085_electricity,100
LVEtransmission875_to_LVEtransmission408_electricity,100
LVEtransmission408_to_LVEtransmission1855_electricity,100
LVEtransmission1855_to_LVEtransmission1706_electricity,100
LVEtransmission1706_to_LVEtransmission1222_electricity,100
LVEtransmission1222_to_LVEtransmission773_electricity,100
LVEtransmission773_to_LVEtransmission2014_electricity,100
LVEtransmission2014_to_LVEtransmission1780_electricity,100
LVEtransmission1780_to_LVEtransmission332_electricity,100
LVEtransmission332_to_LVEtransmission386_electricity,100
LVEtransmission386_to_LVEtransmission1525_electricity,100
LVEtransmission1525_to_LVEtransmission1291_electricity,100
LVEtransmission1291_to_LVEtransmission1151_electricity,100
LVEtransmission1151_to_LVEtransmission266_electricity,100
LVEtransmission266_to_LVEtransmission132_electricity,100
LVEtransmission132_to_LVEtransmission360_electricity,100
LVEtransmission360_to_LVEtransmission30_electricity,100
LVEtransmission30_to_LVEtransmission1345_electricity,100
LVEtransmission1345_to_LVEtransmission1502_electricity,100
LVEtransmission1502_to_LVEtransmission1803_electricity,100
LVEtransmission1803_to_LVEtransmission873_electricity,100
LVEtransmission873_to_LVEtransmission1773_electricity,100
LVEtransmission1773_to_LVEtransmission1757_electricity,100
LVEtransmission1757_to_LVEtransmission29_electricity,100
LVEtransmission29_to_LVEtransmission909_electricity,100
LVEtransmission909_to_LVEtransmission2060_electricity,100
LVEtransmission2060_to_LVEtransmission774_electricity,100
LVEtransmission774_to_LVEtransmission1153_electricity,100
