nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
D0503100000000166,demand_LQ_heat,sink_use_equals,,5.649411383939192
D0503100000000167,demand_LQ_heat,sink_use_equals,,6.511745958211847
D0503100000001494,demand_LQ_heat,sink_use_equals,,7.397622864432002
D0503100000001495,demand_LQ_heat,sink_use_equals,,7.739498161176377
D0503100000001547,demand_LQ_heat,sink_use_equals,,5.225912476881303
D0503100000001548,demand_LQ_heat,sink_use_equals,,8.543786258590224
D0503100000001710,demand_LQ_heat,sink_use_equals,,6.612863712720823
D0503100000001711,demand_LQ_heat,sink_use_equals,,6.1802849679051794
D0503100000001712,demand_LQ_heat,sink_use_equals,,5.425642884253676
D0503100000001713,demand_LQ_heat,sink_use_equals,,7.230508878597412
D0503100000001714,demand_LQ_heat,sink_use_equals,,6.665539807964815
D0503100000001715,demand_LQ_heat,sink_use_equals,,6.987058489032514
D0503100000001716,demand_LQ_heat,sink_use_equals,,6.450789961937106
D0503100000001717,demand_LQ_heat,sink_use_equals,,7.6035898881634205
D0503100000001718,demand_LQ_heat,sink_use_equals,,6.338337642421672
D0503100000001719,demand_LQ_heat,sink_use_equals,,6.345819573529598
D0503100000001720,demand_LQ_heat,sink_use_equals,,7.133109196498689
D0503100000001721,demand_LQ_heat,sink_use_equals,,5.677991158788952
D0503100000001722,demand_LQ_heat,sink_use_equals,,7.838359064315801
D0503100000001723,demand_LQ_heat,sink_use_equals,,6.711840730337356
D0503100000001928,demand_LQ_heat,sink_use_equals,,6.096607946852321
D0503100000001930,demand_LQ_heat,sink_use_equals,,7.361405122847925
D0503100000001931,demand_LQ_heat,sink_use_equals,,7.539413208167618
D0503100000008848,demand_LQ_heat,sink_use_equals,,5.435714600286334
D0503100000009003,demand_LQ_heat,sink_use_equals,,6.761157669643483
D0503100000009004,demand_LQ_heat,sink_use_equals,,7.883209716995404
D0503100000009005,demand_LQ_heat,sink_use_equals,,5.543590908331584
D0503100000009006,demand_LQ_heat,sink_use_equals,,5.423893178769124
D0503100000009007,demand_LQ_heat,sink_use_equals,,5.266484144506859
D0503100000009009,demand_LQ_heat,sink_use_equals,,8.02906881834726
D0503100000009010,demand_LQ_heat,sink_use_equals,,6.772207662440461
D0503100000009011,demand_LQ_heat,sink_use_equals,,7.175270382754498
D0503100000009012,demand_LQ_heat,sink_use_equals,,6.916920179797513
D0503100000009013,demand_LQ_heat,sink_use_equals,,6.3605355040353695
D0503100000009014,demand_LQ_heat,sink_use_equals,,6.396645598207605
D0503100000009015,demand_LQ_heat,sink_use_equals,,6.1518985956266965
D0503100000009016,demand_LQ_heat,sink_use_equals,,6.453072194681876
D0503100000009017,demand_LQ_heat,sink_use_equals,,7.338237206594162
D0503100000009018,demand_LQ_heat,sink_use_equals,,6.253402487594723
D0503100000010265,demand_LQ_heat,sink_use_equals,,5.453331722157784
D0503100000010266,demand_LQ_heat,sink_use_equals,,6.577146841456545
D0503100000010267,demand_LQ_heat,sink_use_equals,,6.885077048891136
D0503100000010268,demand_LQ_heat,sink_use_equals,,6.683004525505814
D0503100000010270,demand_LQ_heat,sink_use_equals,,7.158681002080899
D0503100000010271,demand_LQ_heat,sink_use_equals,,5.999087756900331
D0503100000010272,demand_LQ_heat,sink_use_equals,,7.49230208062622
D0503100000010273,demand_LQ_heat,sink_use_equals,,5.674935742026799
D0503100000010274,demand_LQ_heat,sink_use_equals,,6.336096863604127
D0503100000010275,demand_LQ_heat,sink_use_equals,,7.030669117228963
D0503100000010276,demand_LQ_heat,sink_use_equals,,5.884180335089275
D0503100000010277,demand_LQ_heat,sink_use_equals,,7.249670929760825
D0503100000010278,demand_LQ_heat,sink_use_equals,,6.93394030745766
D0503100000010279,demand_LQ_heat,sink_use_equals,,6.503398807695409
D0503100000010280,demand_LQ_heat,sink_use_equals,,8.206722092635184
D0503100000010281,demand_LQ_heat,sink_use_equals,,7.759304892987007
D0503100000010364,demand_LQ_heat,sink_use_equals,,6.546692607268448
D0503100000010365,demand_LQ_heat,sink_use_equals,,5.893695788762849
D0503100000010366,demand_LQ_heat,sink_use_equals,,6.9179477681548045
D0503100000010367,demand_LQ_heat,sink_use_equals,,6.057969369072834
D0503100000010368,demand_LQ_heat,sink_use_equals,,6.775309288382663
D0503100000010369,demand_LQ_heat,sink_use_equals,,6.691649116492358
D0503100000010370,demand_LQ_heat,sink_use_equals,,5.964481228730541
D0503100000010371,demand_LQ_heat,sink_use_equals,,6.082403471828659
D0503100000010372,demand_LQ_heat,sink_use_equals,,7.015788212584436
D0503100000010373,demand_LQ_heat,sink_use_equals,,6.7401014948690365
D0503100000010374,demand_LQ_heat,sink_use_equals,,7.124333603922433
D0503100000010375,demand_LQ_heat,sink_use_equals,,6.810536958188917
D0503100000010376,demand_LQ_heat,sink_use_equals,,6.255499062596337
D0503100000010377,demand_LQ_heat,sink_use_equals,,5.768261436686148
D0503100000010378,demand_LQ_heat,sink_use_equals,,5.462297717697871
D0503100000010379,demand_LQ_heat,sink_use_equals,,6.87380419944578
D0503100000010380,demand_LQ_heat,sink_use_equals,,6.300134467652685
D0503100000010381,demand_LQ_heat,sink_use_equals,,6.56120177889076
D0503100000010382,demand_LQ_heat,sink_use_equals,,6.743443888064434
D0503100000010383,demand_LQ_heat,sink_use_equals,,7.220184206021715
D0503100000010384,demand_LQ_heat,sink_use_equals,,5.465172044350446
D0503100000010385,demand_LQ_heat,sink_use_equals,,6.9064050249968165
D0503100000010386,demand_LQ_heat,sink_use_equals,,5.872013413688773
D0503100000010387,demand_LQ_heat,sink_use_equals,,5.9815150597141375
D0503100000010388,demand_LQ_heat,sink_use_equals,,6.159014211929669
D0503100000010389,demand_LQ_heat,sink_use_equals,,5.664659877344697
D0503100000010390,demand_LQ_heat,sink_use_equals,,6.958850506805293
D0503100000010391,demand_LQ_heat,sink_use_equals,,6.768610144292846
D0503100000010392,demand_LQ_heat,sink_use_equals,,6.862239504809714
D0503100000010393,demand_LQ_heat,sink_use_equals,,6.1266050417288245
D0503100000010394,demand_LQ_heat,sink_use_equals,,8.581150193780879
D0503100000010395,demand_LQ_heat,sink_use_equals,,6.505619019912958
D0503100000010396,demand_LQ_heat,sink_use_equals,,6.510574843162741
