name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Air-to-air heat pump,1148.6910478614461,,,,
Geothermal heat supply,10561.535576826012,,,,
HQ to LQ heat conversion substation,9284.36141956856,,,,
Heat transmission main_DN455,10556.973287518873,154.82801488885883,0.10078256121736394,454.9376815913117,455.0
Heat transmission main_DN455,10546.785604139186,237.0817192109121,0.10068530409679415,454.7181167771531,455.0
Heat transmission main_DN455,10531.185627015107,481.7624435399594,0.10053637830086022,454.3817006642801,455.0
Heat transmission main_DN455,10499.485658230178,172.14734518840646,0.10023375330052677,453.69731706861234,455.0
Heat transmission main_DN455,10488.158362916782,163.60029736688804,0.10012561682975447,453.4525169661914,455.0
Heat transmission main_DN455,10477.393463350041,36.50527946716264,0.1000228492921245,453.2197485515459,455.0
Heat transmission main_DN455,10474.991415961102,94.31119024231013,0.09999991805213462,453.1677929902285,455.0
Heat transmission main_DN455,10468.785739643157,38.41377995191949,0.09994067531878909,453.033538499652,455.0
Heat transmission main_DN455,10466.258112922322,29.431914093287112,0.09991654523076202,452.97884405687864,455.0
Heat transmission main_DN455,10464.321492974983,76.23875212890633,0.09989805721217167,452.93693373708163,455.0
Heat transmission main_DN455,10459.304983084901,17.305208010490652,0.09985016690295849,452.8283535970066,455.0
Heat transmission main_DN460,10561.535576826012,69.33570375591154,0.10082611529189511,455.03597364289914,460.0
LQ heat distribution main_DN100,499.29843611573864,4.170585609616803,0.0047665721824891516,98.93781197313746,100.0
LQ heat distribution main_DN100,499.0815656640386,4.1705845856878305,0.004764501820181752,98.91632280267669,100.0
LQ heat distribution main_DN100,498.86469526558284,4.177066107754103,0.004762431458382652,98.89482896804373,100.0
LQ heat distribution main_DN100,498.6474878279796,4.17058253500088,0.004760357879026058,98.87329704636475,100.0
LQ heat distribution main_DN100,498.43061753615956,4.820433298777078,0.00475828751824496,98.8517938670035,100.0
LQ heat distribution main_DN100,476.1827694975463,4.906311455169097,0.004545897560835764,96.62044581573298,100.0
LQ heat distribution main_DN100,475.9858998423635,4.848342209075649,0.0045440181369199376,96.60047071213927,100.0
LQ heat distribution main_DN100,475.9276413018775,4.910462171014046,0.004543461969468998,96.5945587989389,100.0
LQ heat distribution main_DN100,475.73378604749155,4.848341919749232,0.004541611322649084,96.57488430607567,100.0
LQ heat distribution main_DN100,475.6722972689848,4.9063145499350505,0.004541024317603674,96.56864293354975,100.0
LQ heat distribution main_DN100,475.4816722676646,4.835788875530336,0.004539204508521857,96.54929112091857,100.0
LQ heat distribution main_DN100,475.41716891238815,4.912693278492924,0.004538588724700603,96.54274200996741,100.0
LQ heat distribution main_DN100,475.230211246137,4.848341341773725,0.004536803925977441,96.52375744046725,100.0
LQ heat distribution main_DN100,475.1721332258108,4.395721089931398,0.004536249481869315,96.51785916222302,100.0
LQ heat distribution main_DN100,475.1617088619065,4.906317634828219,0.004536149965268797,96.51680044819598,100.0
LQ heat distribution main_DN100,474.9780974963648,4.835788301031787,0.004534397112137134,96.49815069852559,100.0
