nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
D0503100000000166,demand_LQ_heat,sink_use_equals,,4.992976972055466
D0503100000000167,demand_LQ_heat,sink_use_equals,,6.160526276049951
D0503100000001494,demand_LQ_heat,sink_use_equals,,5.814671367189443
D0503100000001495,demand_LQ_heat,sink_use_equals,,6.3513191809291
D0503100000001547,demand_LQ_heat,sink_use_equals,,5.085896089263063
D0503100000001548,demand_LQ_heat,sink_use_equals,,6.24863478589407
D0503100000001710,demand_LQ_heat,sink_use_equals,,4.958248981229364
D0503100000001711,demand_LQ_heat,sink_use_equals,,5.821681200743763
D0503100000001712,demand_LQ_heat,sink_use_equals,,5.257651919368027
D0503100000001713,demand_LQ_heat,sink_use_equals,,6.992423040937818
D0503100000001714,demand_LQ_heat,sink_use_equals,,5.7135863990114375
D0503100000001715,demand_LQ_heat,sink_use_equals,,5.111562211161498
D0503100000001716,demand_LQ_heat,sink_use_equals,,5.214587985104647
D0503100000001717,demand_LQ_heat,sink_use_equals,,6.6465548071680285
D0503100000001718,demand_LQ_heat,sink_use_equals,,5.118639257480665
D0503100000001719,demand_LQ_heat,sink_use_equals,,6.140956399907796
D0503100000001720,demand_LQ_heat,sink_use_equals,,6.761122446718657
D0503100000001721,demand_LQ_heat,sink_use_equals,,4.6499866731252695
D0503100000001722,demand_LQ_heat,sink_use_equals,,6.250025933641145
D0503100000001723,demand_LQ_heat,sink_use_equals,,5.789984334656814
D0503100000001928,demand_LQ_heat,sink_use_equals,,5.09290045220633
D0503100000001930,demand_LQ_heat,sink_use_equals,,6.600212262679025
D0503100000001931,demand_LQ_heat,sink_use_equals,,6.338364546435069
D0503100000008848,demand_LQ_heat,sink_use_equals,,5.424679552474681
D0503100000009003,demand_LQ_heat,sink_use_equals,,5.390235149792927
D0503100000009004,demand_LQ_heat,sink_use_equals,,5.9006879645281565
D0503100000009005,demand_LQ_heat,sink_use_equals,,5.57521275858095
D0503100000009006,demand_LQ_heat,sink_use_equals,,5.160868391214903
D0503100000009007,demand_LQ_heat,sink_use_equals,,5.116661783370242
D0503100000009009,demand_LQ_heat,sink_use_equals,,6.244376651569368
D0503100000009010,demand_LQ_heat,sink_use_equals,,5.052705601296866
D0503100000009011,demand_LQ_heat,sink_use_equals,,6.009980857367955
D0503100000009012,demand_LQ_heat,sink_use_equals,,6.120655175520513
D0503100000009013,demand_LQ_heat,sink_use_equals,,5.472479303663522
D0503100000009014,demand_LQ_heat,sink_use_equals,,5.897007024399041
D0503100000009015,demand_LQ_heat,sink_use_equals,,5.34102060985814
D0503100000009016,demand_LQ_heat,sink_use_equals,,5.298042884406333
D0503100000009017,demand_LQ_heat,sink_use_equals,,5.837530386129036
D0503100000009018,demand_LQ_heat,sink_use_equals,,5.32807863206315
D0503100000010265,demand_LQ_heat,sink_use_equals,,5.017349051133813
D0503100000010266,demand_LQ_heat,sink_use_equals,,6.1223462335192185
D0503100000010267,demand_LQ_heat,sink_use_equals,,6.443753076014563
D0503100000010268,demand_LQ_heat,sink_use_equals,,5.49012523527242
D0503100000010270,demand_LQ_heat,sink_use_equals,,6.616099732720539
D0503100000010271,demand_LQ_heat,sink_use_equals,,5.133284622764349
D0503100000010272,demand_LQ_heat,sink_use_equals,,6.154137625980932
D0503100000010273,demand_LQ_heat,sink_use_equals,,4.843028856325176
D0503100000010274,demand_LQ_heat,sink_use_equals,,5.530161397963649
D0503100000010275,demand_LQ_heat,sink_use_equals,,6.607528488544672
D0503100000010276,demand_LQ_heat,sink_use_equals,,5.246695791669881
D0503100000010277,demand_LQ_heat,sink_use_equals,,5.177432806609512
D0503100000010278,demand_LQ_heat,sink_use_equals,,5.047038891073608
D0503100000010279,demand_LQ_heat,sink_use_equals,,5.2703455535483
D0503100000010280,demand_LQ_heat,sink_use_equals,,6.090552145229509
D0503100000010281,demand_LQ_heat,sink_use_equals,,6.05383566811394
D0503100000010364,demand_LQ_heat,sink_use_equals,,5.5118348263461865
D0503100000010365,demand_LQ_heat,sink_use_equals,,4.720424038984593
D0503100000010366,demand_LQ_heat,sink_use_equals,,6.996750581859624
D0503100000010367,demand_LQ_heat,sink_use_equals,,5.770739464689881
D0503100000010368,demand_LQ_heat,sink_use_equals,,5.987451883053614
D0503100000010369,demand_LQ_heat,sink_use_equals,,6.271111179092863
D0503100000010370,demand_LQ_heat,sink_use_equals,,5.818268458690845
D0503100000010371,demand_LQ_heat,sink_use_equals,,4.514135572770267
D0503100000010372,demand_LQ_heat,sink_use_equals,,5.454685282750321
D0503100000010373,demand_LQ_heat,sink_use_equals,,5.512241642266237
D0503100000010374,demand_LQ_heat,sink_use_equals,,5.337483706647618
D0503100000010375,demand_LQ_heat,sink_use_equals,,5.073942906614645
D0503100000010376,demand_LQ_heat,sink_use_equals,,4.376790351477781
D0503100000010377,demand_LQ_heat,sink_use_equals,,5.151391439963336
D0503100000010378,demand_LQ_heat,sink_use_equals,,5.3615891838415655
D0503100000010379,demand_LQ_heat,sink_use_equals,,5.379266609084382
D0503100000010380,demand_LQ_heat,sink_use_equals,,5.394941984485965
D0503100000010381,demand_LQ_heat,sink_use_equals,,5.466022302506167
D0503100000010382,demand_LQ_heat,sink_use_equals,,5.719585324965758
D0503100000010383,demand_LQ_heat,sink_use_equals,,6.489438500511273
D0503100000010384,demand_LQ_heat,sink_use_equals,,4.981329064841609
D0503100000010385,demand_LQ_heat,sink_use_equals,,5.920479055346201
D0503100000010386,demand_LQ_heat,sink_use_equals,,5.309278353676714
D0503100000010387,demand_LQ_heat,sink_use_equals,,4.797791630941789
D0503100000010388,demand_LQ_heat,sink_use_equals,,5.565647476838303
D0503100000010389,demand_LQ_heat,sink_use_equals,,5.713758067251957
D0503100000010390,demand_LQ_heat,sink_use_equals,,5.652345513504731
D0503100000010391,demand_LQ_heat,sink_use_equals,,6.100044824965129
D0503100000010392,demand_LQ_heat,sink_use_equals,,5.615900621488548
D0503100000010393,demand_LQ_heat,sink_use_equals,,5.816063824137987
D0503100000010394,demand_LQ_heat,sink_use_equals,,6.041509515082297
D0503100000010395,demand_LQ_heat,sink_use_equals,,4.868881262259974
D0503100000010396,demand_LQ_heat,sink_use_equals,,4.59382628124208
