nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer10,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer11,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer12,supply_LV_electricity,source_use_max,,100000.0
D0503100000000190,demand_LQ_heat,sink_use_equals,,7.415104843283053
D0503100000000191,demand_LQ_heat,sink_use_equals,,7.015616797150534
D0503100000000193,demand_LQ_heat,sink_use_equals,,899.664891738181
D0503100000001933,demand_LQ_heat,sink_use_equals,,6.265332414365548
D0503100000001936,demand_LQ_heat,sink_use_equals,,8.10679569800379
D0503100000001937,demand_LQ_heat,sink_use_equals,,6.554999750249451
D0503100000001938,demand_LQ_heat,sink_use_equals,,7.256336293056788
D0503100000002020,demand_LQ_heat,sink_use_equals,,7.3983305985728895
D0503100000002021,demand_LQ_heat,sink_use_equals,,6.683311212106775
D0503100000002023,demand_LQ_heat,sink_use_equals,,8.260364607977099
D0503100000002025,demand_LQ_heat,sink_use_equals,,7.857114763883079
D0503100000002026,demand_LQ_heat,sink_use_equals,,7.160047693606687
D0503100000002031,demand_LQ_heat,sink_use_equals,,6.622788991152435
D0503100000002032,demand_LQ_heat,sink_use_equals,,7.471201015568551
D0503100000002033,demand_LQ_heat,sink_use_equals,,8.105315401833433
D0503100000013778,demand_LQ_heat,sink_use_equals,,7.029788212148757
D0503100000013779,demand_LQ_heat,sink_use_equals,,8.091085707678785
D0503100000013780,demand_LQ_heat,sink_use_equals,,8.180525327573934
D0503100000013831,demand_LQ_heat,sink_use_equals,,6.817963128761958
D0503100000013832,demand_LQ_heat,sink_use_equals,,7.138217559445154
D0503100000013834,demand_LQ_heat,sink_use_equals,,6.32301659594002
D0503100000013838,demand_LQ_heat,sink_use_equals,,6.780681013408046
D0503100000013839,demand_LQ_heat,sink_use_equals,,7.329560874871934
D0503100000013840,demand_LQ_heat,sink_use_equals,,8.595054649935259
D0503100000013841,demand_LQ_heat,sink_use_equals,,7.654671668545065
D0503100000013842,demand_LQ_heat,sink_use_equals,,8.759268946843799
D0503100000013843,demand_LQ_heat,sink_use_equals,,7.016588237198339
D0503100000013844,demand_LQ_heat,sink_use_equals,,7.857818512145784
D0503100000013845,demand_LQ_heat,sink_use_equals,,7.195190740390516
D0503100000013846,demand_LQ_heat,sink_use_equals,,7.000673252466712
D0503100000013849,demand_LQ_heat,sink_use_equals,,8.20555016578152
D0503100000013850,demand_LQ_heat,sink_use_equals,,6.978918835293143
D0503100000013851,demand_LQ_heat,sink_use_equals,,7.664934429326008
D0503100000013852,demand_LQ_heat,sink_use_equals,,7.344524215436563
D0503100000013853,demand_LQ_heat,sink_use_equals,,7.287312455771231
D0503100000013854,demand_LQ_heat,sink_use_equals,,6.672451410250732
D0503100000013855,demand_LQ_heat,sink_use_equals,,7.211064659422359
D0503100000013864,demand_LQ_heat,sink_use_equals,,7.223150417132307
D0503100000013866,demand_LQ_heat,sink_use_equals,,6.92947274397697
D0503100000013867,demand_LQ_heat,sink_use_equals,,7.664335132017154
D0503100000013868,demand_LQ_heat,sink_use_equals,,6.852906549514464
D0503100000013869,demand_LQ_heat,sink_use_equals,,7.737009705182475
D0503100000013870,demand_LQ_heat,sink_use_equals,,6.399585787275586
D0503100000013871,demand_LQ_heat,sink_use_equals,,7.421504318884266
D0503100000013872,demand_LQ_heat,sink_use_equals,,7.357588902912701
D0503100000013873,demand_LQ_heat,sink_use_equals,,9.261271549673742
D0503100000013875,demand_LQ_heat,sink_use_equals,,8.002621502187928
D0503100000013876,demand_LQ_heat,sink_use_equals,,7.156904198606533
D0503100000013877,demand_LQ_heat,sink_use_equals,,7.120296448083485
D0503100000013878,demand_LQ_heat,sink_use_equals,,6.492089902970914
D0503100000013880,demand_LQ_heat,sink_use_equals,,6.43766457767046
D0503100000013881,demand_LQ_heat,sink_use_equals,,7.272383661763639
D0503100000014645,demand_LQ_heat,sink_use_equals,,7.587282115116012
D0503100000014648,demand_LQ_heat,sink_use_equals,,6.292141223114105
D0503100000014649,demand_LQ_heat,sink_use_equals,,6.505894697956473
D0503100000014654,demand_LQ_heat,sink_use_equals,,8.697124924868616
D0503100000014719,demand_LQ_heat,sink_use_equals,,6.673188097670336
D0503100000014723,demand_LQ_heat,sink_use_equals,,6.854348505148193
D0503100000014725,demand_LQ_heat,sink_use_equals,,9.100767261785268
D0503100000014726,demand_LQ_heat,sink_use_equals,,7.5791539646181425
D0503100000014729,demand_LQ_heat,sink_use_equals,,6.518329892226023
D0503100000014731,demand_LQ_heat,sink_use_equals,,7.176624464187578
D0503100000014733,demand_LQ_heat,sink_use_equals,,6.491852049913832
D0503100000014739,demand_LQ_heat,sink_use_equals,,6.319159024521058
D0503100000014741,demand_LQ_heat,sink_use_equals,,8.291254983026867
D0503100000014744,demand_LQ_heat,sink_use_equals,,6.498613130222688
D0503100000014745,demand_LQ_heat,sink_use_equals,,6.438226146502096
D0503100000014747,demand_LQ_heat,sink_use_equals,,6.594566693108995
D0503100000014748,demand_LQ_heat,sink_use_equals,,7.778825422257775
D0503100000014835,demand_LQ_heat,sink_use_equals,,6.8279892025341775
D0503100000014836,demand_LQ_heat,sink_use_equals,,5.9924519292047504
D0503100000014837,demand_LQ_heat,sink_use_equals,,8.753942330659683
D0503100000014838,demand_LQ_heat,sink_use_equals,,9.004185897681579
D0503100000014843,demand_LQ_heat,sink_use_equals,,7.312636248650316
D0503100000014847,demand_LQ_heat,sink_use_equals,,6.314067887920212
D0503100000014848,demand_LQ_heat,sink_use_equals,,7.281424814386948
D0503100000014850,demand_LQ_heat,sink_use_equals,,7.357036050588591
D0503100000014852,demand_LQ_heat,sink_use_equals,,8.218018322172336
D0503100000014854,demand_LQ_heat,sink_use_equals,,7.942412629051383
D0503100000015289,demand_LQ_heat,sink_use_equals,,6.805042218898024
D0503100000015290,demand_LQ_heat,sink_use_equals,,6.881887178046418
D0503100000015291,demand_LQ_heat,sink_use_equals,,6.812476907440525
D0503100000015292,demand_LQ_heat,sink_use_equals,,7.062146799178619
D0503100000015293,demand_LQ_heat,sink_use_equals,,7.175020096224327
D0503100000015294,demand_LQ_heat,sink_use_equals,,6.917013298862845
