techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LQHtransmission1413_to_LQHtransmission578_heat,100
LQHtransmission578_to_LQHtransmission1342_heat,100
LQHtransmission1342_to_LQHtransmission340_heat,100
LQHtransmission340_to_LQHtransmission1850_heat,100
LQHtransmission1850_to_LQHtransmission1866_heat,100
LQHtransmission1866_to_LQHtransmission1376_heat,100
LQHtransmission1376_to_LQHtransmission1580_heat,100
LQHtransmission1580_to_LQHtransmission1648_heat,100
LQHtransmission1648_to_LQHtransmission1300_heat,100
LQHtransmission1300_to_LQHtransmission1611_heat,100
LQHtransmission1611_to_LQHtransmission1563_heat,100
LQHtransmission1563_to_LQHtransmission292_heat,100
LQHtransmission292_to_LQHtransmission1994_heat,100
LQHtransmission1994_to_LQHtransmission1196_heat,100
LQHtransmission1196_to_LQHtransmission226_heat,100
LQHtransmission226_to_LQHtransmission1889_heat,100
LQHtransmission1889_to_LQHtransmission197_heat,100
LQHtransmission197_to_LQHtransmission938_heat,100
LQHtransmission938_to_LQHtransmission1922_heat,100
LQHtransmission1922_to_LQHtransmission1371_heat,100
LQHtransmission1371_to_LQHtransmission1305_heat,100
LQHtransmission1305_to_LQHtransmission1874_heat,100
LQHtransmission1874_to_LQHtransmission1367_heat,100
LQHtransmission1367_to_LQHtransmission1356_heat,100
LQHtransmission1356_to_LQHtransmission1826_heat,100
LQHtransmission1826_to_LQHtransmission1996_heat,100
LQHtransmission1996_to_LQHtransmission1988_heat,100
LQHtransmission1988_to_LQHtransmission853_heat,100
LQHtransmission853_to_LQHtransmission397_heat,100
LQHtransmission397_to_LQHtransmission633_heat,100
LQHtransmission633_to_LQHtransmission355_heat,100
LQHtransmission355_to_LQHtransmission638_heat,100
LQHtransmission638_to_LQHtransmission653_heat,100
LQHtransmission653_to_LQHtransmission379_heat,100
LQHtransmission379_to_LQHtransmission366_heat,100
LQHtransmission366_to_LQHtransmission652_heat,100
LQHtransmission652_to_LQHtransmission378_heat,100
LQHtransmission378_to_LQHtransmission1758_heat,100
LQHtransmission1758_to_LQHtransmission678_heat,100
LQHtransmission678_to_LQHtransmission1772_heat,100
LQHtransmission1772_to_LQHtransmission1833_heat,100
LQHtransmission1833_to_LQHtransmission1189_heat,100
LQHtransmission1189_to_LQHtransmission273_heat,100
LQHtransmission273_to_LQHtransmission590_heat,100
LQHtransmission590_to_LQHtransmission12_heat,100
LQHtransmission12_to_LQHtransmission1950_heat,100
LQHtransmission1950_to_LQHtransmission712_heat,100
LQHtransmission712_to_LQHtransmission1689_heat,100
LQHtransmission1689_to_LQHtransmission1107_heat,100
LQHtransmission1107_to_LQHtransmission54_heat,100
LQHtransmission54_to_LQHtransmission1986_heat,100
LQHtransmission1986_to_LQHtransmission766_heat,100
LQHtransmission766_to_LQHtransmission1742_heat,100
LQHtransmission1149_to_LQHtransmission1474_heat,100
LQHtransmission1474_to_LQHtransmission56_heat,100
LQHtransmission56_to_LQHtransmission1005_heat,100
LQHtransmission1005_to_LQHtransmission1359_heat,100
LQHtransmission1359_to_LQHtransmission946_heat,100
LQHtransmission946_to_LQHtransmission19_heat,100
LQHtransmission19_to_LQHtransmission921_heat,100
LQHtransmission921_to_LQHtransmission667_heat,100
LQHtransmission667_to_LQHtransmission1789_heat,100
LQHtransmission1789_to_LQHtransmission644_heat,100
LQHtransmission644_to_LQHtransmission1405_heat,100
LQHtransmission1405_to_LQHtransmission240_heat,100
LQHtransmission240_to_LQHtransmission1383_heat,100
LQHtransmission1383_to_LQHtransmission941_heat,100
LQHtransmission941_to_LQHtransmission939_heat,100
LQHtransmission939_to_LQHtransmission1222_heat,100
LQHtransmission1222_to_LQHtransmission1524_heat,100
LQHtransmission1524_to_LQHtransmission1951_heat,100
LQHtransmission1951_to_LQHtransmission411_heat,100
LQHtransmission411_to_LQHtransmission1930_heat,100
