techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LQHtransmission1734_to_LQHtransmission1872_heat,100
LQHtransmission1872_to_LQHtransmission453_heat,100
LQHtransmission453_to_LQHtransmission2273_heat,100
LQHtransmission798_to_LQHtransmission77_heat,100
LQHtransmission477_to_LQHtransmission2796_heat,100
LQHtransmission2796_to_LQHtransmission1737_heat,100
LQHtransmission1737_to_LQHtransmission231_heat,100
LQHtransmission231_to_LQHtransmission2519_heat,100
LQHtransmission2519_to_LQHtransmission1314_heat,100
LQHtransmission1314_to_LQHtransmission612_heat,100
LQHtransmission612_to_LQHtransmission2759_heat,100
LQHtransmission2759_to_LQHtransmission200_heat,100
LQHtransmission200_to_LQHtransmission2191_heat,100
LQHtransmission2191_to_LQHtransmission1326_heat,100
LQHtransmission1326_to_LQHtransmission2233_heat,100
LQHtransmission2233_to_LQHtransmission3031_heat,100
LQHtransmission3031_to_LQHtransmission1769_heat,100
LQHtransmission1769_to_LQHtransmission2106_heat,100
LQHtransmission2106_to_LQHtransmission764_heat,100
LQHtransmission764_to_LQHtransmission347_heat,100
LQHtransmission347_to_LQHtransmission937_heat,100
LQHtransmission937_to_LQHtransmission2158_heat,100
LQHtransmission2158_to_LQHtransmission1919_heat,100
LQHtransmission1919_to_LQHtransmission1554_heat,100
LQHtransmission1554_to_LQHtransmission2407_heat,100
LQHtransmission2407_to_LQHtransmission1622_heat,100
LQHtransmission1622_to_LQHtransmission1970_heat,100
LQHtransmission1970_to_LQHtransmission94_heat,100
LQHtransmission94_to_LQHtransmission1281_heat,100
LQHtransmission1281_to_LQHtransmission1560_heat,100
LQHtransmission1560_to_LQHtransmission3111_heat,100
LQHtransmission3111_to_LQHtransmission2094_heat,100
LQHtransmission2094_to_LQHtransmission1954_heat,100
LQHtransmission1954_to_LQHtransmission470_heat,100
LQHtransmission470_to_LQHtransmission1636_heat,100
LQHtransmission1636_to_LQHtransmission212_heat,100
LQHtransmission212_to_LQHtransmission2896_heat,100
LQHtransmission2896_to_LQHtransmission553_heat,100
LQHtransmission553_to_LQHtransmission2056_heat,100
LQHtransmission2056_to_LQHtransmission536_heat,100
LQHtransmission536_to_LQHtransmission2503_heat,100
LQHtransmission2503_to_LQHtransmission2608_heat,100
LQHtransmission2608_to_LQHtransmission1310_heat,100
LQHtransmission1310_to_LQHtransmission2321_heat,100
LQHtransmission2321_to_LQHtransmission2136_heat,100
LQHtransmission2136_to_LQHtransmission1109_heat,100
LQHtransmission1109_to_LQHtransmission1231_heat,100
LQHtransmission1231_to_LQHtransmission34_heat,100
LQHtransmission34_to_LQHtransmission2453_heat,100
LQHtransmission1607_to_LQHtransmission1597_heat,100
LQHtransmission1597_to_LQHtransmission2977_heat,100
LQHtransmission2977_to_LQHtransmission141_heat,100
LQHtransmission141_to_LQHtransmission3017_heat,100
LQHtransmission3017_to_LQHtransmission998_heat,100
LQHtransmission998_to_LQHtransmission316_heat,100
LQHtransmission316_to_LQHtransmission235_heat,100
LQHtransmission235_to_LQHtransmission1030_heat,100
LQHtransmission1030_to_LQHtransmission1159_heat,100
LQHtransmission1159_to_LQHtransmission545_heat,100
LQHtransmission545_to_LQHtransmission450_heat,100
LQHtransmission450_to_LQHtransmission245_heat,100
LQHtransmission245_to_LQHtransmission2893_heat,100
LQHtransmission2893_to_LQHtransmission2312_heat,100
LQHtransmission2312_to_LQHtransmission1086_heat,100
LQHtransmission1086_to_LQHtransmission1430_heat,100
LQHtransmission1430_to_LQHtransmission2193_heat,100
LQHtransmission2193_to_LQHtransmission396_heat,100
LQHtransmission396_to_LQHtransmission2313_heat,100
LQHtransmission2313_to_LQHtransmission1994_heat,100
LQHtransmission1994_to_LQHtransmission1901_heat,100
LQHtransmission2714_to_LQHtransmission2428_heat,100
LQHtransmission2428_to_LQHtransmission3094_heat,100
