techs,carrier_out,carrier_in
LQHtransmission1413_to_LQHtransmission578_heat,1,1
LQHtransmission578_to_LQHtransmission1342_heat,1,1
LQHtransmission1342_to_LQHtransmission340_heat,1,1
LQHtransmission340_to_LQHtransmission1850_heat,1,1
LQHtransmission1850_to_LQHtransmission1866_heat,1,1
LQHtransmission1866_to_LQHtransmission1376_heat,1,1
LQHtransmission1376_to_LQHtransmission1580_heat,1,1
LQHtransmission1580_to_LQHtransmission1648_heat,1,1
LQHtransmission1648_to_LQHtransmission1300_heat,1,1
LQHtransmission1300_to_LQHtransmission1611_heat,1,1
LQHtransmission1611_to_LQHtransmission1563_heat,1,1
LQHtransmission1563_to_LQHtransmission292_heat,1,1
LQHtransmission292_to_LQHtransmission1994_heat,1,1
LQHtransmission1994_to_LQHtransmission1196_heat,1,1
LQHtransmission1196_to_LQHtransmission226_heat,1,1
LQHtransmission226_to_LQHtransmission1889_heat,1,1
LQHtransmission1889_to_LQHtransmission197_heat,1,1
LQHtransmission197_to_LQHtransmission938_heat,1,1
LQHtransmission938_to_LQHtransmission1922_heat,1,1
LQHtransmission1922_to_LQHtransmission1371_heat,1,1
LQHtransmission1371_to_LQHtransmission1305_heat,1,1
LQHtransmission1305_to_LQHtransmission1874_heat,1,1
LQHtransmission1874_to_LQHtransmission1367_heat,1,1
LQHtransmission1367_to_LQHtransmission1356_heat,1,1
LQHtransmission1356_to_LQHtransmission1826_heat,1,1
LQHtransmission1826_to_LQHtransmission1996_heat,1,1
LQHtransmission1996_to_LQHtransmission1988_heat,1,1
LQHtransmission1988_to_LQHtransmission853_heat,1,1
LQHtransmission853_to_LQHtransmission397_heat,1,1
LQHtransmission397_to_LQHtransmission633_heat,1,1
LQHtransmission633_to_LQHtransmission355_heat,1,1
LQHtransmission355_to_LQHtransmission638_heat,1,1
LQHtransmission638_to_LQHtransmission653_heat,1,1
LQHtransmission653_to_LQHtransmission379_heat,1,1
LQHtransmission379_to_LQHtransmission366_heat,1,1
LQHtransmission366_to_LQHtransmission652_heat,1,1
LQHtransmission652_to_LQHtransmission378_heat,1,1
LQHtransmission378_to_LQHtransmission1758_heat,1,1
LQHtransmission1758_to_LQHtransmission678_heat,1,1
LQHtransmission678_to_LQHtransmission1772_heat,1,1
LQHtransmission1772_to_LQHtransmission1833_heat,1,1
LQHtransmission1833_to_LQHtransmission1189_heat,1,1
LQHtransmission1189_to_LQHtransmission273_heat,1,1
LQHtransmission273_to_LQHtransmission590_heat,1,1
LQHtransmission590_to_LQHtransmission12_heat,1,1
LQHtransmission12_to_LQHtransmission1950_heat,1,1
LQHtransmission1950_to_LQHtransmission712_heat,1,1
LQHtransmission712_to_LQHtransmission1689_heat,1,1
LQHtransmission1689_to_LQHtransmission1107_heat,1,1
LQHtransmission1107_to_LQHtransmission54_heat,1,1
LQHtransmission54_to_LQHtransmission1986_heat,1,1
LQHtransmission1986_to_LQHtransmission766_heat,1,1
LQHtransmission766_to_LQHtransmission1742_heat,1,1
LQHtransmission1149_to_LQHtransmission1474_heat,1,1
LQHtransmission1474_to_LQHtransmission56_heat,1,1
LQHtransmission56_to_LQHtransmission1005_heat,1,1
LQHtransmission1005_to_LQHtransmission1359_heat,1,1
LQHtransmission1359_to_LQHtransmission946_heat,1,1
LQHtransmission946_to_LQHtransmission19_heat,1,1
LQHtransmission19_to_LQHtransmission921_heat,1,1
LQHtransmission921_to_LQHtransmission667_heat,1,1
LQHtransmission667_to_LQHtransmission1789_heat,1,1
LQHtransmission1789_to_LQHtransmission644_heat,1,1
LQHtransmission644_to_LQHtransmission1405_heat,1,1
LQHtransmission1405_to_LQHtransmission240_heat,1,1
LQHtransmission240_to_LQHtransmission1383_heat,1,1
LQHtransmission1383_to_LQHtransmission941_heat,1,1
LQHtransmission941_to_LQHtransmission939_heat,1,1
LQHtransmission939_to_LQHtransmission1222_heat,1,1
LQHtransmission1222_to_LQHtransmission1524_heat,1,1
LQHtransmission1524_to_LQHtransmission1951_heat,1,1
LQHtransmission1951_to_LQHtransmission411_heat,1,1
LQHtransmission411_to_LQHtransmission1930_heat,1,1
LQHtransmission1930_to_LQHtransmission483_heat,1,1
LQHtransmission483_to_LQHtransmission929_heat,1,1
LQHtransmission929_to_LQHtransmission654_heat,1,1
LQHtransmission654_to_LQHtransmission1181_heat,1,1
LQHtransmission1181_to_LQHtransmission430_heat,1,1
LQHtransmission430_to_LQHtransmission1197_heat,1,1
LQHtransmission1197_to_LQHtransmission1735_heat,1,1
LQHtransmission1735_to_LQHtransmission443_heat,1,1
LQHtransmission443_to_LQHtransmission479_heat,1,1
LQHtransmission479_to_LQHtransmission547_heat,1,1
LQHtransmission547_to_LQHtransmission322_heat,1,1
LQHtransmission322_to_LQHtransmission1328_heat,1,1
LQHtransmission1328_to_LQHtransmission1399_heat,1,1
LQHtransmission1399_to_LQHtransmission1243_heat,1,1
LQHtransmission1243_to_LQHtransmission1119_heat,1,1
LQHtransmission1119_to_LQHtransmission1355_heat,1,1
LQHtransmission1355_to_LQHtransmission1419_heat,1,1
LQHtransmission1419_to_LQHtransmission1912_heat,1,1
LQHtransmission1912_to_LQHtransmission1945_heat,1,1
LQHtransmission1945_to_LQHtransmission376_heat,1,1
LQHtransmission376_to_LQHtransmission1550_heat,1,1
LQHtransmission1550_to_LQHtransmission591_heat,1,1
LQHtransmission591_to_LQHtransmission1088_heat,1,1
LQHtransmission1088_to_LQHtransmission162_heat,1,1
LQHtransmission162_to_LQHtransmission202_heat,1,1
LQHtransmission1635_to_LQHtransmission272_heat,1,1
LQHtransmission272_to_LQHtransmission731_heat,1,1
LQHtransmission731_to_LQHtransmission1002_heat,1,1
LQHtransmission1002_to_LQHtransmission385_heat,1,1
LQHtransmission385_to_LQHtransmission183_heat,1,1
LQHtransmission183_to_LQHtransmission211_heat,1,1
LQHtransmission211_to_LQHtransmission278_heat,1,1
LQHtransmission278_to_LQHtransmission1370_heat,1,1
LQHtransmission1370_to_LQHtransmission504_heat,1,1
LQHtransmission504_to_LQHtransmission541_heat,1,1
LQHtransmission541_to_LQHtransmission166_heat,1,1
LQHtransmission166_to_LQHtransmission202_heat,1,1
LQHtransmission202_to_LQHtransmission1226_heat,1,1
LQHtransmission1226_to_LQHtransmission1306_heat,1,1
LQHtransmission1306_to_LQHtransmission301_heat,1,1
LQHtransmission301_to_LQHtransmission933_heat,1,1
LQHtransmission933_to_LQHtransmission1958_heat,1,1
LQHtransmission1958_to_LQHtransmission1397_heat,1,1
LQHtransmission1397_to_LQHtransmission392_heat,1,1
