name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Air-to-air heat pump,2434.8538958827558,,,,
Geothermal heat supply,2752.908386410525,,,,
HQ to LQ heat conversion substation,2301.121338758704,,,,
Heat transmission main_DN230,2690.8584678146917,172.14734518840646,0.025688386327586556,229.68235187416388,230.0
Heat transmission main_DN230,2679.531172501295,163.60029736688804,0.02558024985681427,229.19841271301243,230.0
Heat transmission main_DN230,2668.7662729345534,36.50527946716264,0.025477482319184282,228.7375520641871,230.0
Heat transmission main_DN230,2666.3642255456143,94.31119024231013,0.02545455107919441,228.63459023259122,230.0
Heat transmission main_DN230,2660.1585492276704,50.73942853091202,0.025395308345848883,228.36837402036647,230.0
Heat transmission main_DN235,2752.908386410525,69.33570375591154,0.026280748318954893,232.31544192397433,235.0
Heat transmission main_DN235,2748.346097103386,154.82801488885883,0.026237194244423733,232.12285837217306,235.0
Heat transmission main_DN235,2738.158413723699,237.0817192109121,0.02613993712385393,231.6922376182484,235.0
Heat transmission main_DN235,2722.558436599621,481.7624435399594,0.02599101132792001,231.03129040403542,235.0
LQ heat distribution main_DN130,861.7944057274833,4.84456134156457,0.008227154231288624,129.98224511455086,130.0
LQ heat distribution main_DN130,861.542488537722,4.844562503732834,0.0082247492939162,129.96324571341572,130.0
LQ heat distribution main_DN130,861.2905712875279,4.84456366483771,0.008222344355966853,129.9442435297823,130.0
LQ heat distribution main_DN130,837.7573514866074,4.039376046645271,0.007997683546411526,128.15670194782405,130.0
LQ heat distribution main_DN130,837.5473039321819,4.028162541797997,0.00799567831916164,128.1406348316629,130.0
LQ heat distribution main_DN130,837.3378394800084,3.971535467663244,0.007993678658520366,128.12461031212905,130.0
LQ heat distribution main_DN130,837.1313196356899,3.984129600929041,0.007991707108693936,128.1088090996077,130.0
LQ heat distribution main_DN130,836.9241448964416,3.971535045427716,0.00798972930688727,128.09295582139492,130.0
LQ heat distribution main_DN130,836.7176250740794,4.839077086593991,0.007987757757270448,128.07715070525686,130.0
LQ heat distribution main_DN130,836.4659930655765,4.839076626530331,0.00798535554239214,128.0578904834474,130.0
LQ heat distribution main_DN130,836.2143610809969,4.839076162929801,0.007982953327742215,128.0386273662489,130.0
LQ heat distribution main_DN130,835.9627291205246,4.8390757028655145,0.00798055111332243,128.0193613523685,130.0
LQ heat distribution main_DN130,835.7110971839757,4.656532028455364,0.007978148899131033,128.0000924404841,130.0
LQ heat distribution main_DN130,835.4689575184959,4.653166342542111,0.007975837303279198,127.98154766762865,130.0
LQ heat distribution main_DN130,835.2269928686837,4.653165156702207,0.007973527378221325,127.96301361406486,130.0
LQ heat distribution main_DN130,834.9850282805352,4.653163967856143,0.007971217453752125,127.94447688038002,130.0
LQ heat distribution main_DN130,834.7430637542067,4.653162781484695,0.007968907529873094,127.92593746542106,130.0
LQ heat distribution main_DN130,834.5010992895694,4.653161595644446,0.007966597606583001,127.90739536801225,130.0
LQ heat distribution main_DN130,834.2591348865959,4.6565249035521665,0.007964287683881584,127.88885058698466,130.0
LQ heat distribution main_DN130,834.0169955916112,4.653159213558104,0.007961976091566694,127.87028970934813,130.0
LQ heat distribution main_DN130,833.7750313125063,4.6531580261256,0.007959666170047792,127.85173955567494,130.0
LQ heat distribution main_DN130,833.5330670951478,4.653156838693799,0.007957356249118357,127.8331867148832,130.0
LQ heat distribution main_DN130,833.2911029395357,4.653155652499642,0.007955046328778383,127.8146311858027,130.0
LQ heat distribution main_DN130,833.0491388456057,4.6565189657235,0.007952736409027262,127.79607296725756,130.0
LQ heat distribution main_DN135,882.861001900303,4.935866094318253,0.008428267321243943,131.56136337801487,135.0
LQ heat distribution main_DN135,882.6043368633984,4.9486326825368785,0.008425817058361798,131.5422382514842,135.0
LQ heat distribution main_DN135,882.3470079639065,4.938127024207201,0.008423360457889323,131.5230608660921,135.0
LQ heat distribution main_DN135,882.0902253586478,4.837703974183316,0.008420909072636255,131.50392140540652,135.0
LQ heat distribution main_DN135,881.8386647519902,4.835514533321702,0.008418507539398474,131.4851684682274,135.0
LQ heat distribution main_DN135,881.5872179962576,4.8377048181796924,0.00841610709304303,131.4664213450406,135.0
LQ heat distribution main_DN135,881.3356573457122,4.837705241062861,0.008413705559386274,131.4476630546551,135.0
LQ heat distribution main_DN135,881.084096673177,4.835515789964158,0.00841130402551959,131.42890208533822,135.0
LQ heat distribution main_DN135,880.8326498520988,4.837706085062586,0.008408903578540322,131.41014693025016,135.0
LQ heat distribution main_DN135,880.5810891356756,4.835516627608424,0.00840650204425466,131.39138060084764,135.0
LQ heat distribution main_DN135,880.3296422710399,4.837706931885955,0.00840410159685957,131.3726200858283,135.0
LQ heat distribution main_DN135,880.0780815105818,4.835517465250544,0.008401700062153525,131.35384839173514,135.0
LQ heat distribution main_DN135,879.8266346023888,4.837707775884325,0.008399299614342614,131.3350825121893,135.0
