techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LQHtransmission1734_to_LQHtransmission1872_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1872,LQHtransmission1734,
LQHtransmission1872_to_LQHtransmission453_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission453,LQHtransmission1872,
LQHtransmission453_to_LQHtransmission2273_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2273,LQHtransmission453,
LQHtransmission798_to_LQHtransmission77_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission77,LQHtransmission798,
LQHtransmission477_to_LQHtransmission2796_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2796,LQHtransmission477,
LQHtransmission2796_to_LQHtransmission1737_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1737,LQHtransmission2796,
LQHtransmission1737_to_LQHtransmission231_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission231,LQHtransmission1737,
LQHtransmission231_to_LQHtransmission2519_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2519,LQHtransmission231,
LQHtransmission2519_to_LQHtransmission1314_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1314,LQHtransmission2519,
LQHtransmission1314_to_LQHtransmission612_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission612,LQHtransmission1314,
LQHtransmission612_to_LQHtransmission2759_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2759,LQHtransmission612,
LQHtransmission2759_to_LQHtransmission200_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission200,LQHtransmission2759,
LQHtransmission200_to_LQHtransmission2191_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2191,LQHtransmission200,
LQHtransmission2191_to_LQHtransmission1326_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1326,LQHtransmission2191,
