nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer10,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer11,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer12,supply_LV_electricity,source_use_max,,100000.0
D0503100000000190,demand_LQ_heat,sink_use_equals,,7.319334633007799
D0503100000000191,demand_LQ_heat,sink_use_equals,,5.673985221384239
D0503100000000193,demand_LQ_heat,sink_use_equals,,832.4724713843351
D0503100000001933,demand_LQ_heat,sink_use_equals,,6.394059258924413
D0503100000001936,demand_LQ_heat,sink_use_equals,,7.1812842976876015
D0503100000001937,demand_LQ_heat,sink_use_equals,,5.7454209889001175
D0503100000001938,demand_LQ_heat,sink_use_equals,,6.065772278126738
D0503100000002020,demand_LQ_heat,sink_use_equals,,6.129018990901035
D0503100000002021,demand_LQ_heat,sink_use_equals,,6.346877654252227
D0503100000002023,demand_LQ_heat,sink_use_equals,,6.97864687362146
D0503100000002025,demand_LQ_heat,sink_use_equals,,6.033883290733462
D0503100000002026,demand_LQ_heat,sink_use_equals,,6.149766509822522
D0503100000002031,demand_LQ_heat,sink_use_equals,,6.139149480738273
D0503100000002032,demand_LQ_heat,sink_use_equals,,6.36780817578461
D0503100000002033,demand_LQ_heat,sink_use_equals,,7.71478621342327
D0503100000013778,demand_LQ_heat,sink_use_equals,,6.670489144311473
D0503100000013779,demand_LQ_heat,sink_use_equals,,7.05932807435527
D0503100000013780,demand_LQ_heat,sink_use_equals,,7.607540301325825
D0503100000013831,demand_LQ_heat,sink_use_equals,,6.5423092793531685
D0503100000013832,demand_LQ_heat,sink_use_equals,,6.032845235682047
D0503100000013834,demand_LQ_heat,sink_use_equals,,5.827408430369879
D0503100000013838,demand_LQ_heat,sink_use_equals,,6.096756418620885
D0503100000013839,demand_LQ_heat,sink_use_equals,,6.453618131490956
D0503100000013840,demand_LQ_heat,sink_use_equals,,6.838596457896549
D0503100000013841,demand_LQ_heat,sink_use_equals,,5.50964718195888
D0503100000013842,demand_LQ_heat,sink_use_equals,,6.659673018715525
D0503100000013843,demand_LQ_heat,sink_use_equals,,5.850080665653795
D0503100000013844,demand_LQ_heat,sink_use_equals,,7.774887303750805
D0503100000013845,demand_LQ_heat,sink_use_equals,,6.1704610683866825
D0503100000013846,demand_LQ_heat,sink_use_equals,,6.584185045338728
D0503100000013849,demand_LQ_heat,sink_use_equals,,7.463881982938224
D0503100000013850,demand_LQ_heat,sink_use_equals,,5.607763400833267
D0503100000013851,demand_LQ_heat,sink_use_equals,,6.682120469701664
D0503100000013852,demand_LQ_heat,sink_use_equals,,6.639360930132304
D0503100000013853,demand_LQ_heat,sink_use_equals,,6.543252455241233
D0503100000013854,demand_LQ_heat,sink_use_equals,,6.29037180808199
D0503100000013855,demand_LQ_heat,sink_use_equals,,5.660469904187506
D0503100000013864,demand_LQ_heat,sink_use_equals,,6.089069491453759
D0503100000013866,demand_LQ_heat,sink_use_equals,,5.453255869987446
D0503100000013867,demand_LQ_heat,sink_use_equals,,7.3979940527810575
D0503100000013868,demand_LQ_heat,sink_use_equals,,6.403883888987493
D0503100000013869,demand_LQ_heat,sink_use_equals,,6.399902231284362
D0503100000013870,demand_LQ_heat,sink_use_equals,,6.0657735763445215
D0503100000013871,demand_LQ_heat,sink_use_equals,,5.945351124828319
D0503100000013872,demand_LQ_heat,sink_use_equals,,5.98039224283407
D0503100000013873,demand_LQ_heat,sink_use_equals,,7.476897589760171
D0503100000013875,demand_LQ_heat,sink_use_equals,,8.089688128233936
D0503100000013876,demand_LQ_heat,sink_use_equals,,6.078317558245807
D0503100000013877,demand_LQ_heat,sink_use_equals,,5.346583647895296
D0503100000013878,demand_LQ_heat,sink_use_equals,,6.312116153055677
D0503100000013880,demand_LQ_heat,sink_use_equals,,6.4410699199823975
D0503100000013881,demand_LQ_heat,sink_use_equals,,6.77761412814827
D0503100000014645,demand_LQ_heat,sink_use_equals,,7.411764224018952
D0503100000014648,demand_LQ_heat,sink_use_equals,,5.581681147572623
D0503100000014649,demand_LQ_heat,sink_use_equals,,5.701257678346725
D0503100000014654,demand_LQ_heat,sink_use_equals,,7.053687176923687
D0503100000014719,demand_LQ_heat,sink_use_equals,,6.711296691670108
D0503100000014723,demand_LQ_heat,sink_use_equals,,6.410903080288373
D0503100000014725,demand_LQ_heat,sink_use_equals,,8.481118135245893
D0503100000014726,demand_LQ_heat,sink_use_equals,,6.13297278818467
D0503100000014729,demand_LQ_heat,sink_use_equals,,5.955287247326262
D0503100000014731,demand_LQ_heat,sink_use_equals,,5.983851581495909
D0503100000014733,demand_LQ_heat,sink_use_equals,,6.054217516805487
D0503100000014739,demand_LQ_heat,sink_use_equals,,6.016193564054249
D0503100000014741,demand_LQ_heat,sink_use_equals,,6.892616102425609
D0503100000014744,demand_LQ_heat,sink_use_equals,,5.876179460677637
D0503100000014745,demand_LQ_heat,sink_use_equals,,6.5165366989330336
D0503100000014747,demand_LQ_heat,sink_use_equals,,6.926599242301477
D0503100000014748,demand_LQ_heat,sink_use_equals,,7.875093247260411
D0503100000014835,demand_LQ_heat,sink_use_equals,,6.360954370346926
D0503100000014836,demand_LQ_heat,sink_use_equals,,6.376744127564199
D0503100000014837,demand_LQ_heat,sink_use_equals,,7.057232740630118
D0503100000014838,demand_LQ_heat,sink_use_equals,,8.035144992814336
D0503100000014843,demand_LQ_heat,sink_use_equals,,5.32632076311625
D0503100000014847,demand_LQ_heat,sink_use_equals,,6.552714333245423
D0503100000014848,demand_LQ_heat,sink_use_equals,,5.928523240302294
D0503100000014850,demand_LQ_heat,sink_use_equals,,5.712707453250977
D0503100000014852,demand_LQ_heat,sink_use_equals,,7.672895683091779
D0503100000014854,demand_LQ_heat,sink_use_equals,,8.88890943769379
D0503100000015289,demand_LQ_heat,sink_use_equals,,6.06377397821423
D0503100000015290,demand_LQ_heat,sink_use_equals,,5.865670836146098
D0503100000015291,demand_LQ_heat,sink_use_equals,,6.142434571572398
D0503100000015292,demand_LQ_heat,sink_use_equals,,6.423521801284192
D0503100000015293,demand_LQ_heat,sink_use_equals,,6.9555481447992245
D0503100000015294,demand_LQ_heat,sink_use_equals,,6.55859887989264
