nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer7,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer8,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer9,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer10,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer11,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer12,supply_LV_electricity,source_use_max,,100000.0
D0503100000000190,demand_LQ_heat,sink_use_equals,,6.163792113212901
D0503100000000191,demand_LQ_heat,sink_use_equals,,5.788551646068041
D0503100000000193,demand_LQ_heat,sink_use_equals,,706.1963463242895
D0503100000001933,demand_LQ_heat,sink_use_equals,,5.892346794483019
D0503100000001936,demand_LQ_heat,sink_use_equals,,6.834297614571431
D0503100000001937,demand_LQ_heat,sink_use_equals,,4.695773996983685
D0503100000001938,demand_LQ_heat,sink_use_equals,,5.759519235914733
D0503100000002020,demand_LQ_heat,sink_use_equals,,5.456469278032649
D0503100000002021,demand_LQ_heat,sink_use_equals,,5.468447842395011
D0503100000002023,demand_LQ_heat,sink_use_equals,,6.463665490519842
D0503100000002025,demand_LQ_heat,sink_use_equals,,5.110522180722152
D0503100000002026,demand_LQ_heat,sink_use_equals,,6.053453840366607
D0503100000002031,demand_LQ_heat,sink_use_equals,,5.461205095310397
D0503100000002032,demand_LQ_heat,sink_use_equals,,5.15588993758947
D0503100000002033,demand_LQ_heat,sink_use_equals,,6.934940281530008
D0503100000013778,demand_LQ_heat,sink_use_equals,,5.623710880369087
D0503100000013779,demand_LQ_heat,sink_use_equals,,6.052550070940983
D0503100000013780,demand_LQ_heat,sink_use_equals,,7.046476398641403
D0503100000013831,demand_LQ_heat,sink_use_equals,,5.722810003208048
D0503100000013832,demand_LQ_heat,sink_use_equals,,5.649499222469095
D0503100000013834,demand_LQ_heat,sink_use_equals,,5.5696982439321445
D0503100000013838,demand_LQ_heat,sink_use_equals,,5.441990614254472
D0503100000013839,demand_LQ_heat,sink_use_equals,,5.773652610123306
D0503100000013840,demand_LQ_heat,sink_use_equals,,5.636048002981711
D0503100000013841,demand_LQ_heat,sink_use_equals,,5.4832946862786
D0503100000013842,demand_LQ_heat,sink_use_equals,,6.379230305134918
D0503100000013843,demand_LQ_heat,sink_use_equals,,5.888017034491083
D0503100000013844,demand_LQ_heat,sink_use_equals,,6.665244998241814
D0503100000013845,demand_LQ_heat,sink_use_equals,,5.467108734296986
D0503100000013846,demand_LQ_heat,sink_use_equals,,5.270755489253678
D0503100000013849,demand_LQ_heat,sink_use_equals,,5.809965206037738
D0503100000013850,demand_LQ_heat,sink_use_equals,,6.00281011035253
D0503100000013851,demand_LQ_heat,sink_use_equals,,7.150898070159128
D0503100000013852,demand_LQ_heat,sink_use_equals,,5.101134705927986
D0503100000013853,demand_LQ_heat,sink_use_equals,,5.19461554146695
D0503100000013854,demand_LQ_heat,sink_use_equals,,5.779048700470569
D0503100000013855,demand_LQ_heat,sink_use_equals,,5.8079604269995695
D0503100000013864,demand_LQ_heat,sink_use_equals,,6.248391355474099
D0503100000013866,demand_LQ_heat,sink_use_equals,,5.887862577507128
D0503100000013867,demand_LQ_heat,sink_use_equals,,5.456024663242958
D0503100000013868,demand_LQ_heat,sink_use_equals,,5.600919306311404
D0503100000013869,demand_LQ_heat,sink_use_equals,,6.627220398429086
D0503100000013870,demand_LQ_heat,sink_use_equals,,5.484136432139141
D0503100000013871,demand_LQ_heat,sink_use_equals,,5.14418797739249
D0503100000013872,demand_LQ_heat,sink_use_equals,,5.092645197352037
D0503100000013873,demand_LQ_heat,sink_use_equals,,6.630583304816168
D0503100000013875,demand_LQ_heat,sink_use_equals,,6.911627890727107
D0503100000013876,demand_LQ_heat,sink_use_equals,,5.61543716393215
D0503100000013877,demand_LQ_heat,sink_use_equals,,5.553844395557152
D0503100000013878,demand_LQ_heat,sink_use_equals,,5.229608662954487
D0503100000013880,demand_LQ_heat,sink_use_equals,,4.812847364301976
D0503100000013881,demand_LQ_heat,sink_use_equals,,5.032946696129136
D0503100000014645,demand_LQ_heat,sink_use_equals,,6.924454321316743
D0503100000014648,demand_LQ_heat,sink_use_equals,,5.525519227095239
D0503100000014649,demand_LQ_heat,sink_use_equals,,6.504107031304381
D0503100000014654,demand_LQ_heat,sink_use_equals,,6.317299298860485
D0503100000014719,demand_LQ_heat,sink_use_equals,,5.997232909647006
D0503100000014723,demand_LQ_heat,sink_use_equals,,5.176196453883172
D0503100000014725,demand_LQ_heat,sink_use_equals,,5.967560992333993
D0503100000014726,demand_LQ_heat,sink_use_equals,,5.155507778363576
D0503100000014729,demand_LQ_heat,sink_use_equals,,5.848477107944815
D0503100000014731,demand_LQ_heat,sink_use_equals,,5.474207794614462
D0503100000014733,demand_LQ_heat,sink_use_equals,,5.459223100286398
D0503100000014739,demand_LQ_heat,sink_use_equals,,6.218107854606009
D0503100000014741,demand_LQ_heat,sink_use_equals,,6.056719074031317
D0503100000014744,demand_LQ_heat,sink_use_equals,,5.95564713497386
D0503100000014745,demand_LQ_heat,sink_use_equals,,4.693086264212396
D0503100000014747,demand_LQ_heat,sink_use_equals,,5.355130821673933
D0503100000014748,demand_LQ_heat,sink_use_equals,,7.135183240281687
D0503100000014835,demand_LQ_heat,sink_use_equals,,5.047381602559907
D0503100000014836,demand_LQ_heat,sink_use_equals,,4.779693667808799
D0503100000014837,demand_LQ_heat,sink_use_equals,,7.083545124152205
D0503100000014838,demand_LQ_heat,sink_use_equals,,6.445408241155516
D0503100000014843,demand_LQ_heat,sink_use_equals,,5.6897753212704405
D0503100000014847,demand_LQ_heat,sink_use_equals,,5.369590637136887
D0503100000014848,demand_LQ_heat,sink_use_equals,,6.018932790134698
D0503100000014850,demand_LQ_heat,sink_use_equals,,5.924438628393803
D0503100000014852,demand_LQ_heat,sink_use_equals,,6.229810480243558
D0503100000014854,demand_LQ_heat,sink_use_equals,,6.656672666184987
D0503100000015289,demand_LQ_heat,sink_use_equals,,5.24538875657889
D0503100000015290,demand_LQ_heat,sink_use_equals,,4.775701818897057
D0503100000015291,demand_LQ_heat,sink_use_equals,,5.17443283959054
D0503100000015292,demand_LQ_heat,sink_use_equals,,5.14294897618636
D0503100000015293,demand_LQ_heat,sink_use_equals,,5.483348576918216
D0503100000015294,demand_LQ_heat,sink_use_equals,,5.489358435687928
