techs,carrier_out,carrier_in
LVEtransmission1413_to_LVEtransmission578_electricity,1,1
LVEtransmission578_to_LVEtransmission1342_electricity,1,1
LVEtransmission1342_to_LVEtransmission340_electricity,1,1
LVEtransmission340_to_LVEtransmission1850_electricity,1,1
LVEtransmission1850_to_LVEtransmission1866_electricity,1,1
LVEtransmission1866_to_LVEtransmission1376_electricity,1,1
LVEtransmission1376_to_LVEtransmission1580_electricity,1,1
LVEtransmission1580_to_LVEtransmission1648_electricity,1,1
LVEtransmission1648_to_LVEtransmission1300_electricity,1,1
LVEtransmission1300_to_LVEtransmission1611_electricity,1,1
LVEtransmission1611_to_LVEtransmission1563_electricity,1,1
LVEtransmission1563_to_LVEtransmission292_electricity,1,1
LVEtransmission292_to_LVEtransmission1994_electricity,1,1
LVEtransmission1994_to_LVEtransmission1196_electricity,1,1
LVEtransmission1196_to_LVEtransmission226_electricity,1,1
LVEtransmission226_to_LVEtransmission1889_electricity,1,1
LVEtransmission1889_to_LVEtransmission197_electricity,1,1
LVEtransmission197_to_LVEtransmission938_electricity,1,1
LVEtransmission938_to_LVEtransmission1922_electricity,1,1
LVEtransmission1922_to_LVEtransmission1371_electricity,1,1
LVEtransmission1371_to_LVEtransmission1305_electricity,1,1
LVEtransmission1305_to_LVEtransmission1874_electricity,1,1
LVEtransmission1874_to_LVEtransmission1367_electricity,1,1
LVEtransmission1367_to_LVEtransmission1356_electricity,1,1
LVEtransmission1356_to_LVEtransmission1826_electricity,1,1
LVEtransmission1826_to_LVEtransmission1996_electricity,1,1
LVEtransmission1996_to_LVEtransmission1988_electricity,1,1
LVEtransmission1988_to_LVEtransmission853_electricity,1,1
LVEtransmission853_to_LVEtransmission397_electricity,1,1
LVEtransmission397_to_LVEtransmission633_electricity,1,1
LVEtransmission633_to_LVEtransmission355_electricity,1,1
LVEtransmission355_to_LVEtransmission638_electricity,1,1
LVEtransmission638_to_LVEtransmission653_electricity,1,1
LVEtransmission653_to_LVEtransmission379_electricity,1,1
LVEtransmission379_to_LVEtransmission366_electricity,1,1
LVEtransmission366_to_LVEtransmission652_electricity,1,1
LVEtransmission652_to_LVEtransmission378_electricity,1,1
LVEtransmission378_to_LVEtransmission1758_electricity,1,1
LVEtransmission1758_to_LVEtransmission678_electricity,1,1
LVEtransmission678_to_LVEtransmission1772_electricity,1,1
LVEtransmission1772_to_LVEtransmission1833_electricity,1,1
LVEtransmission1833_to_LVEtransmission1189_electricity,1,1
LVEtransmission1189_to_LVEtransmission273_electricity,1,1
LVEtransmission273_to_LVEtransmission590_electricity,1,1
LVEtransmission590_to_LVEtransmission12_electricity,1,1
LVEtransmission12_to_LVEtransmission1950_electricity,1,1
LVEtransmission1950_to_LVEtransmission712_electricity,1,1
LVEtransmission712_to_LVEtransmission1689_electricity,1,1
LVEtransmission1689_to_LVEtransmission1107_electricity,1,1
LVEtransmission1107_to_LVEtransmission54_electricity,1,1
LVEtransmission54_to_LVEtransmission1986_electricity,1,1
LVEtransmission1986_to_LVEtransmission766_electricity,1,1
LVEtransmission766_to_LVEtransmission1742_electricity,1,1
LVEtransmission1149_to_LVEtransmission1474_electricity,1,1
LVEtransmission1474_to_LVEtransmission56_electricity,1,1
LVEtransmission56_to_LVEtransmission1005_electricity,1,1
LVEtransmission1005_to_LVEtransmission1359_electricity,1,1
LVEtransmission1359_to_LVEtransmission946_electricity,1,1
LVEtransmission946_to_LVEtransmission19_electricity,1,1
LVEtransmission19_to_LVEtransmission921_electricity,1,1
LVEtransmission921_to_LVEtransmission667_electricity,1,1
LVEtransmission667_to_LVEtransmission1789_electricity,1,1
LVEtransmission1789_to_LVEtransmission644_electricity,1,1
LVEtransmission644_to_LVEtransmission1405_electricity,1,1
LVEtransmission1405_to_LVEtransmission240_electricity,1,1
LVEtransmission240_to_LVEtransmission1383_electricity,1,1
LVEtransmission1383_to_LVEtransmission941_electricity,1,1
LVEtransmission941_to_LVEtransmission939_electricity,1,1
LVEtransmission939_to_LVEtransmission1222_electricity,1,1
LVEtransmission1222_to_LVEtransmission1524_electricity,1,1
LVEtransmission1524_to_LVEtransmission1951_electricity,1,1
LVEtransmission1951_to_LVEtransmission411_electricity,1,1
LVEtransmission411_to_LVEtransmission1930_electricity,1,1
LVEtransmission1930_to_LVEtransmission483_electricity,1,1
LVEtransmission483_to_LVEtransmission929_electricity,1,1
LVEtransmission929_to_LVEtransmission654_electricity,1,1
LVEtransmission654_to_LVEtransmission1181_electricity,1,1
LVEtransmission1181_to_LVEtransmission430_electricity,1,1
LVEtransmission430_to_LVEtransmission1197_electricity,1,1
LVEtransmission1197_to_LVEtransmission1735_electricity,1,1
LVEtransmission1735_to_LVEtransmission443_electricity,1,1
LVEtransmission443_to_LVEtransmission479_electricity,1,1
LVEtransmission479_to_LVEtransmission547_electricity,1,1
LVEtransmission547_to_LVEtransmission322_electricity,1,1
LVEtransmission322_to_LVEtransmission1328_electricity,1,1
LVEtransmission1328_to_LVEtransmission1399_electricity,1,1
LVEtransmission1399_to_LVEtransmission1243_electricity,1,1
LVEtransmission1243_to_LVEtransmission1119_electricity,1,1
LVEtransmission1119_to_LVEtransmission1355_electricity,1,1
LVEtransmission1355_to_LVEtransmission1419_electricity,1,1
LVEtransmission1419_to_LVEtransmission1912_electricity,1,1
LVEtransmission1912_to_LVEtransmission1945_electricity,1,1
LVEtransmission1945_to_LVEtransmission376_electricity,1,1
LVEtransmission376_to_LVEtransmission1550_electricity,1,1
LVEtransmission1550_to_LVEtransmission591_electricity,1,1
LVEtransmission591_to_LVEtransmission1088_electricity,1,1
LVEtransmission1088_to_LVEtransmission162_electricity,1,1
LVEtransmission162_to_LVEtransmission202_electricity,1,1
LVEtransmission1635_to_LVEtransmission272_electricity,1,1
LVEtransmission272_to_LVEtransmission731_electricity,1,1
LVEtransmission731_to_LVEtransmission1002_electricity,1,1
LVEtransmission1002_to_LVEtransmission385_electricity,1,1
LVEtransmission385_to_LVEtransmission183_electricity,1,1
LVEtransmission183_to_LVEtransmission211_electricity,1,1
LVEtransmission211_to_LVEtransmission278_electricity,1,1
LVEtransmission278_to_LVEtransmission1370_electricity,1,1
