techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LVEtransmission1413_to_LVEtransmission578_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission578,LVEtransmission1413
LVEtransmission578_to_LVEtransmission1342_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1342,LVEtransmission578
LVEtransmission1342_to_LVEtransmission340_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission340,LVEtransmission1342
LVEtransmission340_to_LVEtransmission1850_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1850,LVEtransmission340
LVEtransmission1850_to_LVEtransmission1866_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1866,LVEtransmission1850
LVEtransmission1866_to_LVEtransmission1376_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1376,LVEtransmission1866
LVEtransmission1376_to_LVEtransmission1580_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1580,LVEtransmission1376
LVEtransmission1580_to_LVEtransmission1648_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1648,LVEtransmission1580
LVEtransmission1648_to_LVEtransmission1300_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1300,LVEtransmission1648
LVEtransmission1300_to_LVEtransmission1611_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1611,LVEtransmission1300
LVEtransmission1611_to_LVEtransmission1563_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1563,LVEtransmission1611
LVEtransmission1563_to_LVEtransmission292_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission292,LVEtransmission1563
LVEtransmission292_to_LVEtransmission1994_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1994,LVEtransmission292
LVEtransmission1994_to_LVEtransmission1196_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1196,LVEtransmission1994
