techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LQHtransmission101_to_LQHtransmission1067_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1067,LQHtransmission101
LQHtransmission1067_to_LQHtransmission1069_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1069,LQHtransmission1067
LQHtransmission1069_to_LQHtransmission235_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission235,LQHtransmission1069
LQHtransmission235_to_LQHtransmission128_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission128,LQHtransmission235
LQHtransmission128_to_LQHtransmission462_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission462,LQHtransmission128
LQHtransmission462_to_LQHtransmission846_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission846,LQHtransmission462
LQHtransmission846_to_LQHtransmission364_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission364,LQHtransmission846
LQHtransmission364_to_LQHtransmission764_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission764,LQHtransmission364
LQHtransmission764_to_LQHtransmission633_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission633,LQHtransmission764
LQHtransmission633_to_LQHtransmission1092_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1092,LQHtransmission633
LQHtransmission1092_to_LQHtransmission940_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission940,LQHtransmission1092
LQHtransmission940_to_LQHtransmission856_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission856,LQHtransmission940
LQHtransmission856_to_LQHtransmission883_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission883,LQHtransmission856
LQHtransmission883_to_LQHtransmission861_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission861,LQHtransmission883
LQHtransmission861_to_LQHtransmission539_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission539,LQHtransmission861
