name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Air-to-air heat pump,71.42289236893936,,,,
Geothermal heat supply,6721.402358566583,,,,
HQ to LQ heat conversion substation,5914.753347001912,,,,
Heat transmission main_DN365,6721.402358566583,69.33570375591154,0.06416613230135162,363.0046144707796,365.0
Heat transmission main_DN365,6716.840069259444,154.82801488885883,0.06412257822682046,362.88139515496755,365.0
Heat transmission main_DN365,6706.652385879757,237.0817192109121,0.06402532110625067,362.60609281050245,365.0
Heat transmission main_DN365,6691.05240875568,481.7624435399594,0.06387639531031675,362.18412819517863,365.0
Heat transmission main_DN365,6659.35243997075,66.72725059817144,0.06357377030998329,361.32515596508784,365.0
LQ heat distribution main_DN110,607.0561104600685,4.884183340928888,0.005795285064057932,109.09293253897893,110.0
LQ heat distribution main_DN110,606.8021329263402,4.896853078765141,0.005792860457530693,109.07010923477162,110.0
LQ heat distribution main_DN110,606.5474965662444,4.086247745945872,0.005790429561491593,109.04722193067421,110.0
LQ heat distribution main_DN110,606.3350116834551,4.084233081333268,0.005788401066190503,109.02811962132881,110.0
LQ heat distribution main_DN110,606.1226315632258,4.086248252602622,0.005786373571009315,109.00902338515952,110.0
LQ heat distribution main_DN110,605.9101466540905,4.0842335812785695,0.005784345075456711,108.98991437850941,110.0
LQ heat distribution main_DN110,605.697766507864,4.086248761379603,0.005782317580027342,108.970811444848,110.0
LQ heat distribution main_DN110,605.4852815722722,4.522251025964577,0.005780289084222169,108.95169573383653,110.0
LQ heat distribution main_DN110,605.2501245189221,4.252664926570507,0.0057780441481520015,108.93053646818385,110.0
LQ heat distribution main_DN110,605.0289859427404,4.262546878688524,0.005775933040026162,108.91063482465422,110.0
LQ heat distribution main_DN110,604.8073335050486,4.795243279154722,0.0057738170263011805,108.89068328545812,110.0
LQ heat distribution main_DN110,604.5579808545326,4.79524151223655,0.005771436571403652,108.86823400436327,110.0
LQ heat distribution main_DN110,604.3086282958964,4.800858399446544,0.005769056117383259,108.84578010141205,110.0
LQ heat distribution main_DN110,604.0589836591251,4.7952379819326705,0.005766672875027448,108.82329525603214,110.0
LQ heat distribution main_DN110,603.8096312840646,4.8008548596113565,0.005764292422759567,108.80083209533223,110.0
LQ heat distribution main_DN110,603.5599868313648,4.795234451981907,0.005761909182161,108.7783379756373,110.0
LQ heat distribution main_DN110,603.3106346398617,4.166253380125157,0.0057595287316454585,108.75586554570623,110.0
LQ heat distribution main_DN110,603.0939894640952,4.164129628291262,0.00575746051994363,108.73633700781417,110.0
LQ heat distribution main_DN110,602.8774547234241,4.166252791635484,0.005755393362514788,108.71681491943176,110.0
LQ heat distribution main_DN110,602.6608095782591,4.761122073538354,0.005753325151105099,108.6972793684696,110.0
LQ heat distribution main_DN110,602.4132312304351,4.752669080813679,0.005750961634658092,108.67495017698462,110.0
LQ heat distribution main_DN110,602.1660924382328,4.763246005088446,0.005748602314446137,108.65265605254399,110.0
LQ heat distribution main_DN110,601.9184036459682,4.7632456179635545,0.005746237743636928,108.63030772249677,110.0
LQ heat distribution main_DN110,601.6707148738341,4.763245234019892,0.005743873173019895,108.607954795636,110.0
LQ heat distribution main_DN110,601.4230261216651,4.763244848308787,0.0057415086025934614,108.58559726910795,110.0
LQ heat distribution main_DN110,601.1753373895531,4.763244463657569,0.005739144032358502,108.56323514007912,110.0
LQ heat distribution main_DN110,600.9276486774429,4.761119403201557,0.0057367794623144905,108.54086840569981,110.0
LQ heat distribution main_DN110,600.6800704684764,4.7632436929424005,0.005734415947193092,108.5185070430325,110.0
LQ heat distribution main_DN110,600.4323817964435,4.763243307586945,0.00573205137753168,108.49613109147137,110.0
LQ heat distribution main_DN110,600.1846931444489,4.76324292258213,0.005729686808061565,108.47375052601268,110.0
LQ heat distribution main_DN110,599.9370045124747,4.763242536163561,0.005727322238782574,108.45136534379836,110.0
