techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LQHtransmission354_to_LQHtransmission784_heat,100
LQHtransmission784_to_LQHtransmission19_heat,100
LQHtransmission19_to_LQHtransmission519_heat,100
LQHtransmission519_to_LQHtransmission554_heat,100
LQHtransmission554_to_LQHtransmission509_heat,100
LQHtransmission509_to_LQHtransmission90_heat,100
LQHtransmission90_to_LQHtransmission335_heat,100
LQHtransmission335_to_LQHtransmission42_heat,100
LQHtransmission42_to_LQHtransmission120_heat,100
LQHtransmission120_to_LQHtransmission591_heat,100
LQHtransmission591_to_LQHtransmission501_heat,100
LQHtransmission501_to_LQHtransmission490_heat,100
LQHtransmission490_to_LQHtransmission729_heat,100
LQHtransmission729_to_LQHtransmission782_heat,100
LQHtransmission782_to_LQHtransmission238_heat,100
LQHtransmission238_to_LQHtransmission64_heat,100
LQHtransmission64_to_LQHtransmission32_heat,100
LQHtransmission32_to_LQHtransmission86_heat,100
LQHtransmission464_to_LQHtransmission492_heat,100
LQHtransmission492_to_LQHtransmission557_heat,100
LQHtransmission557_to_LQHtransmission451_heat,100
LQHtransmission451_to_LQHtransmission845_heat,100
LQHtransmission845_to_LQHtransmission332_heat,100
LQHtransmission332_to_LQHtransmission226_heat,100
LQHtransmission226_to_LQHtransmission225_heat,100
LQHtransmission679_to_LQHtransmission239_heat,100
LQHtransmission239_to_LQHtransmission157_heat,100
LQHtransmission502_to_LQHtransmission561_heat,100
LQHtransmission561_to_LQHtransmission440_heat,100
LQHtransmission440_to_LQHtransmission498_heat,100
LQHtransmission498_to_LQHtransmission747_heat,100
LQHtransmission747_to_LQHtransmission308_heat,100
LQHtransmission308_to_LQHtransmission412_heat,100
LQHtransmission412_to_LQHtransmission213_heat,100
LQHtransmission213_to_LQHtransmission17_heat,100
LQHtransmission17_to_LQHtransmission526_heat,100
LQHtransmission526_to_LQHtransmission390_heat,100
LQHtransmission390_to_LQHtransmission617_heat,100
LQHtransmission617_to_LQHtransmission316_heat,100
LQHtransmission316_to_LQHtransmission514_heat,100
LQHtransmission514_to_LQHtransmission325_heat,100
LQHtransmission325_to_LQHtransmission240_heat,100
LQHtransmission240_to_LQHtransmission725_heat,100
LQHtransmission725_to_LQHtransmission49_heat,100
LQHtransmission614_to_LQHtransmission197_heat,100
LQHtransmission197_to_LQHtransmission709_heat,100
LQHtransmission225_to_LQHtransmission436_heat,100
LQHtransmission436_to_LQHtransmission84_heat,100
LQHtransmission84_to_LQHtransmission836_heat,100
LQHtransmission836_to_LQHtransmission795_heat,100
LQHtransmission795_to_LQHtransmission530_heat,100
LQHtransmission530_to_LQHtransmission807_heat,100
LQHtransmission807_to_LQHtransmission106_heat,100
LQHtransmission106_to_LQHtransmission457_heat,100
LQHtransmission457_to_LQHtransmission371_heat,100
LQHtransmission371_to_LQHtransmission61_heat,100
LQHtransmission61_to_LQHtransmission177_heat,100
LQHtransmission177_to_LQHtransmission466_heat,100
LQHtransmission466_to_LQHtransmission584_heat,100
LQHtransmission584_to_LQHtransmission698_heat,100
LQHtransmission698_to_LQHtransmission409_heat,100
LQHtransmission409_to_LQHtransmission123_heat,100
LQHtransmission123_to_LQHtransmission1_heat,100
LQHtransmission1_to_LQHtransmission448_heat,100
LQHtransmission448_to_LQHtransmission633_heat,100
LQHtransmission806_to_LQHtransmission126_heat,100
LQHtransmission575_to_LQHtransmission799_heat,100
LQHtransmission799_to_LQHtransmission787_heat,100
LQHtransmission787_to_LQHtransmission852_heat,100
LQHtransmission852_to_LQHtransmission593_heat,100
LQHtransmission593_to_LQHtransmission594_heat,100
LQHtransmission594_to_LQHtransmission802_heat,100
LQHtransmission802_to_LQHtransmission243_heat,100
LQHtransmission243_to_LQHtransmission834_heat,100
LQHtransmission180_to_LQHtransmission344_heat,100
LQHtransmission344_to_LQHtransmission622_heat,100
