techs,carrier_out,carrier_in
LVEtransmission770_to_LVEtransmission807_electricity,1,1
LVEtransmission807_to_LVEtransmission774_electricity,1,1
LVEtransmission774_to_LVEtransmission780_electricity,1,1
LVEtransmission780_to_LVEtransmission473_electricity,1,1
LVEtransmission473_to_LVEtransmission481_electricity,1,1
LVEtransmission481_to_LVEtransmission374_electricity,1,1
LVEtransmission374_to_LVEtransmission753_electricity,1,1
LVEtransmission753_to_LVEtransmission712_electricity,1,1
LVEtransmission712_to_LVEtransmission86_electricity,1,1
LVEtransmission86_to_LVEtransmission363_electricity,1,1
LVEtransmission363_to_LVEtransmission88_electricity,1,1
LVEtransmission88_to_LVEtransmission530_electricity,1,1
LVEtransmission530_to_LVEtransmission319_electricity,1,1
LVEtransmission319_to_LVEtransmission346_electricity,1,1
LVEtransmission346_to_LVEtransmission451_electricity,1,1
LVEtransmission451_to_LVEtransmission105_electricity,1,1
LVEtransmission105_to_LVEtransmission267_electricity,1,1
LVEtransmission267_to_LVEtransmission711_electricity,1,1
LVEtransmission711_to_LVEtransmission929_electricity,1,1
LVEtransmission929_to_LVEtransmission512_electricity,1,1
LVEtransmission512_to_LVEtransmission654_electricity,1,1
LVEtransmission654_to_LVEtransmission564_electricity,1,1
LVEtransmission199_to_LVEtransmission274_electricity,1,1
LVEtransmission274_to_LVEtransmission520_electricity,1,1
LVEtransmission520_to_LVEtransmission906_electricity,1,1
LVEtransmission906_to_LVEtransmission344_electricity,1,1
LVEtransmission344_to_LVEtransmission787_electricity,1,1
LVEtransmission787_to_LVEtransmission427_electricity,1,1
LVEtransmission427_to_LVEtransmission585_electricity,1,1
LVEtransmission585_to_LVEtransmission704_electricity,1,1
LVEtransmission704_to_LVEtransmission859_electricity,1,1
LVEtransmission859_to_LVEtransmission40_electricity,1,1
LVEtransmission40_to_LVEtransmission165_electricity,1,1
LVEtransmission165_to_LVEtransmission294_electricity,1,1
LVEtransmission294_to_LVEtransmission846_electricity,1,1
LVEtransmission846_to_LVEtransmission350_electricity,1,1
LVEtransmission350_to_LVEtransmission29_electricity,1,1
LVEtransmission29_to_LVEtransmission78_electricity,1,1
LVEtransmission78_to_LVEtransmission145_electricity,1,1
LVEtransmission145_to_LVEtransmission396_electricity,1,1
LVEtransmission396_to_LVEtransmission339_electricity,1,1
LVEtransmission339_to_LVEtransmission927_electricity,1,1
LVEtransmission927_to_LVEtransmission292_electricity,1,1
LVEtransmission659_to_LVEtransmission596_electricity,1,1
LVEtransmission596_to_LVEtransmission921_electricity,1,1
LVEtransmission921_to_LVEtransmission295_electricity,1,1
LVEtransmission659_to_LVEtransmission79_electricity,1,1
LVEtransmission79_to_LVEtransmission16_electricity,1,1
LVEtransmission16_to_LVEtransmission20_electricity,1,1
LVEtransmission20_to_LVEtransmission415_electricity,1,1
