techs,carrier_out,carrier_in
LQHtransmission354_to_LQHtransmission784_heat,1,1
LQHtransmission784_to_LQHtransmission19_heat,1,1
LQHtransmission19_to_LQHtransmission519_heat,1,1
LQHtransmission519_to_LQHtransmission554_heat,1,1
LQHtransmission554_to_LQHtransmission509_heat,1,1
LQHtransmission509_to_LQHtransmission90_heat,1,1
LQHtransmission90_to_LQHtransmission335_heat,1,1
LQHtransmission335_to_LQHtransmission42_heat,1,1
LQHtransmission42_to_LQHtransmission120_heat,1,1
LQHtransmission120_to_LQHtransmission591_heat,1,1
LQHtransmission591_to_LQHtransmission501_heat,1,1
LQHtransmission501_to_LQHtransmission490_heat,1,1
LQHtransmission490_to_LQHtransmission729_heat,1,1
LQHtransmission729_to_LQHtransmission782_heat,1,1
LQHtransmission782_to_LQHtransmission238_heat,1,1
LQHtransmission238_to_LQHtransmission64_heat,1,1
LQHtransmission64_to_LQHtransmission32_heat,1,1
LQHtransmission32_to_LQHtransmission86_heat,1,1
LQHtransmission464_to_LQHtransmission492_heat,1,1
LQHtransmission492_to_LQHtransmission557_heat,1,1
LQHtransmission557_to_LQHtransmission451_heat,1,1
LQHtransmission451_to_LQHtransmission845_heat,1,1
LQHtransmission845_to_LQHtransmission332_heat,1,1
LQHtransmission332_to_LQHtransmission226_heat,1,1
LQHtransmission226_to_LQHtransmission225_heat,1,1
LQHtransmission679_to_LQHtransmission239_heat,1,1
LQHtransmission239_to_LQHtransmission157_heat,1,1
LQHtransmission502_to_LQHtransmission561_heat,1,1
LQHtransmission561_to_LQHtransmission440_heat,1,1
LQHtransmission440_to_LQHtransmission498_heat,1,1
LQHtransmission498_to_LQHtransmission747_heat,1,1
LQHtransmission747_to_LQHtransmission308_heat,1,1
LQHtransmission308_to_LQHtransmission412_heat,1,1
LQHtransmission412_to_LQHtransmission213_heat,1,1
LQHtransmission213_to_LQHtransmission17_heat,1,1
LQHtransmission17_to_LQHtransmission526_heat,1,1
LQHtransmission526_to_LQHtransmission390_heat,1,1
LQHtransmission390_to_LQHtransmission617_heat,1,1
LQHtransmission617_to_LQHtransmission316_heat,1,1
LQHtransmission316_to_LQHtransmission514_heat,1,1
LQHtransmission514_to_LQHtransmission325_heat,1,1
LQHtransmission325_to_LQHtransmission240_heat,1,1
