techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LQHtransmission778_to_LQHtransmission357_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission357,LQHtransmission778
LQHtransmission357_to_LQHtransmission260_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission260,LQHtransmission357
LQHtransmission260_to_LQHtransmission1010_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1010,LQHtransmission260
LQHtransmission1010_to_LQHtransmission640_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission640,LQHtransmission1010
LQHtransmission640_to_LQHtransmission353_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission353,LQHtransmission640
LQHtransmission353_to_LQHtransmission601_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission601,LQHtransmission353
LQHtransmission601_to_LQHtransmission84_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission84,LQHtransmission601
LQHtransmission84_to_LQHtransmission637_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission637,LQHtransmission84
LQHtransmission443_to_LQHtransmission529_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission529,LQHtransmission443
LQHtransmission529_to_LQHtransmission1047_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1047,LQHtransmission529
LQHtransmission1047_to_LQHtransmission719_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission719,LQHtransmission1047
LQHtransmission719_to_LQHtransmission941_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission941,LQHtransmission719
LQHtransmission941_to_LQHtransmission862_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission862,LQHtransmission941
LQHtransmission862_to_LQHtransmission643_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission643,LQHtransmission862
LQHtransmission643_to_LQHtransmission376_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission376,LQHtransmission643
