techs,cost_flow_cap_per_distance
geothermie_delft_to_warmtenet1,100
warmtenet1_to_warmtenet2,100
warmtenet2_to_warmtenet3,100
warmtenet3_to_warmtenet4,100
warmtenet4_to_warmtenet5,100
warmtenet5_to_warmtenet6,100
warmtenet6_to_warmtenet7,100
warmtenet7_to_warmtenet8,100
warmtenet8_to_warmtenet9,100
warmtenet9_to_warmtenet10,100
warmtenet10_to_warmtenet11,100
warmtenet11_to_warmtenet12,100
warmtenet4_to_warmtenet13,100
warmtenet13_to_warmtenet14,100
warmtenet14_to_warmtenet15,100
LVEtransmission778_to_LVEtransmission357_electricity,100
LVEtransmission357_to_LVEtransmission260_electricity,100
LVEtransmission260_to_LVEtransmission1010_electricity,100
LVEtransmission1010_to_LVEtransmission640_electricity,100
LVEtransmission640_to_LVEtransmission353_electricity,100
LVEtransmission353_to_LVEtransmission601_electricity,100
LVEtransmission601_to_LVEtransmission84_electricity,100
LVEtransmission84_to_LVEtransmission637_electricity,100
LVEtransmission443_to_LVEtransmission529_electricity,100
LVEtransmission529_to_LVEtransmission1047_electricity,100
LVEtransmission1047_to_LVEtransmission719_electricity,100
LVEtransmission719_to_LVEtransmission941_electricity,100
LVEtransmission941_to_LVEtransmission862_electricity,100
LVEtransmission862_to_LVEtransmission643_electricity,100
LVEtransmission643_to_LVEtransmission376_electricity,100
LVEtransmission376_to_LVEtransmission673_electricity,100
LVEtransmission673_to_LVEtransmission385_electricity,100
LVEtransmission385_to_LVEtransmission756_electricity,100
LVEtransmission756_to_LVEtransmission403_electricity,100
LVEtransmission403_to_LVEtransmission206_electricity,100
LVEtransmission206_to_LVEtransmission979_electricity,100
LVEtransmission979_to_LVEtransmission687_electricity,100
LVEtransmission687_to_LVEtransmission311_electricity,100
LVEtransmission311_to_LVEtransmission434_electricity,100
LVEtransmission434_to_LVEtransmission878_electricity,100
LVEtransmission878_to_LVEtransmission736_electricity,100
LVEtransmission736_to_LVEtransmission651_electricity,100
LVEtransmission651_to_LVEtransmission1041_electricity,100
LVEtransmission1041_to_LVEtransmission562_electricity,100
LVEtransmission562_to_LVEtransmission863_electricity,100
LVEtransmission863_to_LVEtransmission381_electricity,100
LVEtransmission381_to_LVEtransmission792_electricity,100
LVEtransmission792_to_LVEtransmission1011_electricity,100
LVEtransmission1011_to_LVEtransmission327_electricity,100
LVEtransmission327_to_LVEtransmission181_electricity,100
LVEtransmission181_to_LVEtransmission555_electricity,100
LVEtransmission555_to_LVEtransmission903_electricity,100
LVEtransmission903_to_LVEtransmission449_electricity,100
LVEtransmission449_to_LVEtransmission1037_electricity,100
LVEtransmission1037_to_LVEtransmission503_electricity,100
LVEtransmission503_to_LVEtransmission152_electricity,100
LVEtransmission152_to_LVEtransmission1018_electricity,100
LVEtransmission1018_to_LVEtransmission53_electricity,100
LVEtransmission53_to_LVEtransmission75_electricity,100
LVEtransmission75_to_LVEtransmission535_electricity,100
LVEtransmission535_to_LVEtransmission602_electricity,100
LVEtransmission602_to_LVEtransmission965_electricity,100
LVEtransmission965_to_LVEtransmission821_electricity,100
LVEtransmission821_to_LVEtransmission1039_electricity,100
LVEtransmission1039_to_LVEtransmission787_electricity,100
LVEtransmission787_to_LVEtransmission495_electricity,100
LVEtransmission495_to_LVEtransmission615_electricity,100
LVEtransmission615_to_LVEtransmission121_electricity,100
LVEtransmission121_to_LVEtransmission846_electricity,100
LVEtransmission846_to_LVEtransmission1022_electricity,100
LVEtransmission1022_to_LVEtransmission362_electricity,100
LVEtransmission362_to_LVEtransmission754_electricity,100
LVEtransmission754_to_LVEtransmission22_electricity,100
LVEtransmission22_to_LVEtransmission443_electricity,100
LVEtransmission664_to_LVEtransmission865_electricity,100
LVEtransmission865_to_LVEtransmission812_electricity,100
LVEtransmission812_to_LVEtransmission195_electricity,100
LVEtransmission195_to_LVEtransmission980_electricity,100
LVEtransmission980_to_LVEtransmission858_electricity,100
LVEtransmission858_to_LVEtransmission653_electricity,100
LVEtransmission653_to_LVEtransmission810_electricity,100
LVEtransmission810_to_LVEtransmission895_electricity,100
LVEtransmission895_to_LVEtransmission894_electricity,100
LVEtransmission894_to_LVEtransmission414_electricity,100
LVEtransmission414_to_LVEtransmission285_electricity,100
LVEtransmission995_to_LVEtransmission492_electricity,100
LVEtransmission492_to_LVEtransmission216_electricity,100
