techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LQHtransmission550_to_LQHtransmission288_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission288,LQHtransmission550,
LQHtransmission288_to_LQHtransmission86_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission86,LQHtransmission288,
LQHtransmission86_to_LQHtransmission324_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission324,LQHtransmission86,
LQHtransmission324_to_LQHtransmission6_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission6,LQHtransmission324,
LQHtransmission6_to_LQHtransmission193_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission193,LQHtransmission6,
LQHtransmission193_to_LQHtransmission346_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission346,LQHtransmission193,
LQHtransmission346_to_LQHtransmission510_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission510,LQHtransmission346,
LQHtransmission510_to_LQHtransmission493_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission493,LQHtransmission510,
LQHtransmission493_to_LQHtransmission674_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission674,LQHtransmission493,
LQHtransmission674_to_LQHtransmission103_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission103,LQHtransmission674,
LQHtransmission103_to_LQHtransmission269_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission269,LQHtransmission103,
LQHtransmission269_to_LQHtransmission142_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission142,LQHtransmission269,
LQHtransmission142_to_LQHtransmission68_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission68,LQHtransmission142,
LQHtransmission68_to_LQHtransmission217_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission217,LQHtransmission68,
LQHtransmission217_to_LQHtransmission718_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission718,LQHtransmission217,
