techs,capacity_kw
D100_to_TE53,0.0
D101_to_TE52,0.0
D102_to_TE52,0.0
D103_to_TE48,0.0
D104_to_TE48,0.0
D105_to_TE73,0.0
D106_to_TE72,0.0
D107_to_TE72,0.0
D108_to_TE71,0.0
D109_to_TE71,0.0
D10_to_TE19,0.0
D110_to_TE71,0.0
D111_to_TE70,0.0
D112_to_TE70,0.0
D113_to_TE68,0.0
D114_to_TE68,0.0
D115_to_TE67,0.0
D116_to_TE66,0.0
D117_to_TE66,0.0
D118_to_TE66,0.0
D119_to_TE65,0.0
D11_to_TE19,0.0
D120_to_TE65,0.0
D121_to_TE46,0.0
D122_to_TE46,0.0
D123_to_TE47,0.0
D124_to_TE47,0.0
D125_to_TE47,0.0
D126_to_TE48,0.0
D127_to_TE48,0.0
D128_to_TE49,0.0
D129_to_TE49,0.0
D12_to_TE22,0.0
D130_to_TE58,0.0
D131_to_TE58,0.0
D132_to_TE59,0.0
D133_to_TE60,0.0
D134_to_TE60,0.0
D135_to_TE61,0.0
D136_to_TE61,0.0
D137_to_TE62,0.0
D138_to_TE63,0.0
D139_to_TE63,0.0
D13_to_TE23,0.0
D140_to_TE64,0.0
D141_to_TE64,0.0
D142_to_TE64,0.0
D143_to_TE64,0.0
D144_to_TE64,0.0
D14_to_TE23,0.0
D15_to_TE23,0.0
D16_to_TE23,0.0
D17_to_TE24,0.0
D18_to_TE24,0.0
D19_to_TE24,0.0
D1_to_TE30,0.0
D20_to_TE24,0.0
D21_to_TE17,0.0
D22_to_TE17,0.0
D23_to_TE17,0.0
D24_to_TE16,0.0
D25_to_TE16,0.0
D26_to_TE16,0.0
D27_to_TE15,0.0
D28_to_TE15,0.0
D29_to_TE11,0.0
D2_to_TE29,0.0
D30_to_TE11,0.0
D31_to_TE12,0.0
D32_to_TE12,0.0
D33_to_TE12,0.0
D34_to_TE12,0.0
D35_to_TE25,0.0
D36_to_TE25,0.0
D37_to_TE26,0.0
D38_to_TE26,0.0
D39_to_TE27,0.0
D3_to_TE28,0.0
D40_to_TE32,0.0
D41_to_TE32,0.0
D42_to_TE33,0.0
D43_to_TE17,0.0
D44_to_TE17,0.0
D45_to_TE16,0.0
D46_to_TE16,0.0
D47_to_TE15,0.0
D48_to_TE36,0.0
D49_to_TE14,0.0
D4_to_TE28,0.0
D50_to_TE14,0.0
D51_to_TE14,0.0
D52_to_TE36,0.0
D53_to_TE37,0.0
D54_to_TE37,0.0
D55_to_TE33,0.0
D56_to_TE34,0.0
D57_to_TE34,0.0
D58_to_TE34,0.0
D59_to_TE35,0.0
D5_to_TE18,0.0
D60_to_TE35,0.0
D61_to_TE41,0.0
D62_to_TE41,0.0
D63_to_TE37,0.0
D64_to_TE38,0.0
D65_to_TE38,0.0
D66_to_TE39,0.0
D67_to_TE39,0.0
D68_to_TE39,0.0
D69_to_TE41,0.0
D6_to_TE20,0.0
D70_to_TE41,0.0
D71_to_TE31,0.0
D72_to_TE31,0.0
D73_to_TE14,0.0
D74_to_TE43,0.0
D75_to_TE43,0.0
D76_to_TE43,0.0
D77_to_TE43,0.0
D78_to_TE43,0.0
D79_to_TE37,0.0
D7_to_TE20,0.0
D80_to_TE37,0.0
D81_to_TE37,0.0
D82_to_TE37,0.0
D83_to_TE37,0.0
D84_to_TE55,0.0
D85_to_TE40,0.0
D86_to_TE40,0.0
D87_to_TE40,0.0
D88_to_TE40,0.0
D89_to_TE54,0.0
D8_to_TE20,0.0
D90_to_TE54,0.0
D91_to_TE73,0.0
D92_to_TE73,0.0
D93_to_TE44,0.0
D94_to_TE44,0.0
D95_to_TE44,0.0
D96_to_TE45,0.0
D97_to_TE46,0.0
D98_to_TE46,0.0
D99_to_TE53,0.0
D9_to_TE19,0.0
SE1_to_TE1,500.52718784586204
SE2_to_TE10,0.0
SE3_to_TE21,0.0
SE4_to_TE68,0.0
SE5_to_TE30,0.0
SH1_to_TE1,500.0
TE10_to_TE11,0.0
TE11_to_TE12,0.0
TE12_to_TE13,0.0
TE13_to_TE14,0.0
TE13_to_TE43,0.0
TE14_to_TE15,0.0
TE15_to_TE16,0.0
TE16_to_TE17,0.0
TE17_to_TE18,0.0
TE18_to_TE19,0.0
TE18_to_TE25,0.0
TE19_to_TE20,0.0
TE1_to_TE2,0.0
TE20_to_TE21,0.0
TE21_to_TE22,0.0
TE22_to_TE23,0.0
TE23_to_TE24,0.0
TE24_to_TE11,0.0
TE25_to_TE26,0.0
TE26_to_TE27,0.0
TE27_to_TE28,0.0
TE27_to_TE29,0.0
TE27_to_TE32,0.0
TE29_to_TE30,0.0
TE2_to_TE3,0.0
TE30_to_TE31,0.0
TE32_to_TE33,0.0
TE33_to_TE34,0.0
TE33_to_TE36,0.0
TE35_to_TE29,0.0
TE35_to_TE35,0.0
TE36_to_TE37,0.0
TE37_to_TE38,0.0
TE38_to_TE39,0.0
TE39_to_TE40,0.0
TE3_to_TE4,0.0
TE40_to_TE41,0.0
TE41_to_TE42,0.0
TE42_to_TE29,0.0
TE42_to_TE33,0.0
TE43_to_TE44,0.0
TE44_to_TE45,0.0
TE45_to_TE46,0.0
TE46_to_TE47,0.0
TE47_to_TE48,0.0
TE48_to_TE49,0.0
TE49_to_TE50,0.0
TE49_to_TE58,0.0
TE4_to_TE5,0.0
TE50_to_TE51,0.0
TE51_to_TE52,0.0
TE52_to_TE53,0.0
TE53_to_TE54,0.0
TE54_to_TE55,0.0
TE55_to_TE56,0.0
TE56_to_TE57,0.0
TE57_to_TE39,0.0
TE58_to_TE59,0.0
TE59_to_TE60,0.0
TE5_to_TE6,0.0
TE60_to_TE61,0.0
TE61_to_TE62,0.0
TE62_to_TE63,0.0
TE63_to_TE64,0.0
TE64_to_TE65,0.0
TE65_to_TE66,0.0
TE66_to_TE67,0.0
TE67_to_TE68,0.0
TE68_to_TE69,0.0
TE69_to_TE70,0.0
TE6_to_TE7,0.0
TE70_to_TE71,0.0
TE71_to_TE72,0.0
TE72_to_TE73,0.0
TE73_to_TE52,0.0
TE7_to_TE8,0.0
TE8_to_TE9,0.0
TE9_to_TE10,0.0
supply_electricity,500.6453055572133
