results_summary_supply_geothermal_capacity_adjusted_kW,run_id,result_type,combined_energy_supply_kW,technology_parameters_heat_pump_cop,results_summary_heat_pump_capacity_kW,topology_source,scenario,results_summary_total_heat_demand_kW,geothermal_heat_div_cop,year,neighborhood,lv_electricity_supply
6234.853077387273,20260121_122454,median,188.93494173900825,4.0,0.0,stedin,district_heating,5163.878999545072,188.93494173900825,2013,multatulibuurt,0.0
6308.920093362571,20260121_122454,median,191.17939676856275,4.0,0.0,osm,district_heating,5163.878999545072,191.17939676856275,2013,multatulibuurt,0.0
,20260121_122454,median,1372.2519831780564,4.0,5163.878999545072,stedin,full_electrification,5163.878999545072,0.0,2013,multatulibuurt,1372.2519831780564
,20260121_122454,median,1339.955639807806,4.0,5163.878999545072,osm,full_electrification,5163.878999545072,0.0,2013,multatulibuurt,1339.955639807806
2947.8885690886,20260121_122454,median,771.5099307863056,4.0,2697.736170339424,stedin,hybrid,5163.878999545072,89.32995663904849,2013,multatulibuurt,682.1799741472571
2936.26559801824,20260121_122454,median,773.7370569067053,4.0,2697.736170339424,osm,hybrid,5163.878999545072,88.97774539449212,2013,multatulibuurt,684.7593115122132
5760.339704227906,20260121_122454,median,174.55574861296685,4.0,0.0,stedin,district_heating,4735.97523464146,174.55574861296685,2019,multatulibuurt,0.0
5835.426536243851,20260121_122454,median,176.8311071589046,4.0,0.0,osm,district_heating,4735.975234641459,176.8311071589046,2019,multatulibuurt,0.0
,20260121_122454,median,1252.570615249678,4.0,4735.97523464146,stedin,full_electrification,4735.97523464146,0.0,2019,multatulibuurt,1252.570615249678
,20260121_122454,median,1226.177303971802,4.0,4735.975234641459,osm,full_electrification,4735.975234641459,0.0,2019,multatulibuurt,1226.177303971802
2764.531357480884,20260121_122454,median,698.8040057440447,4.0,2434.853895882756,stedin,hybrid,4735.97523464146,83.77367749942073,2019,multatulibuurt,615.030328244624
2752.908386410525,20260121_122454,median,700.5444059174437,4.0,2434.853895882756,osm,hybrid,4735.97523464146,83.4214662548644,2019,multatulibuurt,617.1229396625793
