run_id,neighborhood,year,scenario,topology_source,technology_parameters_heat_pump_cop,scenario_info_spacing_m,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_heat_pump_capacity_kW,results_summary_total_heat_demand_kW,lv_electricity_supply,geothermal_heat_div_cop,combined_energy_supply_kW,result_type
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5760.339704227906,0.0,4735.97523464146,0.0,174.55574861296685,174.55574861296685,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1252.570615249678,0.0,1252.570615249678,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,2.5,5760.396150695325,0.0,4735.97523464146,0.0,174.55745911197954,174.55745911197954,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,10.0,5760.635667787352,0.0,4735.97523464146,0.0,174.56471720567734,174.56471720567734,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,6389.700950077652,0.0,4735.97523464146,0.0,193.6273015175046,193.6273015175046,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5245.407775805386,0.0,4735.97523464146,0.0,158.95175078198142,158.95175078198142,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5760.339704227906,0.0,4735.97523464146,0.0,174.55574861296685,174.55574861296685,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5760.339704227906,0.0,4735.97523464146,0.0,174.55574861296685,174.55574861296685,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5732.135541013976,0.0,4735.97523464146,0.0,173.7010770004235,173.7010770004235,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5788.5438674418365,0.0,4735.97523464146,0.0,175.4104202255102,175.4104202255102,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5748.338216692783,0.0,4735.97523464146,0.0,174.1920671725086,174.1920671725086,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5772.341191763029,0.0,4735.97523464146,0.0,174.91943005342512,174.91943005342512,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5750.701648841443,0.0,4735.97523464146,0.0,174.26368632852856,174.26368632852856,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5769.9777596143695,0.0,4735.97523464146,0.0,174.84781089740514,174.84781089740514,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5732.135541013976,0.0,4735.97523464146,0.0,173.7010770004235,173.7010770004235,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5788.5438674418365,0.0,4735.97523464146,0.0,175.4104202255102,175.4104202255102,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5748.338216692783,0.0,4735.97523464146,0.0,174.1920671725086,174.1920671725086,sensitivity
20260121_202912,multatulibuurt,2019,district_heating,stedin,4.0,5.0,5772.341191763029,0.0,4735.97523464146,0.0,174.91943005342512,174.91943005342512,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,2.5,,4735.97523464146,4735.97523464146,1252.8687832784651,0.0,1252.8687832784651,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,10.0,,4735.975234641459,4735.975234641459,1252.7975656806454,0.0,1252.7975656806454,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,3.0,5.0,,4735.97523464146,4735.97523464146,1706.2537534746898,0.0,1706.2537534746898,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,5.5,5.0,,4735.97523464146,4735.97523464146,896.101376818733,0.0,896.101376818733,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1245.093543628227,0.0,1245.093543628227,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1260.25073513906,0.0,1260.25073513906,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1252.3813838398405,0.0,1252.3813838398405,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1252.759854546413,0.0,1252.759854546413,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1245.003938726962,0.0,1245.003938726962,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1260.345303594746,0.0,1260.345303594746,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1252.3790855311106,0.0,1252.3790855311106,sensitivity
20260121_202912,multatulibuurt,2019,full_electrification,stedin,4.0,5.0,,4735.97523464146,4735.97523464146,1252.7621530478907,0.0,1252.7621530478907,sensitivity
