techs,capacity_kw
D100_to_TH53,10.0
D101_to_TH52,10.0
D102_to_TH52,10.0
D103_to_TH48,10.0
D104_to_TH48,10.0
D105_to_TH73,10.0
D106_to_TH72,10.0
D107_to_TH72,10.0
D108_to_TH71,10.0
D109_to_TH71,10.0
D10_to_TH19,10.0
D110_to_TH71,10.0
D111_to_TH70,10.0
D112_to_TH70,10.0
D113_to_TH68,10.0
D114_to_TH68,10.0
D115_to_TH67,10.0
D116_to_TH66,10.0
D117_to_TH66,10.0
D118_to_TH66,10.0
D119_to_TH65,10.0
D11_to_TH19,10.0
D120_to_TH65,10.0
D121_to_TH46,10.0
D122_to_TH46,10.0
D123_to_TH47,10.0
D124_to_TH47,10.0
D125_to_TH47,10.0
D126_to_TH48,10.0
D127_to_TH48,10.0
D128_to_TH49,10.0
D129_to_TH49,10.0
D12_to_TH22,10.0
D130_to_TH58,10.0
D131_to_TH58,10.0
D132_to_TH59,10.0
D133_to_TH60,10.0
D134_to_TH60,10.0
D135_to_TH61,10.0
D136_to_TH61,10.0
D137_to_TH62,10.0
D138_to_TH63,10.0
D139_to_TH63,10.0
D13_to_TH23,10.0
D140_to_TH64,10.0
D141_to_TH64,10.0
D142_to_TH64,10.0
D143_to_TH64,10.0
D144_to_TH64,10.0
D14_to_TH23,10.0
D15_to_TH23,10.0
D16_to_TH23,10.0
D17_to_TH24,10.0
D18_to_TH24,10.0
D19_to_TH24,10.0
D1_to_TH30,10.0
D20_to_TH24,10.0
D21_to_TH17,10.0
D22_to_TH17,10.0
D23_to_TH17,10.0
D24_to_TH16,10.0
D25_to_TH16,10.0
D26_to_TH16,10.0
D27_to_TH15,10.0
D28_to_TH15,10.0
D29_to_TH11,10.0
D2_to_TH29,10.0
D30_to_TH11,10.0
D31_to_TH12,10.0
D32_to_TH12,10.0
D33_to_TH12,10.0
D34_to_TH12,10.0
D35_to_TH25,10.0
D36_to_TH25,10.0
D37_to_TH26,10.0
D38_to_TH26,10.0
D39_to_TH27,10.0
D3_to_TH28,10.0
D40_to_TH32,10.0
D41_to_TH32,10.0
D42_to_TH33,10.0
D43_to_TH17,10.0
D44_to_TH17,10.0
D45_to_TH16,10.0
D46_to_TH16,10.0
D47_to_TH15,10.0
D48_to_TH36,10.0
D49_to_TH14,10.0
D4_to_TH28,10.0
D50_to_TH14,10.0
D51_to_TH14,10.0
D52_to_TH36,10.0
D53_to_TH37,10.0
D54_to_TH37,10.0
D55_to_TH33,10.0
D56_to_TH34,10.0
D57_to_TH34,10.0
D58_to_TH34,10.0
D59_to_TH35,10.0
D5_to_TH18,10.0
D60_to_TH35,10.0
D61_to_TH41,10.0
D62_to_TH41,10.0
D63_to_TH37,10.0
D64_to_TH38,10.0
D65_to_TH38,10.0
D66_to_TH39,10.0
D67_to_TH39,10.0
D68_to_TH39,10.0
D69_to_TH41,10.0
D6_to_TH20,10.0
D70_to_TH41,10.0
D71_to_TH31,10.0
D72_to_TH31,10.0
D73_to_TH14,10.0
D74_to_TH43,10.0
D75_to_TH43,10.0
D76_to_TH43,10.0
D77_to_TH43,10.0
D78_to_TH43,10.0
D79_to_TH37,10.0
D7_to_TH20,10.0
D80_to_TH37,10.0
D81_to_TH37,10.0
D82_to_TH37,10.0
D83_to_TH37,10.0
D84_to_TH55,10.0
D85_to_TH40,10.0
D86_to_TH40,10.0
D87_to_TH40,10.0
D88_to_TH40,10.0
D89_to_TH54,10.0
D8_to_TH20,10.0
D90_to_TH54,10.0
D91_to_TH73,10.0
D92_to_TH73,10.0
D93_to_TH44,10.0
D94_to_TH44,10.0
D95_to_TH44,10.0
D96_to_TH45,10.0
D97_to_TH46,10.0
D98_to_TH46,10.0
D99_to_TH53,10.0
D9_to_TH19,10.0
SH1_to_TH1,1495.4825246297644
TH10_to_TH11,1446.2926515208571
TH11_to_TH12,1275.2044147224406
TH12_to_TH13,1234.6028195719318
TH13_to_TH14,441.2763989722957
TH13_to_TH43,792.6608736834579
TH14_to_TH15,401.09461442157215
TH15_to_TH16,370.95774291334556
TH16_to_TH17,320.8163528281339
TH17_to_TH18,270.6517171217947
TH18_to_TH19,0.0
TH18_to_TH25,260.5307082577739
TH19_to_TH20,30.005598309496428
TH1_to_TH2,1489.948047758307
TH20_to_TH21,60.02176403669766
TH21_to_TH22,60.048069126281845
TH22_to_TH23,70.07526219645274
TH23_to_TH24,110.12341678775302
TH24_to_TH11,150.1936428749764
TH25_to_TH26,240.44982891193447
TH26_to_TH27,220.34590365248386
TH27_to_TH28,20.009630286406775
TH27_to_TH29,100.13551243616544
TH27_to_TH32,90.06014652145528
TH29_to_TH30,30.027850985072746
TH2_to_TH3,1482.5213743232594
TH30_to_TH31,20.009637943655903
TH32_to_TH33,70.03983674461655
TH33_to_TH34,30.006595212542216
TH33_to_TH36,20.00933822690721
TH35_to_TH29,20.00558561892409
TH35_to_TH35,0.0
TH36_to_TH37,0.0
TH37_to_TH38,80.03484960426594
TH38_to_TH39,100.05533807265262
TH39_to_TH40,40.016714654550135
TH3_to_TH4,1471.9653618932082
TH40_to_TH41,0.0
TH41_to_TH42,40.01012884194624
TH42_to_TH29,40.035306313521595
TH42_to_TH33,0.0
TH43_to_TH44,742.3680558907724
TH44_to_TH45,711.9511780515112
TH45_to_TH46,701.72427057714
TH46_to_TH47,661.5922461261824
TH47_to_TH48,631.3696860043751
TH48_to_TH49,591.1667677316448
TH49_to_TH50,370.71170236046925
TH49_to_TH58,200.29042780398714
TH4_to_TH5,1467.9662472651987
TH50_to_TH51,370.6348438693962
TH51_to_TH52,370.5486359465085
TH52_to_TH53,220.36327374280847
TH53_to_TH54,200.30010247463423
TH54_to_TH55,180.24926717180136
TH55_to_TH56,170.21780736199932
TH56_to_TH57,170.18272495678622
TH57_to_TH39,170.14006704860594
TH58_to_TH59,180.2476479236099
TH59_to_TH60,170.21497334072154
TH5_to_TH6,1463.0845806574998
TH60_to_TH61,150.17088650558875
TH61_to_TH62,130.1160567868255
TH62_to_TH63,120.0776350376776
TH63_to_TH64,100.05292865894924
TH64_to_TH65,50.0178965171697
TH65_to_TH66,30.00693472115593
TH66_to_TH67,0.0
TH67_to_TH68,10.002304038368218
TH68_to_TH69,30.00829448490816
TH69_to_TH70,30.022267868662837
TH6_to_TH7,1458.2586009315914
TH70_to_TH71,50.03612053220413
TH71_to_TH72,80.05280972676033
TH72_to_TH73,100.07332880215688
TH73_to_TH52,130.10511953158982
TH7_to_TH8,1457.4081126411213
TH8_to_TH9,1454.6710051183443
TH9_to_TH10,1449.2837715538944
supply_geothermal,1498.6538218222577
