techs,name,total_flow_out_kw
D100_to_TE53,Electricity distribution,0.0
D100_to_TH53,Heat distribution,10.0
D101_to_TE52,Electricity distribution,0.0
D101_to_TH52,Heat distribution,10.0
D102_to_TE52,Electricity distribution,0.0
D102_to_TH52,Heat distribution,10.0
D103_to_TE48,Electricity distribution,0.0
D103_to_TH48,Heat distribution,10.0
D104_to_TE48,Electricity distribution,0.0
D104_to_TH48,Heat distribution,10.0
D105_to_TE73,Electricity distribution,0.0
D105_to_TH73,Heat distribution,10.0
D106_to_TE72,Electricity distribution,0.0
D106_to_TH72,Heat distribution,10.0
D107_to_TE72,Electricity distribution,0.0
D107_to_TH72,Heat distribution,10.0
D108_to_TE71,Electricity distribution,0.0
D108_to_TH71,Heat distribution,10.0
D109_to_TE71,Electricity distribution,0.0
D109_to_TH71,Heat distribution,10.0
D10_to_TE19,Electricity distribution,0.0
D10_to_TH19,Heat distribution,10.0
D110_to_TE71,Electricity distribution,0.0
D110_to_TH71,Heat distribution,10.0
D111_to_TE70,Electricity distribution,0.0
D111_to_TH70,Heat distribution,10.0
D112_to_TE70,Electricity distribution,0.0
D112_to_TH70,Heat distribution,10.0
D113_to_TE68,Electricity distribution,0.0
D113_to_TH68,Heat distribution,10.0
D114_to_TE68,Electricity distribution,0.0
D114_to_TH68,Heat distribution,10.0
D115_to_TE67,Electricity distribution,0.0
D115_to_TH67,Heat distribution,10.0
D116_to_TE66,Electricity distribution,0.0
D116_to_TH66,Heat distribution,10.0
D117_to_TE66,Electricity distribution,0.0
D117_to_TH66,Heat distribution,10.0
D118_to_TE66,Electricity distribution,0.0
D118_to_TH66,Heat distribution,10.0
D119_to_TE65,Electricity distribution,0.0
D119_to_TH65,Heat distribution,10.0
D11_to_TE19,Electricity distribution,0.0
D11_to_TH19,Heat distribution,10.0
D120_to_TE65,Electricity distribution,0.0
D120_to_TH65,Heat distribution,10.0
D121_to_TE46,Electricity distribution,0.0
D121_to_TH46,Heat distribution,10.0
D122_to_TE46,Electricity distribution,0.0
D122_to_TH46,Heat distribution,10.0
D123_to_TE47,Electricity distribution,0.0
D123_to_TH47,Heat distribution,10.0
D124_to_TE47,Electricity distribution,0.0
D124_to_TH47,Heat distribution,10.0
D125_to_TE47,Electricity distribution,0.0
D125_to_TH47,Heat distribution,10.0
D126_to_TE48,Electricity distribution,0.0
D126_to_TH48,Heat distribution,10.0
D127_to_TE48,Electricity distribution,0.0
D127_to_TH48,Heat distribution,10.0
D128_to_TE49,Electricity distribution,0.0
D128_to_TH49,Heat distribution,10.0
D129_to_TE49,Electricity distribution,0.0
D129_to_TH49,Heat distribution,10.0
D12_to_TE22,Electricity distribution,0.0
D12_to_TH22,Heat distribution,10.0
D130_to_TE58,Electricity distribution,0.0
D130_to_TH58,Heat distribution,10.0
D131_to_TE58,Electricity distribution,0.0
D131_to_TH58,Heat distribution,10.0
D132_to_TE59,Electricity distribution,0.0
D132_to_TH59,Heat distribution,10.0
D133_to_TE60,Electricity distribution,0.0
D133_to_TH60,Heat distribution,10.0
D134_to_TE60,Electricity distribution,0.0
D134_to_TH60,Heat distribution,10.0
D135_to_TE61,Electricity distribution,0.0
D135_to_TH61,Heat distribution,10.0
D136_to_TE61,Electricity distribution,0.0
D136_to_TH61,Heat distribution,10.0
D137_to_TE62,Electricity distribution,0.0
D137_to_TH62,Heat distribution,10.0
D138_to_TE63,Electricity distribution,0.0
D138_to_TH63,Heat distribution,10.0
D139_to_TE63,Electricity distribution,0.0
D139_to_TH63,Heat distribution,10.0
D13_to_TE23,Electricity distribution,0.0
D13_to_TH23,Heat distribution,10.0
D140_to_TE64,Electricity distribution,0.0
D140_to_TH64,Heat distribution,10.0
D141_to_TE64,Electricity distribution,0.0
D141_to_TH64,Heat distribution,10.0
D142_to_TE64,Electricity distribution,0.0
D142_to_TH64,Heat distribution,10.0
D143_to_TE64,Electricity distribution,0.0
D143_to_TH64,Heat distribution,10.0
D144_to_TE64,Electricity distribution,0.0
D144_to_TH64,Heat distribution,10.0
D14_to_TE23,Electricity distribution,0.0
D14_to_TH23,Heat distribution,10.0
D15_to_TE23,Electricity distribution,0.0
D15_to_TH23,Heat distribution,10.0
D16_to_TE23,Electricity distribution,0.0
D16_to_TH23,Heat distribution,10.0
D17_to_TE24,Electricity distribution,0.0
D17_to_TH24,Heat distribution,10.0
D18_to_TE24,Electricity distribution,0.0
D18_to_TH24,Heat distribution,10.0
D19_to_TE24,Electricity distribution,0.0
D19_to_TH24,Heat distribution,10.0
D1_to_TE30,Electricity distribution,0.0
D1_to_TH30,Heat distribution,10.0
D20_to_TE24,Electricity distribution,0.0
D20_to_TH24,Heat distribution,10.0
D21_to_TE17,Electricity distribution,0.0
D21_to_TH17,Heat distribution,10.0
D22_to_TE17,Electricity distribution,0.0
D22_to_TH17,Heat distribution,10.0
D23_to_TE17,Electricity distribution,0.0
D23_to_TH17,Heat distribution,10.0
D24_to_TE16,Electricity distribution,0.0
D24_to_TH16,Heat distribution,10.0
D25_to_TE16,Electricity distribution,0.0
D25_to_TH16,Heat distribution,10.0
D26_to_TE16,Electricity distribution,0.0
D26_to_TH16,Heat distribution,10.0
D27_to_TE15,Electricity distribution,0.0
D27_to_TH15,Heat distribution,10.0
D28_to_TE15,Electricity distribution,0.0
D28_to_TH15,Heat distribution,10.0
D29_to_TE11,Electricity distribution,0.0
D29_to_TH11,Heat distribution,10.0
D2_to_TE29,Electricity distribution,0.0
D2_to_TH29,Heat distribution,10.0
D30_to_TE11,Electricity distribution,0.0
D30_to_TH11,Heat distribution,10.0
D31_to_TE12,Electricity distribution,0.0
D31_to_TH12,Heat distribution,10.0
D32_to_TE12,Electricity distribution,0.0
D32_to_TH12,Heat distribution,10.0
D33_to_TE12,Electricity distribution,0.0
D33_to_TH12,Heat distribution,10.0
D34_to_TE12,Electricity distribution,0.0
D34_to_TH12,Heat distribution,10.0
D35_to_TE25,Electricity distribution,0.0
D35_to_TH25,Heat distribution,10.0
D36_to_TE25,Electricity distribution,0.0
D36_to_TH25,Heat distribution,10.0
D37_to_TE26,Electricity distribution,0.0
D37_to_TH26,Heat distribution,10.0
D38_to_TE26,Electricity distribution,0.0
D38_to_TH26,Heat distribution,10.0
D39_to_TE27,Electricity distribution,0.0
D39_to_TH27,Heat distribution,10.0
D3_to_TE28,Electricity distribution,0.0
D3_to_TH28,Heat distribution,10.0
D40_to_TE32,Electricity distribution,0.0
D40_to_TH32,Heat distribution,10.0
D41_to_TE32,Electricity distribution,0.0
D41_to_TH32,Heat distribution,10.0
D42_to_TE33,Electricity distribution,0.0
D42_to_TH33,Heat distribution,10.0
D43_to_TE17,Electricity distribution,0.0
D43_to_TH17,Heat distribution,10.0
D44_to_TE17,Electricity distribution,0.0
D44_to_TH17,Heat distribution,10.0
D45_to_TE16,Electricity distribution,0.0
D45_to_TH16,Heat distribution,10.0
D46_to_TE16,Electricity distribution,0.0
D46_to_TH16,Heat distribution,10.0
D47_to_TE15,Electricity distribution,0.0
D47_to_TH15,Heat distribution,10.0
D48_to_TE36,Electricity distribution,0.0
D48_to_TH36,Heat distribution,10.0
D49_to_TE14,Electricity distribution,0.0
D49_to_TH14,Heat distribution,10.0
D4_to_TE28,Electricity distribution,0.0
D4_to_TH28,Heat distribution,10.0
D50_to_TE14,Electricity distribution,0.0
D50_to_TH14,Heat distribution,10.0
D51_to_TE14,Electricity distribution,0.0
D51_to_TH14,Heat distribution,10.0
D52_to_TE36,Electricity distribution,0.0
D52_to_TH36,Heat distribution,10.0
D53_to_TE37,Electricity distribution,0.0
D53_to_TH37,Heat distribution,10.0
D54_to_TE37,Electricity distribution,0.0
D54_to_TH37,Heat distribution,10.0
D55_to_TE33,Electricity distribution,0.0
D55_to_TH33,Heat distribution,10.0
D56_to_TE34,Electricity distribution,0.0
D56_to_TH34,Heat distribution,10.0
D57_to_TE34,Electricity distribution,0.0
D57_to_TH34,Heat distribution,10.0
D58_to_TE34,Electricity distribution,0.0
D58_to_TH34,Heat distribution,10.0
D59_to_TE35,Electricity distribution,0.0
D59_to_TH35,Heat distribution,10.0
D5_to_TE18,Electricity distribution,0.0
D5_to_TH18,Heat distribution,10.0
D60_to_TE35,Electricity distribution,0.0
D60_to_TH35,Heat distribution,10.0
D61_to_TE41,Electricity distribution,0.0
D61_to_TH41,Heat distribution,10.0
D62_to_TE41,Electricity distribution,0.0
D62_to_TH41,Heat distribution,10.0
D63_to_TE37,Electricity distribution,0.0
D63_to_TH37,Heat distribution,10.0
D64_to_TE38,Electricity distribution,0.0
D64_to_TH38,Heat distribution,10.0
D65_to_TE38,Electricity distribution,0.0
D65_to_TH38,Heat distribution,10.0
D66_to_TE39,Electricity distribution,0.0
