geometry,lat,lon,id
POINT (4.3577588 51.9927123),51.9927123,4.3577588,transmission1
POINT (4.3561187 51.9938197),51.9938197,4.3561187,transmission2
POINT (4.3586688 51.9899635),51.9899635,4.3586688,transmission3
POINT (4.360595 51.9911859),51.9911859,4.360595,transmission4
POINT (4.3619208 51.9923363),51.9923363,4.3619208,transmission5
POINT (4.3566071 51.9927966),51.9927966,4.3566071,transmission6
POINT (4.3563317 51.9945854),51.9945854,4.3563317,transmission7
POINT (4.3562879 51.993857),51.993857,4.3562879,transmission8
POINT (4.3607937 51.9942284),51.9942284,4.3607937,transmission9
POINT (4.3595505 51.995182),51.995182,4.3595505,transmission10
POINT (4.3625289 51.9913578),51.9913578,4.3625289,transmission11
POINT (4.3553562 51.9944801),51.9944801,4.3553562,transmission12
POINT (4.3577981 51.9924231),51.9924231,4.3577981,transmission13
POINT (4.3604194 51.9935753),51.9935753,4.3604194,transmission14
POINT (4.3581828 51.9934623),51.9934623,4.3581828,transmission15
POINT (4.3575965 51.9951046),51.9951046,4.3575965,transmission16
POINT (4.3571422 51.9938225),51.9938225,4.3571422,transmission17
POINT (4.3555136 51.9958405),51.9958405,4.3555136,transmission18
POINT (4.3613191 51.9930954),51.9930954,4.3613191,transmission19
POINT (4.3605818 51.9935265),51.9935265,4.3605818,transmission20
POINT (4.3622175 51.991272),51.991272,4.3622175,transmission21
POINT (4.3554062 51.9956619),51.9956619,4.3554062,transmission22
POINT (4.3563411 51.9951687),51.9951687,4.3563411,transmission23
POINT (4.3615152 51.9940201),51.9940201,4.3615152,transmission24
POINT (4.3604647 51.9959568),51.9959568,4.3604647,transmission25
POINT (4.3571396 51.9944478),51.9944478,4.3571396,transmission26
POINT (4.3612682 51.9930008),51.9930008,4.3612682,transmission27
POINT (4.3585664 51.994735),51.994735,4.3585664,transmission28
POINT (4.3606029 51.9957025),51.9957025,4.3606029,transmission29
POINT (4.3612949 51.991522),51.991522,4.3612949,transmission30
POINT (4.3609433 51.9909897),51.9909897,4.3609433,transmission31
POINT (4.355513 51.995448),51.995448,4.355513,transmission32
POINT (4.3575601 51.9965577),51.9965577,4.3575601,transmission33
POINT (4.360504 51.991885),51.991885,4.360504,transmission34
POINT (4.3577135 51.9930284),51.9930284,4.3577135,transmission35
POINT (4.3560833 51.99422),51.99422,4.3560833,transmission36
POINT (4.355216 51.994751),51.994751,4.355216,transmission37
POINT (4.3588063 51.9961605),51.9961605,4.3588063,transmission38
POINT (4.3590432 51.9911659),51.9911659,4.3590432,transmission39
POINT (4.356932 51.9928157),51.9928157,4.356932,transmission40
POINT (4.3592722 51.9931579),51.9931579,4.3592722,transmission41
POINT (4.3564133 51.9942912),51.9942912,4.3564133,transmission42
POINT (4.3594576 51.994263),51.994263,4.3594576,transmission43
POINT (4.3569194 51.9947067),51.9947067,4.3569194,transmission44
POINT (4.3601758 51.9929028),51.9929028,4.3601758,transmission45
POINT (4.3577995 51.9964256),51.9964256,4.3577995,transmission46
POINT (4.3584291 51.9941864),51.9941864,4.3584291,transmission47
POINT (4.3558861 51.9956057),51.9956057,4.3558861,transmission48
POINT (4.3616738 51.991188),51.991188,4.3616738,transmission49
POINT (4.3607381 51.9932072),51.9932072,4.3607381,transmission50
POINT (4.3580511 51.9924828),51.9924828,4.3580511,transmission51
POINT (4.360719 51.9967284),51.9967284,4.360719,transmission52
POINT (4.3565646 51.9934983),51.9934983,4.3565646,transmission53
POINT (4.3573835 51.9956481),51.9956481,4.3573835,transmission54
POINT (4.3589792 51.991148),51.991148,4.3589792,transmission55
POINT (4.3584437 51.9959793),51.9959793,4.3584437,transmission56
POINT (4.3566751 51.9944883),51.9944883,4.3566751,transmission57
POINT (4.3573521 51.9920723),51.9920723,4.3573521,transmission58
POINT (4.3587027 51.9956017),51.9956017,4.3587027,transmission59
POINT (4.361924 51.9932693),51.9932693,4.361924,transmission60
POINT (4.3558922 51.9942287),51.9942287,4.3558922,transmission61
POINT (4.3578649 51.9939588),51.9939588,4.3578649,transmission62
POINT (4.3583147 51.9926389),51.9926389,4.3583147,transmission63
POINT (4.357532 51.9925003),51.9925003,4.357532,transmission64
POINT (4.3603586 51.993248),51.993248,4.3603586,transmission65
POINT (4.3561963 51.9944277),51.9944277,4.3561963,transmission66
POINT (4.357303 51.9921547),51.9921547,4.357303,transmission67
POINT (4.3570968 51.9954855),51.9954855,4.3570968,transmission68
POINT (4.3578167 51.9940338),51.9940338,4.3578167,transmission69
POINT (4.3564794 51.9943054),51.9943054,4.3564794,transmission70
POINT (4.3599499 51.9946585),51.9946585,4.3599499,transmission71
POINT (4.3598601 51.9928414),51.9928414,4.3598601,transmission72
POINT (4.3575887 51.9912834),51.9912834,4.3575887,transmission73
POINT (4.3586838 51.9940166),51.9940166,4.3586838,transmission74
POINT (4.3586594 51.9910586),51.9910586,4.3586594,transmission75
POINT (4.3594809 51.9934959),51.9934959,4.3594809,transmission76
POINT (4.3624845 51.9936333),51.9936333,4.3624845,transmission77
POINT (4.3583341 51.9959641),51.9959641,4.3583341,transmission78
POINT (4.3585315 51.9910228),51.9910228,4.3585315,transmission79
POINT (4.3553132 51.9954305),51.9954305,4.3553132,transmission80
POINT (4.3622565 51.9910126),51.9910126,4.3622565,transmission81
POINT (4.3574621 51.9939045),51.9939045,4.3574621,transmission82
POINT (4.3570718 51.9958023),51.9958023,4.3570718,transmission83
POINT (4.3575206 51.9913979),51.9913979,4.3575206,transmission84
POINT (4.3586884 51.9945755),51.9945755,4.3586884,transmission85
POINT (4.3611009 51.9928965),51.9928965,4.3611009,transmission86
POINT (4.359927 51.9928573),51.9928573,4.359927,transmission87
POINT (4.3588777 51.9955241),51.9955241,4.3588777,transmission88
POINT (4.3568518 51.9929695),51.9929695,4.3568518,transmission89
POINT (4.3605924 51.9930458),51.9930458,4.3605924,transmission90
POINT (4.3612286 51.9947481),51.9947481,4.3612286,transmission91
POINT (4.3629861 51.9915543),51.9915543,4.3629861,transmission92
POINT (4.3624649 51.9923019),51.9923019,4.3624649,transmission93
POINT (4.3569598 51.9957322),51.9957322,4.3569598,transmission94
POINT (4.3571782 51.9946384),51.9946384,4.3571782,transmission95
POINT (4.3582737 51.9959641),51.9959641,4.3582737,transmission96
POINT (4.3578157 51.9910965),51.9910965,4.3578157,transmission97
POINT (4.3624336 51.9913966),51.9913966,4.3624336,transmission98
POINT (4.3587928 51.9908276),51.9908276,4.3587928,transmission99
POINT (4.3576579 51.9918652),51.9918652,4.3576579,transmission100
POINT (4.361136 51.9936612),51.9936612,4.361136,transmission101
POINT (4.3583042 51.9925426),51.9925426,4.3583042,transmission102
POINT (4.3567484 51.9931607),51.9931607,4.3567484,transmission103
POINT (4.357431 51.9951716),51.9951716,4.357431,transmission104
POINT (4.357163 51.9950127),51.9950127,4.357163,transmission105
POINT (4.3616898 51.9917594),51.9917594,4.3616898,transmission106
POINT (4.3623745 51.9918375),51.9918375,4.3623745,transmission107
POINT (4.3603945 51.9913445),51.9913445,4.3603945,transmission108
POINT (4.3577681 51.9918938),51.9918938,4.3577681,transmission109
POINT (4.3598094 51.9935417),51.9935417,4.3598094,transmission110
POINT (4.3559513 51.9958115),51.9958115,4.3559513,transmission111
POINT (4.3604417 51.9959992),51.9959992,4.3604417,transmission112
POINT (4.3630821 51.991333),51.991333,4.3630821,transmission113
POINT (4.3607371 51.9928938),51.9928938,4.3607371,transmission114
POINT (4.3600908 51.9913313),51.9913313,4.3600908,transmission115
POINT (4.359994 51.9928731),51.9928731,4.359994,transmission116
POINT (4.357226 51.9921806),51.9921806,4.357226,transmission117
POINT (4.3592116 51.9934349),51.9934349,4.3592116,transmission118
POINT (4.3579187 51.9940643),51.9940643,4.3579187,transmission119
POINT (4.3588174 51.9943555),51.9943555,4.3588174,transmission120
POINT (4.3569528 51.9927762),51.9927762,4.3569528,transmission121
POINT (4.3581544 51.9915802),51.9915802,4.3581544,transmission122
POINT (4.3593171 51.9962886),51.9962886,4.3593171,transmission123
POINT (4.3602495 51.9934867),51.9934867,4.3602495,transmission124
POINT (4.3579428 51.9908905),51.9908905,4.3579428,transmission125
POINT (4.3596724 51.9942525),51.9942525,4.3596724,transmission126
POINT (4.3567351 51.9963728),51.9963728,4.3567351,transmission127
POINT (4.3589935 51.9920769),51.9920769,4.3589935,transmission128
POINT (4.3581144 51.9924978),51.9924978,4.3581144,transmission129
POINT (4.3572717 51.9944763),51.9944763,4.3572717,transmission130
POINT (4.3580403 51.9909134),51.9909134,4.3580403,transmission131
POINT (4.3574955 51.9965451),51.9965451,4.3574955,transmission132
POINT (4.3613215 51.9945817),51.9945817,4.3613215,transmission133
POINT (4.360734 51.9915619),51.9915619,4.360734,transmission134
POINT (4.3554617 51.9950661),51.9950661,4.3554617,transmission135
POINT (4.3576221 51.9916179),51.9916179,4.3576221,transmission136
POINT (4.3571436 51.9924335),51.9924335,4.3571436,transmission137
POINT (4.3580843 51.9936163),51.9936163,4.3580843,transmission138
POINT (4.3566484 51.9930611),51.9930611,4.3566484,transmission139
POINT (4.357812 51.9911864),51.9911864,4.357812,transmission140
POINT (4.362452 51.993721),51.993721,4.362452,transmission141
POINT (4.359043 51.9913646),51.9913646,4.359043,transmission142
POINT (4.3575521 51.9918385),51.9918385,4.3575521,transmission143
POINT (4.3591352 51.9962603),51.9962603,4.3591352,transmission144
POINT (4.3600863 51.9923721),51.9923721,4.3600863,transmission145
POINT (4.3567375 51.9960022),51.9960022,4.3567375,transmission146
POINT (4.3615689 51.990818),51.990818,4.3615689,transmission147
POINT (4.3553263 51.9947713),51.9947713,4.3553263,transmission148
POINT (4.3594359 51.9913673),51.9913673,4.3594359,transmission149
POINT (4.3579823 51.9951856),51.9951856,4.3579823,transmission150
POINT (4.3554916 51.9954908),51.9954908,4.3554916,transmission151
POINT (4.3562206 51.995364),51.995364,4.3562206,transmission152
POINT (4.3575438 51.9959038),51.9959038,4.3575438,transmission153
POINT (4.3583032 51.9919121),51.9919121,4.3583032,transmission154
POINT (4.3593786 51.9939671),51.9939671,4.3593786,transmission155
POINT (4.3589009 51.9936774),51.9936774,4.3589009,transmission156
POINT (4.3555984 51.9952769),51.9952769,4.3555984,transmission157
POINT (4.3611124 51.9949562),51.9949562,4.3611124,transmission158
POINT (4.3591608 51.9906211),51.9906211,4.3591608,transmission159
POINT (4.3587845 51.9940783),51.9940783,4.3587845,transmission160
POINT (4.3602386 51.9950409),51.9950409,4.3602386,transmission161
POINT (4.3591547 51.9941673),51.9941673,4.3591547,transmission162
POINT (4.3585571 51.9931211),51.9931211,4.3585571,transmission163
POINT (4.3556781 51.9957886),51.9957886,4.3556781,transmission164
POINT (4.3583915 51.9963741),51.9963741,4.3583915,transmission165
POINT (4.3595351 51.9912249),51.9912249,4.3595351,transmission166
POINT (4.3558817 51.9947319),51.9947319,4.3558817,transmission167
POINT (4.3595556 51.9948435),51.9948435,4.3595556,transmission168
POINT (4.3580845 51.9908396),51.9908396,4.3580845,transmission169
