techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LVEtransmission778_to_LVEtransmission357_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission357,LVEtransmission778
LVEtransmission357_to_LVEtransmission260_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission260,LVEtransmission357
LVEtransmission260_to_LVEtransmission1010_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1010,LVEtransmission260
LVEtransmission1010_to_LVEtransmission640_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission640,LVEtransmission1010
LVEtransmission640_to_LVEtransmission353_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission353,LVEtransmission640
LVEtransmission353_to_LVEtransmission601_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission601,LVEtransmission353
LVEtransmission601_to_LVEtransmission84_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission84,LVEtransmission601
LVEtransmission84_to_LVEtransmission637_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission637,LVEtransmission84
LVEtransmission443_to_LVEtransmission529_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission529,LVEtransmission443
LVEtransmission529_to_LVEtransmission1047_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1047,LVEtransmission529
LVEtransmission1047_to_LVEtransmission719_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission719,LVEtransmission1047
LVEtransmission719_to_LVEtransmission941_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission941,LVEtransmission719
LVEtransmission941_to_LVEtransmission862_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission862,LVEtransmission941
LVEtransmission862_to_LVEtransmission643_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission643,LVEtransmission862
