techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LVEtransmission35_to_LVEtransmission402_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission402,LVEtransmission35,
LVEtransmission402_to_LVEtransmission535_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission535,LVEtransmission402,
LVEtransmission535_to_LVEtransmission155_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission155,LVEtransmission535,
LVEtransmission155_to_LVEtransmission500_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission500,LVEtransmission155,
LVEtransmission500_to_LVEtransmission568_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission568,LVEtransmission500,
LVEtransmission568_to_LVEtransmission200_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission200,LVEtransmission568,
LVEtransmission200_to_LVEtransmission1136_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1136,LVEtransmission200,
LVEtransmission1136_to_LVEtransmission70_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission70,LVEtransmission1136,
LVEtransmission70_to_LVEtransmission872_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission872,LVEtransmission70,
LVEtransmission872_to_LVEtransmission600_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission600,LVEtransmission872,
LVEtransmission600_to_LVEtransmission196_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission196,LVEtransmission600,
LVEtransmission196_to_LVEtransmission844_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission844,LVEtransmission196,
LVEtransmission398_to_LVEtransmission694_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission694,LVEtransmission398,
LVEtransmission694_to_LVEtransmission1378_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1378,LVEtransmission694,
