nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer5,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer6,supply_LV_electricity,source_use_max,,100000.0
D0503100000000168,demand_LQ_heat,sink_use_equals,,438.6458217385458
D0503100000001498,demand_LQ_heat,sink_use_equals,,4.353008769672084
D0503100000001499,demand_LQ_heat,sink_use_equals,,351.3240501248205
D0503100000011458,demand_LQ_heat,sink_use_equals,,3.892157948194255
D0503100000011549,demand_LQ_heat,sink_use_equals,,3.170073690808656
D0503100000011550,demand_LQ_heat,sink_use_equals,,3.323732744785895
D0503100000011552,demand_LQ_heat,sink_use_equals,,215.6257706871166
D0503100000011553,demand_LQ_heat,sink_use_equals,,3.2643784712618
D0503100000011554,demand_LQ_heat,sink_use_equals,,3.321230482832028
D0503100000025533,demand_LQ_heat,sink_use_equals,,4825.17483284696
D0503100000027952,demand_LQ_heat,sink_use_equals,,2.783608426170369
D0503100000030049,demand_LQ_heat,sink_use_equals,,22.52731788930725
D0503100000030050,demand_LQ_heat,sink_use_equals,,1.4818285997919527
D0503100000030051,demand_LQ_heat,sink_use_equals,,1.5008281823032583
D0503100000030052,demand_LQ_heat,sink_use_equals,,10.680243610662504
D0503100000031080,demand_LQ_heat,sink_use_equals,,3.307350176133685
D0503100000031377,demand_LQ_heat,sink_use_equals,,1.9983047481711205
D0503100000031378,demand_LQ_heat,sink_use_equals,,1.9304872074388155
D0503100000031379,demand_LQ_heat,sink_use_equals,,1.650624266697762
D0503100000031380,demand_LQ_heat,sink_use_equals,,1.9554207950743805
D0503100000031381,demand_LQ_heat,sink_use_equals,,1.90421146913795
D0503100000031382,demand_LQ_heat,sink_use_equals,,1.5110604083831085
D0503100000031383,demand_LQ_heat,sink_use_equals,,1.963321470893458
D0503100000032908,demand_LQ_heat,sink_use_equals,,9.199393236402049
D0503100000033567,demand_LQ_heat,sink_use_equals,,25.642014734185828
D0503100000033568,demand_LQ_heat,sink_use_equals,,2.215073296593085
D0503100000033569,demand_LQ_heat,sink_use_equals,,1.531639609069804
D0503100000033570,demand_LQ_heat,sink_use_equals,,1.519859003450954
D0503100000033571,demand_LQ_heat,sink_use_equals,,1.5285579370816282
D0503100000033572,demand_LQ_heat,sink_use_equals,,1.5115992500320945
D0503100000033573,demand_LQ_heat,sink_use_equals,,2.4780617198823056
D0503100000033574,demand_LQ_heat,sink_use_equals,,1.5442498181837725
D0503100000033575,demand_LQ_heat,sink_use_equals,,1.8262221826015708
D0503100000034895,demand_LQ_heat,sink_use_equals,,154.57530093414536
D0503100000035282,demand_LQ_heat,sink_use_equals,,128.76781265791416
D0503100000035763,demand_LQ_heat,sink_use_equals,,176.7984090639251
LVEtransmission1,demand_electricity,sink_use_equals,,0.0
LVEtransmission2,demand_electricity,sink_use_equals,,0.0
LVEtransmission3,demand_electricity,sink_use_equals,,0.0
LVEtransmission4,demand_electricity,sink_use_equals,,0.0
LVEtransmission5,demand_electricity,sink_use_equals,,0.0
LVEtransmission6,demand_electricity,sink_use_equals,,0.0
LVEtransmission7,demand_electricity,sink_use_equals,,0.0
LVEtransmission8,demand_electricity,sink_use_equals,,0.0
LVEtransmission9,demand_electricity,sink_use_equals,,0.0
LVEtransmission10,demand_electricity,sink_use_equals,,0.0
LVEtransmission11,demand_electricity,sink_use_equals,,0.0
LVEtransmission12,demand_electricity,sink_use_equals,,0.0
LVEtransmission13,demand_electricity,sink_use_equals,,0.0
LVEtransmission14,demand_electricity,sink_use_equals,,0.0
LVEtransmission15,demand_electricity,sink_use_equals,,0.0
LVEtransmission16,demand_electricity,sink_use_equals,,0.0
LVEtransmission17,demand_electricity,sink_use_equals,,0.0
LVEtransmission18,demand_electricity,sink_use_equals,,0.0
LVEtransmission19,demand_electricity,sink_use_equals,,0.0
LVEtransmission20,demand_electricity,sink_use_equals,,0.0
LVEtransmission21,demand_electricity,sink_use_equals,,0.0
LVEtransmission22,demand_electricity,sink_use_equals,,0.0
LVEtransmission23,demand_electricity,sink_use_equals,,0.0
LVEtransmission24,demand_electricity,sink_use_equals,,0.0
LVEtransmission25,demand_electricity,sink_use_equals,,0.0
LVEtransmission26,demand_electricity,sink_use_equals,,0.0
LVEtransmission27,demand_electricity,sink_use_equals,,0.0
LVEtransmission28,demand_electricity,sink_use_equals,,0.0
LVEtransmission29,demand_electricity,sink_use_equals,,0.0
LVEtransmission30,demand_electricity,sink_use_equals,,0.0
LVEtransmission31,demand_electricity,sink_use_equals,,0.0
LVEtransmission32,demand_electricity,sink_use_equals,,0.0
LVEtransmission33,demand_electricity,sink_use_equals,,0.0
LVEtransmission34,demand_electricity,sink_use_equals,,0.0
LVEtransmission35,demand_electricity,sink_use_equals,,0.0
LVEtransmission36,demand_electricity,sink_use_equals,,0.0
LVEtransmission37,demand_electricity,sink_use_equals,,0.0
LVEtransmission38,demand_electricity,sink_use_equals,,0.0
LVEtransmission39,demand_electricity,sink_use_equals,,0.0
LVEtransmission40,demand_electricity,sink_use_equals,,0.0
LVEtransmission41,demand_electricity,sink_use_equals,,0.0
LVEtransmission42,demand_electricity,sink_use_equals,,0.0
LVEtransmission43,demand_electricity,sink_use_equals,,0.0
LVEtransmission44,demand_electricity,sink_use_equals,,0.0
LVEtransmission45,demand_electricity,sink_use_equals,,0.0
LVEtransmission46,demand_electricity,sink_use_equals,,0.0
LVEtransmission47,demand_electricity,sink_use_equals,,0.0
LVEtransmission48,demand_electricity,sink_use_equals,,0.0
LVEtransmission49,demand_electricity,sink_use_equals,,0.0
LVEtransmission50,demand_electricity,sink_use_equals,,0.0
LVEtransmission51,demand_electricity,sink_use_equals,,0.0
LVEtransmission52,demand_electricity,sink_use_equals,,0.0
LVEtransmission53,demand_electricity,sink_use_equals,,0.0
LVEtransmission54,demand_electricity,sink_use_equals,,0.0
LVEtransmission55,demand_electricity,sink_use_equals,,0.0
LVEtransmission56,demand_electricity,sink_use_equals,,0.0
LVEtransmission57,demand_electricity,sink_use_equals,,0.0
LVEtransmission58,demand_electricity,sink_use_equals,,0.0
LVEtransmission59,demand_electricity,sink_use_equals,,0.0
LVEtransmission60,demand_electricity,sink_use_equals,,0.0
LVEtransmission61,demand_electricity,sink_use_equals,,0.0
LVEtransmission62,demand_electricity,sink_use_equals,,0.0
LVEtransmission63,demand_electricity,sink_use_equals,,0.0
LVEtransmission64,demand_electricity,sink_use_equals,,0.0
LVEtransmission65,demand_electricity,sink_use_equals,,0.0
LVEtransmission66,demand_electricity,sink_use_equals,,0.0
